asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.07872974047118803,0.13579592959155262
MSFT,Information Technology,0.0665284669702869,0.10907609240443497
GOOGL,Communication Services,0.038663375058142255,0.12957281502706472
ROP,Information Technology,0.03156971345925667,0.0014195203365340548
VZ,Communication Services,0.030678355935985186,0.007737236312115853
D,Utilities,0.029957516453603557,0.001994324143495977
ACN,Information Technology,0.02903071990159979,0.004784630319794761
HSY,Consumer Staples,0.026526356909127358,0.001637269927995603
NSC,Industrials,0.025782103707091074,0.002440562098566892
ADI,Information Technology,0.025190221660848916,0.0055328422419279955
BRK-B,Financials,0.024993266367050813,0.0044879633425406375
AMZN,Consumer Discretionary,0.024851999432905125,0.08210016271635887
LLY,Health Care,0.02445942356006876,0.0318077553967526
TMUS,Communication Services,0.02374969809094741,0.00889345425551357
JPM,Financials,0.023410106111394362,0.028017263244874527
COP,Energy,0.021577850001689887,0.005135211198329258
NVDA,Information Technology,0.021104427250054177,0.15515147287322906
MCD,Consumer Discretionary,0.02067761011624308,0.008401014989169921
SYY,Consumer Staples,0.02039013537908386,0.0014648261989240426
TSLA,Consumer Discretionary,0.01984308815134312,0.05342306594348032
VRSK,Industrials,0.019839629993249782,0.0010745173460826878
CMCSA,Communication Services,0.019473911132386154,0.004172665384198895
TJX,Consumer Discretionary,0.019352739703825707,0.006363408415542637
PFE,Health Care,0.01906164129765741,0.005519700368371114
A,Health Care,0.017832777326077905,0.0011679475594258033
KIM,Real Estate,0.017817424816866982,0.0005657402532836779
SBUX,Consumer Discretionary,0.0170231661898954,0.004047159962575066
AIG,Financials,0.016292824576377964,0.0015242588992443985
MOH,Health Care,0.016206679057455303,0.00026699668935488294
AVGO,Information Technology,0.015902556960400334,0.05622400182707613
JCI,Industrials,0.015853950814814475,0.002908086366975393
EW,Health Care,0.014612350662125965,0.0017015729177579963
UPS,Industrials,0.014475578549363632,0.0031189681065660604
XYL,Industrials,0.014361346680587202,0.0010759675264302205
HBAN,Financials,0.014127001642689218,0.0011880275449595989
HAL,Energy,0.014041864091947229,0.0010283892346693777
TGT,Consumer Staples,0.013713840413270059,0.0019696516752155456
PM,Consumer Staples,0.013227483606401696,0.009495503402923287
META,Communication Services,0.012805769663989771,0.05853701860914153
SCHW,Financials,0.012325977317772865,0.0060724892441176145
FCX,Materials,0.011522622931157021,0.0030614879904476734
MU,Information Technology,0.01066561396474058,0.014956284645891365
OMC,Communication Services,0.010407319713672283,0.0009588394465494585
EA,Communication Services,0.00869833290616842,0.001778142910468259
NOW,Information Technology,0.007735488331626516,0.004708072380073399
PLD,Real Estate,0.006365838504734612,0.0044879633425406375
GEN,Information Technology,0.006357073785488932,0.0005003879185485463
FICO,Information Technology,0.005739157269830453,0.0012564958713009887
CRM,Information Technology,0.004711630036802569,0.0067959213969716655
ABBV,Health Care,0.0017342330707132768,0.01460092020063985
