asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.070615462417827,0.0730113080746338
GOOGL,Communication Services,0.04683947451543493,0.06966542181708406
MSFT,Information Technology,0.043971756505240704,0.05864526433208219
TMUS,Communication Services,0.02674814763019349,0.004781606712734313
APH,Information Technology,0.026204735599284285,0.0031275062146869015
AMZN,Consumer Discretionary,0.024042229818091076,0.044141531274841106
CMCSA,Communication Services,0.022659068460469084,0.002243452795488334
UNH,Health Care,0.02240516660078094,0.005017061674629198
AVGO,Information Technology,0.019833048579904932,0.03022909398633982
VZ,Communication Services,0.019566984193447687,0.00415996080095522
TSLA,Consumer Discretionary,0.019052650980125218,0.028723157885680497
COP,Energy,0.017605527198773837,0.002760969993410243
KO,Consumer Staples,0.01704258380269016,0.006393983904048366
KMI,Energy,0.0168334969305931,0.0014414422837866277
ACN,Information Technology,0.01659729074178161,0.0025724785665703753
DIS,Communication Services,0.01606915516800109,0.003474281492919376
NVDA,Information Technology,0.01486498910369557,0.0834179052218453
CB,Financials,0.014640435037323287,0.0024905715882632537
MSI,Information Technology,0.014266546583506139,0.0014806648095431738
META,Communication Services,0.014027261162078837,0.03147269813092001
PLD,Real Estate,0.013406442526923955,0.002412974197499665
T,Communication Services,0.012520028689065875,0.003917507698589512
ICE,Financials,0.012352256542997446,0.0018282690977758623
LLY,Health Care,0.012335483942571659,0.01710158644239189
TMO,Health Care,0.012075039760165733,0.0035978455519941584
HD,Consumer Discretionary,0.011542271352286087,0.00687474521683591
CTAS,Industrials,0.011381476581072303,0.0015787212819917363
ORCL,Information Technology,0.01129693974506957,0.00848208765418489
ABBV,Health Care,0.010661422955080152,0.007850252111005646
MAR,Consumer Discretionary,0.01036106579348335,0.0016554716442346105
MDLZ,Consumer Staples,0.010312620377816746,0.0014539436597555352
JPM,Financials,0.010305554689572581,0.015063610848516156
LIN,Materials,0.010238198299205834,0.004333948267135483
GLW,Information Technology,0.010179293594752175,0.0020408599796705664
CVX,Energy,0.009598124073090691,0.007327070775358728
ABT,Health Care,0.009417553145381017,0.0036732195521623208
