asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.06394515642127684,0.06896966421692242
MSFT,Information Technology,0.06147966992633585,0.055398873072671675
AMZN,Consumer Discretionary,0.031454183386532046,0.04169801459979993
GOOG,Communication Services,0.027080939394635045,0.065769304633769
MA,Financials,0.023807065115425893,0.008496176549222243
TXN,Information Technology,0.023803161743387556,0.0031996736634948585
ISRG,Health Care,0.02159663677050523,0.003172618507680567
NVDA,Information Technology,0.021536133815231156,0.07880018951240503
GOOGL,Communication Services,0.018905387442667444,0.06580899420871866
BAC,Financials,0.0186251452722817,0.006473768863405571
PM,Consumer Staples,0.017293772775091844,0.0048226900706087325
TSLA,Consumer Discretionary,0.015782393537337968,0.02713314699963986
LLY,Health Care,0.015369022776534994,0.01615490402257606
TMO,Health Care,0.015307147442494548,0.003398681740802788
PG,Consumer Staples,0.015015083531298648,0.006543009421991159
AVGO,Information Technology,0.013337719791566345,0.02855571988504061
LOW,Consumer Discretionary,0.013237763650464317,0.002575304320167546
NOC,Industrials,0.013047471260493082,0.001966861631167459
SLB,Energy,0.01302849955682285,0.0012782112837383644
CB,Financials,0.012503728836220742,0.0023527024878821873
MMC,Financials,0.01243017966181331,0.001637057603572493
LIN,Materials,0.011838487654546488,0.004094036452713511
META,Communication Services,0.011733166014553504,0.02973048256951124
WMT,Consumer Staples,0.011652127226097457,0.017989812270023046
SPG,Real Estate,0.011401497560192741,0.0011539023805487506
PFE,Health Care,0.011112826281593402,0.0028034115759553685
MRK,Health Care,0.010794463199664935,0.005217718876393813
CTAS,Industrials,0.010219992664745093,0.0014913289404399634
NFLX,Communication Services,0.00991138467992852,0.007655517954637985
MS,Financials,0.00978079208788889,0.004638278614472062
MDLZ,Consumer Staples,0.009722170354931227,0.0013734585593392758
UNH,Health Care,0.009532685068093641,0.004739335154782485
JNJ,Health Care,0.009242953208687016,0.010559068127050736
ELV,Health Care,0.009188835958601286,0.0011650978465475425
MO,Consumer Staples,0.009157424421978868,0.002034909221082618
ADI,Information Technology,0.008915393755194834,0.0028100862282010256
NKE,Consumer Discretionary,0.008901493991178679,0.00153821678980389
CSCO,Information Technology,0.008828242820629177,0.005663087078070264
JPM,Financials,0.008153872069221961,0.014229743439941241
TFC,Financials,0.008099201306706286,0.0010584561524130025
ABBV,Health Care,0.007969103475876552,0.007415690341567154
AFL,Financials,0.007655386401794014,0.001047391405321715
SBUX,Consumer Discretionary,0.007530166134708458,0.0020555201064608227
ACN,Information Technology,0.007434061011381241,0.002430075389968674
ICE,Financials,0.007364413949642184,0.0017270626851785711
XEL,Utilities,0.007266524157664406,0.0009383186829153469
C,Financials,0.007119952591573882,0.003396512896884561
ORLY,Consumer Discretionary,0.006992131900732179,0.0014553901246855245
KO,Consumer Staples,0.006877974492961489,0.006040035913612612
