asset,sector,weight,benchmark_weight
NVDA,Information Technology,0.06495713419124878,0.12461614522775886
AAPL,Information Technology,0.05806730261681298,0.10906996221135677
GOOGL,Communication Services,0.053448898658351396,0.10407161747136934
MSFT,Information Technology,0.04808167117537327,0.08760885037200886
META,Communication Services,0.04455171173388965,0.047016360702918446
T,Communication Services,0.02977040271466313,0.005852277241918193
AMZN,Consumer Discretionary,0.026507850454089127,0.0659420475411403
HLT,Consumer Discretionary,0.02555322389944953,0.0020007334012870095
MA,Financials,0.020935344639099015,0.013436018076731707
NFLX,Communication Services,0.020903496416356134,0.012106584300519987
AVGO,Information Technology,0.018830675214293272,0.04515856825086987
FITB,Financials,0.01881380164585063,0.0012294755327797574
CMCSA,Communication Services,0.018557152180490265,0.003351444017093137
KEYS,Information Technology,0.017910988727338463,0.0013490170586156526
ZBH,Health Care,0.01626763024271779,0.0005375741298050812
CVX,Energy,0.016159382421321707,0.010945747359729405
BK,Financials,0.01590724201825998,0.0023160887436538737
ES,Utilities,0.015636046011450053,0.000805659923901667
CPRT,Industrials,0.015616184340208285,0.001052990817500329
DHR,Health Care,0.015241999511398326,0.003984658498334052
TSLA,Consumer Discretionary,0.01514221787064694,0.04290888394958701
LLY,Health Care,0.014997220725721438,0.025547677972283616
NDAQ,Financials,0.014454668266300012,0.001455364067984355
WMT,Consumer Staples,0.014335091733352925,0.02844943739771583
AMAT,Information Technology,0.014267468317772562,0.007428176302713546
UPS,Industrials,0.014234063951785007,0.0025051246715921366
INTU,Information Technology,0.013815675919783596,0.003859318974088856
MCD,Consumer Discretionary,0.013738798915282402,0.006747613055574273
CSCO,Information Technology,0.01330911945750976,0.00895571553983576
WMB,Energy,0.013077765781135934,0.0026139257746045064
COST,Consumer Staples,0.01291708105646483,0.012771884872609794
ARE,Real Estate,0.01272586480136385,0.0002533983027788703
JNJ,Health Care,0.012672324111772848,0.01669831475447418
CF,Materials,0.012112967021809177,0.0005205073942866237
ORLY,Consumer Discretionary,0.011943461802096754,0.0023015821188133844
MDLZ,Consumer Staples,0.011870731260142327,0.002172013955220092
IBM,Information Technology,0.011629496764082854,0.0069985220831101196
CAT,Industrials,0.01105525072916634,0.009184375157255403
UNH,Health Care,0.01063784209287382,0.007494876364966395
XYL,Industrials,0.010116900716586288,0.000864206591474237
ORCL,Information Technology,0.009929740797894307,0.012671201274323998
JPM,Financials,0.009899180226385598,0.02250319175674462
APO,Financials,0.009840535530467874,0.001818499564048392
ISRG,Health Care,0.009405372306800866,0.005017240328377105
PEG,Utilities,0.009329416108381698,0.0011991665849345773
QCOM,Information Technology,0.00851091740968682,0.004176041204232041
GWW,Industrials,0.008382432153245115,0.0015250955326756718
TDY,Information Technology,0.008137137971670868,0.000876431075689388
WFC,Financials,0.007833485900597103,0.0072762305168668
HUBB,Industrials,0.007491857870898601,0.0007225301137791033
GE,Industrials,0.007086828634490915,0.009823484563392436
LMT,Industrials,0.007015564490536733,0.004480424846080284
AVB,Real Estate,0.006894486518878479,0.00072600341127257
BLK,Financials,0.006649624725490652,0.004283450390947742
BG,Consumer Staples,0.006470235187134078,0.0006507286605901083
ANET,Information Technology,0.006297452987274444,0.004823427494824273
REGN,Health Care,0.0061816068409923375,0.0023154174598487122
KO,Consumer Staples,0.006172747847904003,0.009551829725906149
PGR,Financials,0.0055959472220107566,0.0035564873366202565
GEN,Information Technology,0.005235725624428841,0.0004019066810858554
ULTA,Consumer Discretionary,0.005059735355938274,0.0008353148245641887
BDX,Health Care,0.004902608736450667,0.0017451399083791958
AMD,Information Technology,0.004701339352373769,0.009043401308045394
SBAC,Real Estate,0.0035104080067270243,0.0005986385248537107
V,Financials,0.0018813257192324896,0.0176363005835106
ABBV,Health Care,0.0015591217625106806,0.011727316270265358
BMY,Health Care,0.0015516395853190945,0.003538860646988559
AEP,Utilities,0.0012455526081355758,0.0020557552976167197
CAG,Consumer Staples,0.0011460683930759029,0.0002622486886242422
ADBE,Information Technology,0.000809754016754893,0.0034219639982344496
BAC,Financials,9.999999999999999e-05,0.010237743409564931
BR,Industrials,9.999999999999999e-05,0.0006625109546026155
CPT,Real Estate,9.999999999999999e-05,0.00032668851020705597
MO,Consumer Staples,9.999999999999999e-05,0.0032180448370599064
WELL,Real Estate,9.999999999999999e-05,0.004108543534981713
