asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.0626325944470328,0.09148905680236585
NVDA,Information Technology,0.061401309309917954,0.10452936223761879
MSFT,Information Technology,0.0559622893960307,0.0734872454850829
AMZN,Consumer Discretionary,0.04547872820299253,0.055312898352939184
GOOGL,Communication Services,0.04043071446769236,0.08729639150237824
AVGO,Information Technology,0.026619979511425924,0.037879492502356074
COST,Consumer Staples,0.024227204348086354,0.010713194328601384
META,Communication Services,0.023311973999591208,0.039437828782358755
TSLA,Consumer Discretionary,0.018486712088249764,0.03599243312638768
JPM,Financials,0.018247656888874874,0.01887591915432946
MA,Financials,0.017996987771153855,0.011270276399634873
AEP,Utilities,0.016993780641662924,0.0017243896429610856
PNC,Financials,0.016814604641861935,0.002014847259095237
GE,Industrials,0.014636987386282423,0.008240044453997203
AMP,Financials,0.013610308296732505,0.0010442296169236769
UNH,Health Care,0.013374591482883055,0.006286782864675113
DTE,Utilities,0.013368508173731763,0.0007542655128435321
NDAQ,Financials,0.012791371947596622,0.0012207750253541286
LLY,Health Care,0.012517282167071698,0.021429666920077424
CAT,Industrials,0.012224032558045122,0.00770395261371866
ORCL,Information Technology,0.01197572712255401,0.01062873984401299
BK,Financials,0.01162305997995064,0.0019427601360753563
ZTS,Health Care,0.011173563706140225,0.001293795696710143
EW,Health Care,0.010198556423322395,0.001146391514048833
CSCO,Information Technology,0.010098621028828154,0.007512150468541656
GS,Financials,0.00967705083466735,0.005956434501361089
XOM,Energy,0.009310415481184152,0.01523290556590182
AMD,Information Technology,0.009066066500996093,0.007585702233535804
ZBH,Health Care,0.008975615515740349,0.000450922958989514
BAC,Financials,0.008566266680146489,0.008587529227439359
SBAC,Real Estate,0.008499676826933764,0.0005021444299970877
JNJ,Health Care,0.008463767123432867,0.014006725922536361
MO,Consumer Staples,0.00846204353515523,0.0026993306032307243
IBM,Information Technology,0.008410081515292678,0.005870435557257436
BMY,Health Care,0.008281688964752386,0.002968434353361146
CF,Materials,0.008225483892255336,0.000436607197769634
INTU,Information Technology,0.008154205209392616,0.0032372382430522115
AME,Industrials,0.0075455530976388276,0.0012354632354222316
PGR,Financials,0.007484324177456353,0.002983219810110705
CPRT,Industrials,0.007182952247172058,0.000883260017345328
