asset,sector,weight,benchmark_weight
NVDA,Information Technology,0.0630881609051864,0.08776679613194384
AAPL,Information Technology,0.062215047011550846,0.07681766371465802
MSFT,Information Technology,0.05540448098436394,0.061702663775233486
AMZN,Consumer Discretionary,0.05192358364317722,0.046442796256363494
GOOGL,Communication Services,0.037679431391270134,0.07329734375138307
META,Communication Services,0.030107975836886996,0.03311348892342231
AVGO,Information Technology,0.023962240878010722,0.03180505099111102
CAT,Industrials,0.02373071189191947,0.006468529262824329
BAC,Financials,0.02318183890459944,0.007210413522551201
AEP,Utilities,0.021566063245525076,0.0014478626005749627
ADP,Industrials,0.021074347055356067,0.0018576203534707875
COST,Consumer Staples,0.020205957301230187,0.008995202136819945
TSLA,Consumer Discretionary,0.020074394532811922,0.030220604745634115
GS,Financials,0.01848419173622368,0.005001247126772332
CTAS,Industrials,0.018361357435392283,0.001661025993606995
XOM,Energy,0.018040928089795013,0.012790122207581103
LLY,Health Care,0.01567180936870219,0.01799315682682904
CME,Financials,0.015244995667569124,0.002314224226831573
MDLZ,Consumer Staples,0.01501105426919542,0.001529743241978206
T,Communication Services,0.014264458280265036,0.004121742192075395
CRM,Information Technology,0.014242310213549469,0.003844347957070821
ETN,Industrials,0.013796966300647837,0.002748190545336204
CB,Financials,0.013191692998381991,0.002620414505228654
BLK,Financials,0.012714154960437825,0.0030168219095246264
MA,Financials,0.012389235552703392,0.009462949260790832
AMD,Information Technology,0.01107926931443003,0.006369241782370359
IBM,Information Technology,0.011031351495664083,0.004929039168805939
APH,Information Technology,0.010761887858432245,0.003290554942800571
ECL,Materials,0.010461891421817382,0.0016253753411096384
SHW,Materials,0.010341970175424474,0.0016592368007745857
UNH,Health Care,0.010134402912632748,0.0052786200757203436
QCOM,Information Technology,0.00996794518623145,0.0029411739252610675
LOW,Consumer Discretionary,0.009710649283437347,0.002868346010897313
DHR,Health Care,0.0096411161966157,0.0028063836306244545
MCD,Consumer Discretionary,0.009081734470129207,0.004752324655392331
JNJ,Health Care,0.009001416855200403,0.011760575518721027
MO,Consumer Staples,0.008956979617661348,0.002266459812582751
GD,Industrials,0.008891486471842226,0.001995161205728745
WELL,Real Estate,0.008820344002214868,0.0028936355090658974
BMY,Health Care,0.008764533096438435,0.002492409473715748
O,Real Estate,0.008747414250302513,0.0012347530047249439
LIN,Materials,0.00857281687229435,0.0045598933825595385
COF,Financials,0.008413510430343668,0.0023698744598472737
ORCL,Information Technology,0.008343725925799857,0.008924290965330654
UPS,Industrials,0.008223243803035607,0.0017643521706989327
HON,Industrials,0.00769751121413504,0.00321865696303286
TJX,Consumer Discretionary,0.00722040691734942,0.0035996820318139125
PFE,Health Care,0.007198980074377229,0.0031224093975316214
