asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.0625075151576733,0.07681766371465802
NVDA,Information Technology,0.062365529711652906,0.08776679613194384
GOOGL,Communication Services,0.04849864704224546,0.07329734375138307
MSFT,Information Technology,0.046738567627538787,0.061702663775233486
AMZN,Consumer Discretionary,0.04395102697365199,0.046442796256363494
META,Communication Services,0.038384778063219036,0.03311348892342231
MDLZ,Consumer Staples,0.026095215807250795,0.001529743241978206
AVGO,Information Technology,0.02272536302458171,0.03180505099111102
T,Communication Services,0.022525431088121717,0.004121742192075395
AEP,Utilities,0.021276405848328867,0.0014478626005749627
DIS,Communication Services,0.020782801794841235,0.003655408927892699
TSLA,Consumer Discretionary,0.02010909404285193,0.030220604745634115
CAT,Industrials,0.020030502896178026,0.006468529262824329
COST,Consumer Staples,0.019919177879193378,0.008995202136819945
CB,Financials,0.019769043770989175,0.002620414505228654
LLY,Health Care,0.01648505104449652,0.01799315682682904
VZ,Communication Services,0.016237493061671632,0.004376835291695881
XOM,Energy,0.016120352753141436,0.012790122207581103
BLK,Financials,0.015860963323248878,0.0030168219095246264
GS,Financials,0.01545009932189595,0.005001247126772332
CRM,Information Technology,0.014425798398109677,0.003844347957070821
DHR,Health Care,0.01349053325574839,0.0028063836306244545
ADP,Industrials,0.01339229176151958,0.0018576203534707875
CME,Financials,0.012804193292902022,0.002314224226831573
UNH,Health Care,0.012225504883823351,0.0052786200757203436
CTAS,Industrials,0.011940082189584084,0.001661025993606995
BAC,Financials,0.011476984985004825,0.007210413522551201
C,Financials,0.011255621917966245,0.0037829992138972836
DLR,Real Estate,0.010836619909309788,0.0012511283846676664
AMAT,Information Technology,0.010613316143477805,0.005231643411861625
NFLX,Communication Services,0.010434287215084846,0.008526632838914359
MAR,Consumer Discretionary,0.010400622562034587,0.0017417776425258788
AMD,Information Technology,0.010130990444186586,0.006369241782370359
HON,Industrials,0.009930830880012849,0.00321865696303286
SHW,Materials,0.009657065966343121,0.0016592368007745857
CSCO,Information Technology,0.009261927096355514,0.006307484945581175
ECL,Materials,0.00921493231361771,0.0016253753411096384
ORCL,Information Technology,0.008933586264483968,0.008924290965330654
LOW,Consumer Discretionary,0.00866293120113498,0.002868346010897313
ANET,Information Technology,0.008560894654893073,0.0033971262457342818
CVX,Energy,0.008498580066569523,0.007709058688000072
SCHW,Financials,0.008433562153100871,0.003435113541831246
MCD,Consumer Discretionary,0.00821954147319895,0.004752324655392331
JNJ,Health Care,0.007894012843164887,0.011760575518721027
GD,Industrials,0.007744469956691385,0.001995161205728745
MU,Information Technology,0.007541323665070357,0.008460539633289977
HD,Consumer Discretionary,0.007235533246043931,0.007233151687284074
IBM,Information Technology,0.0071622925514828574,0.004929039168805939
ETN,Industrials,0.007084811654197512,0.002748190545336204
WELL,Real Estate,0.0069445971725143356,0.0028936355090658974
RTX,Industrials,0.006798294965717557,0.005715622816934051
UPS,Industrials,0.00646873785816965,0.0017643521706989327
ISRG,Health Care,0.006085191056634133,0.0035336280723563163
PFE,Health Care,0.005922309998194384,0.0031224093975316214
ABT,Health Care,0.005707127067807692,0.0038647183806058277
APH,Information Technology,0.005606190315968986,0.003290554942800571
COF,Financials,0.005307825550946607,0.0023698744598472737
TMUS,Communication Services,0.005268223438566649,0.005030889956102437
V,Financials,0.005029363197889103,0.01242119626638763
BMY,Health Care,0.004878823025051088,0.002492409473715748
PANW,Information Technology,0.004764934316974485,0.0027340156946392153
QCOM,Information Technology,0.004538140411347103,0.0029411739252610675
INTC,Information Technology,0.004203929408793879,0.004402872462601198
GILD,Health Care,0.004148521851244386,0.003627906345030955
TJX,Consumer Discretionary,0.004012081098327717,0.0035996820318139125
AXP,Financials,0.003621577430424633,0.004209083205878691
LIN,Materials,0.0033701582073339506,0.0045598933825595385
COP,Energy,0.003315069709810831,0.0029049098019617073
RCL,Consumer Discretionary,0.003177718623794464,0.0015394684753671944
AMGN,Health Care,0.003096951933401964,0.004043786998837317
BKNG,Consumer Discretionary,0.0030719784830708767,0.002977552793709081
WFC,Financials,0.0027189358944177135,0.005124628427686454
FCX,Materials,0.0024021848614381378,0.0017318365552195685
APD,Materials,0.002368625673076261,0.0012302288030703189
O,Real Estate,0.0022813012013642568,0.0012347530047249439
PGR,Financials,0.00225253592462132,0.002504823901016149
GE,Industrials,0.001805939137200814,0.006918652197151315
NEE,Utilities,0.001803531247373998,0.0038497293382453507
MA,Financials,0.0016488231713233258,0.009462949260790832
ABBV,Health Care,0.0016259189872467094,0.008259515445498895
EQIX,Real Estate,0.0015975583053347833,0.0018693125515239393
MO,Consumer Staples,0.0012734064897268118,0.002266459812582751
XEL,Utilities,0.001239342089850224,0.0010450891686911608
SBUX,Consumer Discretionary,0.0010430273608576636,0.0022894159930980655
WMB,Energy,0.0009684738707997462,0.0018409804776455528
JPM,Financials,0.0008816259589634419,0.01584893385702558
AMT,Real Estate,0.0006766651148920294,0.0017922387340653736
ORLY,Consumer Discretionary,0.0003821582006405531,0.0016209977305398512
TXN,Information Technology,0.00037034773998432667,0.003563761811365879
PG,Consumer Staples,0.00032415530190308263,0.007287532905474594
TMO,Health Care,0.0002983735814685151,0.003785414848722414
BA,Industrials,0.00010312158764581088,0.003684475370722468
DE,Industrials,0.0001,0.0032338086441692547
SRE,Utilities,0.0001,0.0012284262233039
D,Utilities,0.0001,0.0011281584201668687
SO,Utilities,0.0001,0.0022150968906937667
DUK,Utilities,0.0001,0.002091710767157454
KLAC,Information Technology,0.0001,0.003586264499098037
HCA,Health Care,0.0001,0.0024187033432215028
SYK,Health Care,0.0001,0.0028321088277632888
LRCX,Information Technology,0.0001,0.005082389574385904
WM,Industrials,0.0001,0.0020145842334494345
NOC,Industrials,0.0001,0.0021906691452213013
PH,Industrials,0.0001,0.0023667470725058583
UNP,Industrials,0.0001,0.003060964867103556
LMT,Industrials,0.0001,0.0031555504572198054
FDX,Industrials,0.0001,0.0017200487362092054
TT,Industrials,0.0001,0.0019046326049553205
MRK,Health Care,0.0001,0.005811438674600646
NKE,Consumer Discretionary,0.0001,0.001713249171516246
BX,Financials,0.0001,0.0027557630599580633
ICE,Financials,0.0001,0.001923583680890679
MS,Financials,0.0001,0.005166064397541064
SPGI,Financials,0.0001,0.0027805797748547325
NEM,Materials,0.0001,0.0025761260374974468
GM,Consumer Discretionary,0.0001,0.0014242556986586614
SPG,Real Estate,0.0001,0.0012852039521281085
WMT,Consumer Staples,0.0001,0.020036857724897942
GOOG,Communication Services,0.0001,0.07325313793341837
PLD,Real Estate,0.0001,0.002538771668988562
PEP,Consumer Staples,0.0001,0.004425291669080279
PM,Consumer Staples,0.0001,0.005371459876603892
KO,Consumer Staples,0.0001,0.006727326468881201
KMI,Energy,0.0001,0.001516590121996184
ADI,Information Technology,0.0001,0.003129843552785829
