asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.06929146307947942,0.08579427187699508
MSFT,Information Technology,0.06547319227589146,0.06891299286490886
NVDA,Information Technology,0.04529711208308119,0.09802287657545575
AMZN,Consumer Discretionary,0.040627905245769966,0.05186991762138202
GOOGL,Communication Services,0.039776683726772635,0.0818625812550946
META,Communication Services,0.02043891915730389,0.03698300018658157
AVGO,Information Technology,0.019266607635099707,0.03552166337587267
XOM,Energy,0.018182222645630686,0.01428472526961035
TSLA,Consumer Discretionary,0.017406076111146748,0.03375206501287284
V,Financials,0.016235704506276264,0.013872688103018033
COST,Consumer Staples,0.015955260715072826,0.01004634585844086
AEP,Utilities,0.013993227342484968,0.0016170540939083344
ORCL,Information Technology,0.012938246212379878,0.009967148288094712
UNH,Health Care,0.012727235673085448,0.005895458726705583
APH,Information Technology,0.012673563150534172,0.0036750761704687565
CSCO,Information Technology,0.011934797952484127,0.007044552673345435
LLY,Health Care,0.011482600638691972,0.020095765922542842
GS,Financials,0.011042247613147559,0.00558567307269553
JNJ,Health Care,0.010867300471777443,0.01313486982930142
ABBV,Health Care,0.010462490103942951,0.00922468973198096
JPM,Financials,0.010189220554529001,0.01770097754262609
REG,Real Estate,0.010122398620835797,0.00033303881506245906
NDAQ,Financials,0.009871873562358026,0.0011447872356158038
IBM,Information Technology,0.009830564743988123,0.005505027178536826
BAC,Financials,0.009749683520856863,0.008052993910322197
HD,Consumer Discretionary,0.00922231220380097,0.008078389166995483
GLW,Information Technology,0.009211751075187827,0.0023981777696648046
CVX,Energy,0.009152872553402835,0.008609908776329849
XYL,Industrials,0.008919352006934885,0.0006797836339500607
KO,Consumer Staples,0.008592373523444953,0.007513455215461943
PGR,Financials,0.008454114056823111,0.0027975277088096166
BKNG,Consumer Discretionary,0.008122608746710747,0.0033254978289952585
C,Financials,0.00757176314189385,0.004225065530151382
RTX,Industrials,0.007140513531805209,0.00638352787874264
GE,Industrials,0.006806561917511423,0.007727138511132624
WMB,Energy,0.006724927714408555,0.0020561101702605447
ETN,Industrials,0.006633864622700168,0.003069333216018795
CAT,Industrials,0.006576093876512387,0.0072244159921405334
T,Communication Services,0.006076298011155843,0.004603392672124724
EW,Health Care,0.0060328036496596835,0.001075033765472618
MCD,Consumer Discretionary,0.005881655622461625,0.0053076625064643395
CRM,Information Technology,0.005714428053053546,0.0042935832446537835
MDT,Health Care,0.005586828063412583,0.0026459551799319367
PG,Consumer Staples,0.005413974543326251,0.008139125159120554
ISRG,Health Care,0.005405342183930761,0.003946553863939904
PWR,Industrials,0.005391787043936313,0.0018324284627148598
A,Health Care,0.0053311466901588426,0.0007378955374645009
PYPL,Financials,0.005303056485974173,0.0009963854920841027
ZTS,Health Care,0.0052471592439055454,0.0012132626965060795
QCOM,Information Technology,0.005008838183957692,0.0032848678699561535
BDX,Health Care,0.00500516978493102,0.0013727244855255784
NSC,Industrials,0.004999431419538791,0.0015419184422311488
