asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.06769743016647392,0.1039985087517513
MSFT,Information Technology,0.05920657898833929,0.08353527962619521
GOOGL,Communication Services,0.05238013337830181,0.09923257330401969
NVDA,Information Technology,0.04467157857700629,0.11882183698720636
AMZN,Consumer Discretionary,0.032409090954099364,0.06287592357487415
META,Communication Services,0.028748618706389426,0.04483022915661039
HD,Consumer Discretionary,0.026180425733114146,0.009792500222956125
DIS,Communication Services,0.02421429135675937,0.004948823733962879
V,Financials,0.022411525856705528,0.01681626108046607
REG,Real Estate,0.022180640282110243,0.00040370457566915054
COST,Consumer Staples,0.01977224740722205,0.012178027330077928
EA,Communication Services,0.018673720369785197,0.0013617802211922945
AVGO,Information Technology,0.018360648590627384,0.04305881894736403
TSLA,Consumer Discretionary,0.0177615223839055,0.04091373878274212
GS,Financials,0.01749579978730647,0.00677086776571748
CSCO,Information Technology,0.017038204896380978,0.008539299382381427
TMUS,Communication Services,0.017022297626926364,0.006810999291416633
UNH,Health Care,0.016467603879272753,0.007146385213967661
SLB,Energy,0.01642998178607687,0.0019273990802732555
T,Communication Services,0.015298036066788116,0.005580162435390773
NDAQ,Financials,0.014977855544418195,0.0013876936389503544
AEP,Utilities,0.01458860648656419,0.0019601683266045025
ORCL,Information Technology,0.014122002180533326,0.01208202524237946
XOM,Energy,0.013943911175788155,0.017315726253820937
BAC,Financials,0.013912900793981976,0.009761716479873879
APH,Information Technology,0.013528766149980791,0.004454871320847839
GLW,Information Technology,0.012120416660301876,0.0029070345410043244
XYL,Industrials,0.012102976761934942,0.0008240233602776141
ETN,Industrials,0.011905714534157777,0.003720598943782909
IBM,Information Technology,0.011657967047855138,0.006673110041967792
A,Health Care,0.011513374077129096,0.0008944657240159788
PWR,Industrials,0.011130014651939595,0.0022212418538831266
HRL,Consumer Staples,0.010963095294693474,0.0003693125254577816
NFLX,Communication Services,0.010894564198800307,0.011543661405984645
ABBV,Health Care,0.010794109120889012,0.011182028296703266
PGR,Financials,0.010080154838135891,0.003391120450617358
CAT,Industrials,0.010037966566405057,0.008757326956071305
LLY,Health Care,0.010015060144686888,0.02435978116540333
QCOM,Information Technology,0.009925457604658874,0.003981866766254173
BDX,Health Care,0.009895977458913264,0.001663995699227506
KO,Consumer Staples,0.009519594897680896,0.009107695897243603
MCD,Consumer Discretionary,0.009258872707215681,0.006433867594578706
BKNG,Consumer Discretionary,0.009230675745263189,0.0040311177833473625
WFC,Financials,0.009141496208239465,0.006937905796847701
RTX,Industrials,0.009011651134613411,0.007738015201251184
JPM,Financials,0.008759017910196126,0.021456855190992837
CRM,Information Technology,0.00795043096281196,0.005204616169313642
NSC,Industrials,0.007771408851194013,0.0018690900348075701
C,Financials,0.007762373790789157,0.005121560040093916
PYPL,Financials,0.007270031163921303,0.0012078033072789793
MU,Information Technology,0.00700893281218426,0.011454182053304892
CVX,Energy,0.006975810178183637,0.01043680019233333
PM,Consumer Staples,0.00657568744830137,0.007272075066767183
CMI,Industrials,0.006575168806132662,0.0020475514075129165
SNPS,Information Technology,0.006541810629603271,0.002302817242104023
REGN,Health Care,0.006399430579609965,0.0022077569119847104
PG,Consumer Staples,0.006181330430176278,0.009866123466913733
ISRG,Health Care,0.006029246224109916,0.0047839524431964615
INTC,Information Technology,0.00588229013309142,0.005960766680376176
ZTS,Health Care,0.0057909313599921325,0.001470698548985462
VRSN,Information Technology,0.0056197407957208475,0.000621067960361132
MDT,Health Care,0.005539219283236124,0.0032073865412765266
EW,Health Care,0.005536396336074718,0.001303139545577411
JNJ,Health Care,0.005451209201118124,0.01592188901438768
PEG,Utilities,0.0054201295428903135,0.0011434086346932
EXC,Utilities,0.0044653647651811115,0.001387607072899868
STX,Information Technology,0.004418390737005762,0.0021721365018995977
GE,Industrials,0.004029368459532955,0.009366719531441135
HON,Industrials,0.0038562898570554693,0.00435753325670311
VRTX,Health Care,0.0037257618632500497,0.0031884160809903233
ORLY,Consumer Discretionary,0.003104700773905168,0.002194564876280528
LHX,Industrials,0.002372449121513219,0.0018846465957269272
CSX,Industrials,0.0023060741424381914,0.0020416793249933077
WMB,Energy,0.0018874450624089786,0.0024923854105665913
MA,Financials,0.0001,0.012811280165605267
