asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.07174427262237001,0.09702500973146998
MSFT,Information Technology,0.06845295126100794,0.0779339186295416
NVDA,Information Technology,0.050137248507784095,0.11085437693644523
GOOGL,Communication Services,0.042502096350092985,0.09257864854085406
AMZN,Consumer Discretionary,0.042199743282628564,0.05865985166469607
V,Financials,0.026407425184324547,0.015688666256492692
AVGO,Information Technology,0.024641669518647533,0.04017155993424999
XOM,Energy,0.024618051777487476,0.01615464037368858
META,Communication Services,0.020024099586014817,0.04182419029264115
C,Financials,0.018630518133780836,0.004778139789644359
APH,Information Technology,0.01785985446322149,0.0041561551068916595
TSLA,Consumer Discretionary,0.017144879832293757,0.03817031562464137
UNH,Health Care,0.0170919575623621,0.006667192667013788
COST,Consumer Staples,0.01692278463415835,0.011361443874463452
LLY,Health Care,0.016859557554910008,0.02272636437770014
XYL,Industrials,0.01645014519411584,0.0007687694324611915
CSCO,Information Technology,0.014829904444859201,0.007966706596276473
ADI,Information Technology,0.01476494821827317,0.0039531676242462715
ORCL,Information Technology,0.014253484395723218,0.011271879095073973
CAT,Industrials,0.013736977076513526,0.008170114584649509
COR,Health Care,0.01331153909714012,0.0017879143184570505
BKNG,Consumer Discretionary,0.012946128638328593,0.0037608158698851845
CSX,Industrials,0.012519348984820875,0.001904776892992525
EXC,Utilities,0.012280810478243217,0.0012945626948645942
BSX,Health Care,0.012215680431810752,0.002714640048147413
BLK,Financials,0.01130713051777738,0.0038104149615511614
CMI,Industrials,0.011244475264742487,0.0019102552298499219
AEP,Utilities,0.011217788578069942,0.0018287315197768972
ADP,Industrials,0.010935859153510469,0.002346278501027727
A,Health Care,0.01075649117968909,0.0008344883654464444
WMB,Energy,0.010584314593917529,0.0023252614063153584
CINF,Financials,0.0104890404878376,0.0006616118339594498
BAC,Financials,0.010050386499190812,0.009107155937364964
CME,Financials,0.009823838379087017,0.0029229947549978875
TEL,Information Technology,0.00960719048482081,0.0015492781581882336
ZTS,Health Care,0.009457564667510864,0.0013720825686836622
REG,Real Estate,0.009207126882428753,0.00037663463498728957
BDX,Health Care,0.008377750356126767,0.0015524184033836371
CDNS,Information Technology,0.008329429750209708,0.002100388932021218
CVX,Energy,0.008300698987386576,0.00973697269682722
