asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.07014030500598556,0.10827995029971865
MSFT,Information Technology,0.06983483956834119,0.08697428486968761
NVDA,Information Technology,0.04473767873221542,0.12371352972192802
GOOGL,Communication Services,0.04058692581968173,0.10331780940360358
AMZN,Consumer Discretionary,0.037735215121821465,0.06546441830226372
XOM,Energy,0.025502763484894823,0.018028585223686597
V,Financials,0.02375460790558862,0.017508557919483594
AEP,Utilities,0.02184349253417835,0.002040865119426475
BAC,Financials,0.02063385867689541,0.01016358972803914
META,Communication Services,0.020269794386381657,0.046675813367574155
AVGO,Information Technology,0.018784654889452496,0.04483147721583698
REG,Real Estate,0.01817149345211077,0.0004203244057428709
COST,Consumer Staples,0.017874125478011874,0.01267937598217963
TSLA,Consumer Discretionary,0.017654541936454767,0.042598087752834114
HD,Consumer Discretionary,0.017215039777992044,0.010195640785414796
CSCO,Information Technology,0.016458425116963694,0.008890847799806634
NDAQ,Financials,0.01644298110841331,0.0014448226235191067
UNH,Health Care,0.016021227893471615,0.007440589726514053
GS,Financials,0.01523522588932182,0.007049612864237439
XYL,Industrials,0.015161359243352008,0.0008579469991214147
JNJ,Health Care,0.014597857224143142,0.016577366078112176
APH,Information Technology,0.014247500555928497,0.004638270788713814
ORCL,Information Technology,0.013843798222956647,0.012579421651974062
NSC,Industrials,0.013571566602958395,0.0019460372894169503
MCD,Consumer Discretionary,0.013563127333025875,0.006698738969795288
KO,Consumer Staples,0.0133127217237537,0.00948264423149127
PRU,Financials,0.013171873417645065,0.0009670973260149573
RTX,Industrials,0.01282708690770588,0.008056576113124662
LLY,Health Care,0.012635380930500989,0.0253626318834834
JPM,Financials,0.012167972994629593,0.02234019738893458
IBM,Information Technology,0.012095453410277948,0.0069478306214333894
ABBV,Health Care,0.011619053994097253,0.01164237336428815
PGR,Financials,0.011365380864963592,0.0035307271061905845
HON,Industrials,0.011314512836640497,0.00453692548218619
GLW,Information Technology,0.01051368598187577,0.00302671220383449
CAT,Industrials,0.01025521780955159,0.00911785119751363
AMAT,Information Technology,0.010009269315378828,0.007374372783926953
T,Communication Services,0.009970995500671232,0.005809888222635645
SLB,Energy,0.00938684764116214,0.0020067468190133747
MDT,Health Care,0.009287831455000372,0.003339429184608962
ZTS,Health Care,0.009182261576875515,0.0015312447043845953
VRSN,Information Technology,0.008767747141133438,0.0006466362709217073
TMUS,Communication Services,0.008620372065102829,0.007091396536525749
BKNG,Consumer Discretionary,0.00832603058874158,0.004197072039514356
A,Health Care,0.007933790124391785,0.0009312893550468441
WMB,Energy,0.007741476859585378,0.002594992674636306
DIS,Communication Services,0.00746918325427146,0.005152558381723382
ETN,Industrials,0.007151405302489863,0.003873769667983003
CRM,Information Technology,0.007078814614968334,0.005418881356151207
ISRG,Health Care,0.0067989007634324,0.004980899620609294
GE,Industrials,0.006633692771822622,0.009752331427721275
BDX,Health Care,0.006563033275033965,0.0017324995692139268
TAP,Consumer Staples,0.006456949357812346,0.000263480984067086
TT,Industrials,0.0064124126307852376,0.002684714866750538
PYPL,Financials,0.00632455404671252,0.001257526513155905
ROL,Industrials,0.0062743518604994756,0.0008022876699581719
UAL,Industrials,0.006227009543946953,0.0008528919933268238
EW,Health Care,0.006093403545387229,0.0013567875820752464
MU,Information Technology,0.005975329997771685,0.011925731227707605
PWR,Industrials,0.005881513024683785,0.002312686599345778
NFLX,Communication Services,0.005820771786989935,0.012018894292998688
TPR,Consumer Discretionary,0.0057101377970517776,0.0008441276587381195
INTC,Information Technology,0.005662316838458795,0.006206161296408805
HRL,Consumer Staples,0.005625753453450167,0.0003845164933767261
VRTX,Health Care,0.005319613808533085,0.0033196777427699623
SNPS,Information Technology,0.005259794105343742,0.0023976203074177237
CI,Health Care,0.005154293402291396,0.002076231876174469
QCOM,Information Technology,0.0051256705780882445,0.004145793441897239
NRG,Utilities,0.005090648265718687,0.0009479623768835755
XYZ,Financials,0.005082483992841956,0.0011533377219173479
REGN,Health Care,0.004795574855757153,0.0022986465053475022
MOS,Materials,0.004760554341057178,0.0002390308803528725
DG,Consumer Staples,0.004484934869114084,0.0009215385735239833
AMD,Information Technology,0.00379436441306007,0.008977898445385232
ENPH,Information Technology,0.0025851644023996917,0.00015091452867785083
