asset,sector,weight,benchmark_weight
MSFT,Information Technology,0.08817891912310488,0.0495534781338335
AAPL,Information Technology,0.06977264023678507,0.06169235145248925
NVDA,Information Technology,0.056683866337306016,0.07048561191529276
HD,Consumer Discretionary,0.046314398510001034,0.00580895219175934
AMZN,Consumer Discretionary,0.04502779153548257,0.03729826150046281
BAC,Financials,0.03785555847508212,0.005790691146288137
MCD,Consumer Discretionary,0.031176061546949213,0.003816597234014157
LIN,Materials,0.02958502811297715,0.003662055464062031
GOOG,Communication Services,0.02956308392547553,0.05882967681980922
XOM,Energy,0.02889556162600019,0.010271761417808093
CSCO,Information Technology,0.028081159548580616,0.005065548198517107
GS,Financials,0.027826687434411985,0.004016507148559852
META,Communication Services,0.02734239964953149,0.026593479906784394
CAT,Industrials,0.02713997536162268,0.005194883069409502
RTX,Industrials,0.026793557737301462,0.004590223062523034
KO,Consumer Staples,0.025630817909524845,0.00540272339439372
V,Financials,0.025630457605452583,0.009975476582739552
ABT,Health Care,0.021749066857155375,0.0031037596442253534
PG,Consumer Staples,0.020627583265296987,0.005852625808773859
AVGO,Information Technology,0.020607706442443235,0.02554267194321815
AXP,Financials,0.01989667095055974,0.00338031941968953
TSLA,Consumer Discretionary,0.018796660514186606,0.02427020139534224
JNJ,Health Care,0.01795719295476859,0.009444931323081029
LLY,Health Care,0.017886883978362064,0.014450324326756112
UNH,Health Care,0.016452926838441524,0.004239265673389199
ORCL,Information Technology,0.014574194284978713,0.0071671080331540665
IBM,Information Technology,0.013363374240326166,0.00395851685693791
NFLX,Communication Services,0.013228398209282921,0.006847748348069928
GOOGL,Communication Services,0.012517048693205192,0.05886517856154735
AMGN,Health Care,0.01234475041384956,0.003247569851355367
T,Communication Services,0.012225756221958229,0.0033101757540375193
JPM,Financials,0.011766986399308193,0.012728296466901092
AMAT,Information Technology,0.011196682569372033,0.004201538662221525
MA,Financials,0.010662976828827934,0.0075997051113438725
MRK,Health Care,0.010483017139287416,0.004667172884739006
AMD,Information Technology,0.010161023465561449,0.005115145183058897
PEP,Consumer Staples,0.009630407427231343,0.003553956677760551
GE,Industrials,0.009189011332812871,0.005556377300273847
INTC,Information Technology,0.008164772390853899,0.0035359517880189043
LRCX,Information Technology,0.007825414196853002,0.004081672738787722
MS,Financials,0.007335636807376067,0.004148872082638998
COST,Consumer Staples,0.0059701458127519825,0.007224056874109124
MU,Information Technology,0.005899618023891748,0.0067946688208775
CVX,Energy,0.0030744528578709727,0.006191153635113951
PM,Consumer Staples,0.002990322929438162,0.004313825421081632
ABBV,Health Care,0.0008944174282999623,0.006633226071333266
TMUS,Communication Services,0.0007308233130391745,0.004040313337874225
VZ,Communication Services,9.972299629241858e-05,0.0035150413070091455
WFC,Financials,9.946358104095119e-05,0.004115594809009059
WMT,Consumer Staples,9.892595948614739e-05,0.01609162279862537
