asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.06485946723478297,0.07073181815665146
MSFT,Information Technology,0.05969147494819449,0.05681429742698663
GOOGL,Communication Services,0.054026650384921736,0.06749039399123413
NVDA,Information Technology,0.042232420532945625,0.08081351038292492
AMZN,Consumer Discretionary,0.03039287072233058,0.04276338618802187
META,Communication Services,0.028528550257397617,0.030490087354959148
AEP,Utilities,0.01939174448276316,0.0013331563240466437
AVGO,Information Technology,0.01909971345330701,0.029285309841270625
DIS,Communication Services,0.01889367465259196,0.003365810766340327
TMUS,Communication Services,0.017247419439368136,0.004632319916197362
TSLA,Consumer Discretionary,0.01711804383931994,0.02782639065140366
COST,Consumer Staples,0.01632054630025817,0.008282561211276008
V,Financials,0.01617336097468249,0.01143713246559674
HD,Consumer Discretionary,0.013982593317827488,0.006660108432155165
T,Communication Services,0.013872786184999035,0.0037951989831584098
ORCL,Information Technology,0.013446915147814922,0.00821726794610087
CMCSA,Communication Services,0.012944201972585025,0.002173409836888587
PWR,Industrials,0.012152982919783105,0.0015107185360305367
CSCO,Information Technology,0.01187314659413044,0.00580777723016762
CMI,Industrials,0.011824201641280322,0.0013925876011194297
NFLX,Communication Services,0.011657332053073512,0.007851114109521419
APH,Information Technology,0.011641406611337111,0.0030298621774438165
UNH,Health Care,0.011333696697415005,0.004860423726251087
GS,Financials,0.011167486295552042,0.004605025526958789
ABBV,Health Care,0.011138417463227983,0.007605158973893724
LLY,Health Care,0.011111123726998098,0.016567656905927666
IBM,Information Technology,0.010481439768358056,0.004538538212643769
GLW,Information Technology,0.010462542951407335,0.0019771421821080685
XOM,Energy,0.010029452573836554,0.011776830411666777
ETN,Industrials,0.00975615585542399,0.002530466360375101
C,Financials,0.009176226654942884,0.0034832927681589967
BAC,Financials,0.008986649768148341,0.006639171688503657
CRM,Information Technology,0.008659546837076487,0.0035397811841880013
PNC,Financials,0.008637402787047966,0.001557714276709721
KO,Consumer Staples,0.008500162572643917,0.006194356993787826
ISRG,Health Care,0.008435334850698252,0.003253677945420947
JPM,Financials,0.008428899721270098,0.014593309056052701
TMO,Health Care,0.008311948195040015,0.0034855170253795583
SLB,Energy,0.008309320977560973,0.001310869193197825
SPGI,Financials,0.007791963468526324,0.0025602895674573735
MDT,Health Care,0.007782620113921009,0.0021814186022339694
PG,Consumer Staples,0.007451364658728344,0.006710181322297684
ADI,Information Technology,0.007336390217704286,0.0028818830764853437
RTX,Industrials,0.007309606733149076,0.0052628051178578725
NSC,Industrials,0.006824131296638449,0.0012712118476236529
CVX,Energy,0.006602555488566208,0.007098311910448377
TRV,Financials,0.00659029451713507,0.0012771401377621118
SHW,Materials,0.00655522931207141,0.0015277844963777233
O,Real Estate,0.0064971092128321885,0.001136930242020867
MS,Financials,0.006392986153091781,0.004756785222077778
QCOM,Information Technology,0.006282519958060072,0.002708160717063754
BKNG,Consumer Discretionary,0.0062823452645751135,0.0027416574856893618
BA,Industrials,0.005568305217916334,0.0033925744330450666
REGN,Health Care,0.0055545306600768484,0.0015015471116547451
ROST,Consumer Discretionary,0.005543691135365777,0.0012872356563363124
ACN,Information Technology,0.005399600370003066,0.002492163076937885
DHR,Health Care,0.005319044915079511,0.0025840491241242367
LHX,Industrials,0.0052892772779749376,0.001281792228547358
MU,Information Technology,0.005260873249158222,0.0077902571089885865
MCD,Consumer Discretionary,0.005064965652833342,0.004375823828685911
PGR,Financials,0.004991468415992503,0.002306380331211526
SNPS,Information Technology,0.00495075686096311,0.0015661998654741334
AMAT,Information Technology,0.004755949983361168,0.004817168767886257
ELV,Health Care,0.004536062029139368,0.0011948657420966095
PSX,Energy,0.004226574791895694,0.0012431385243026757
JNJ,Health Care,0.0042085774827252875,0.01082884910556077
MAR,Consumer Discretionary,0.004207128580781755,0.0016037860763129818
MMC,Financials,0.004177445224301274,0.0016788839273403683
EMR,Industrials,0.004107665649334406,0.0014542171045902868
WMB,Energy,0.00401520226106268,0.001695129610534137
FCX,Materials,0.004008504232224649,0.0015946325672679632
NEE,Utilities,0.003997416694710952,0.0035447362278102903
AON,Financials,0.003984348618361972,0.001368363164587385
CAT,Industrials,0.003910471795419867,0.005956062882341539
WDC,Information Technology,0.003851987735400381,0.0015673149034116337
ABT,Health Care,0.003839375422698209,0.0035585377698946962
SCHW,Financials,0.0037934705613177026,0.0031629681851661905
GD,Industrials,0.0036504174475309515,0.0018370954383748442
CI,Health Care,0.0036099166353479803,0.0013562589852518377
WFC,Financials,0.0034119915335368476,0.004718631998676095
INTC,Information Technology,0.003376211564344272,0.004054056831882166
MDLZ,Consumer Staples,0.003335558172727544,0.001408550007715509
BLK,Financials,0.0032536451389641404,0.0027778155231083994
KMI,Energy,0.0030579275978268134,0.0013964389378681259
WMT,Consumer Staples,0.0030336507925979484,0.01844944650090609
ICE,Financials,0.0029727034673294695,0.0017711886114013598
COR,Health Care,0.0028285448883952555,0.0013034003377353906
BK,Financials,0.002651133729370905,0.0015019824388802755
VZ,Communication Services,0.0026404041142418975,0.004030082444368515
AMD,Information Technology,0.002639909347045853,0.0058646414087753975
INTU,Information Technology,0.002606463300446082,0.0025027665027956185
NEM,Materials,0.0025927114867352608,0.002372033587349457
BMY,Health Care,0.002590191090029681,0.002294949431443568
MCK,Health Care,0.0025627340852724116,0.0021207834761822453
CSX,Industrials,0.002447189761418178,0.0013885938604594626
NKE,Consumer Discretionary,0.0023896161191583557,0.0015775177608479856
WBD,Communication Services,0.002320642644571597,0.0012961645346954876
PM,Consumer Staples,0.0023039990065497366,0.004945908334819595
SPG,Real Estate,0.002247644951829224,0.001183384235347281
ADP,Industrials,0.002210492270193044,0.001710451199529497
GE,Industrials,0.002183335814058378,0.006370525025543631
ECL,Materials,0.0021410225537965835,0.0014966056959336423
HON,Industrials,0.002103364181845295,0.0029636602834412795
PFE,Health Care,0.0020725837686102473,0.002875037888905282
MNST,Consumer Staples,0.0020678314653821976,0.0013825706343801561
JCI,Industrials,0.0020666677634773537,0.001514730498266247
LOW,Consumer Discretionary,0.002004320453073129,0.0026411025621237683
VRTX,Health Care,0.0019640507886792475,0.0021685163485053636
PEP,Consumer Staples,0.0019396586824339723,0.0040746998866069885
ORLY,Consumer Discretionary,0.0019364297454313923,0.0014925748996322476
MRK,Health Care,0.001933299284886968,0.005351030006422193
PLD,Real Estate,0.0019309316009932128,0.0023376386022254452
FTNT,Information Technology,0.0019255239391014168,0.0011630175667083124
MO,Consumer Staples,0.001920114486747095,0.002086900532648868
SBUX,Consumer Discretionary,0.0018475144482821258,0.002108038019878523
HLT,Consumer Discretionary,0.0017757690185240147,0.0012974746506791805
CME,Financials,0.0015865971098151669,0.0021308808322262687
PANW,Information Technology,0.0015850580779329662,0.002517414505978418
MMM,Industrials,0.0014066525603554055,0.0015103096989949522
DE,Industrials,0.001366857814944015,0.002977611579316248
SYK,Health Care,0.001330088828563382,0.0026077362538555826
CVS,Health Care,0.001296178601477214,0.0018529220253265177
CL,Consumer Staples,0.0011390693400051214,0.0014017441726141531
KLAC,Information Technology,0.0011000380905460874,0.0033021442744483537
USB,Financials,0.0009159284338560421,0.0015208892377449887
UPS,Industrials,0.0007213068861741194,0.0016245721474390162
CDNS,Information Technology,0.0006238921858383786,0.0015311962184713023
AMT,Real Estate,0.00046067864754210724,0.0016502494101109952
VLO,Energy,0.0004387854131415039,0.001280649245756302
WELL,Real Estate,0.0003058361508339989,0.0026643885109437914
APO,Financials,0.0002177921427473366,0.0011792960946751647
GOOG,Communication Services,9.999999999999996e-05,0.06744969035971833
LIN,Materials,9.999999999999996e-05,0.004198637838648246
LRCX,Information Technology,9.999999999999996e-05,0.004679739499915685
MA,Financials,9.999999999999996e-05,0.00871325127546358
AXP,Financials,9.999999999999996e-05,0.0038756204436300517
ANET,Information Technology,9.999999999999996e-05,0.0031279904158633648
GILD,Health Care,9.999999999999996e-05,0.0033404870634867615
TJX,Consumer Discretionary,9.999999999999996e-05,0.003314498809047265
AMGN,Health Care,9.999999999999996e-05,0.003723419755753578
