asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.07034163932819715,0.08129817637035958
MSFT,Information Technology,0.06786633478412661,0.06530156997163059
NVDA,Information Technology,0.044521682988846886,0.09288593438483651
GOOGL,Communication Services,0.041097330549038344,0.07757252813511112
AMZN,Consumer Discretionary,0.036243285507294845,0.04915164636101851
CSCO,Information Technology,0.02357786420099342,0.006675379056879575
BAC,Financials,0.023479080044361306,0.007630972382042624
META,Communication Services,0.022824195526445334,0.03504488593579352
AEP,Utilities,0.022279558899869253,0.0015323114941222838
CAT,Industrials,0.020622107787201218,0.006845816540572271
AVGO,Information Technology,0.02055193564916042,0.03366013127590383
TSLA,Consumer Discretionary,0.01979736593188961,0.031983269678125814
V,Financials,0.016987559174743837,0.013145682333514442
UNH,Health Care,0.016573724170523288,0.0055865040038460085
TMO,Health Care,0.016534222751173434,0.004006205202354908
ETN,Industrials,0.016437328900696126,0.0029084831385136844
CVX,Energy,0.016363694026537246,0.008158701821426159
GS,Financials,0.015911535295073435,0.005292952835618546
WMB,Energy,0.01557010161388876,0.0019483585978605838
XOM,Energy,0.014637465698343866,0.013536126468162405
MCD,Consumer Discretionary,0.014514733324379999,0.005029511564403009
CRM,Information Technology,0.014092097878808768,0.004068575678165774
HD,Consumer Discretionary,0.01357660286998774,0.0076550367864699435
HON,Industrials,0.013267787067164607,0.0034063902597756355
ISRG,Health Care,0.013045492386564512,0.0037397325610002956
LLY,Health Care,0.012064238383496465,0.0190426363733314
ORCL,Information Technology,0.011896323435592937,0.009444814457972323
COST,Consumer Staples,0.011614831846833169,0.009519861636545461
ABBV,Health Care,0.011480052146006565,0.008741264846534879
SPGI,Financials,0.01112925070639462,0.0029427615214605864
ECL,Materials,0.010966082743423186,0.0017201779481396844
IBM,Information Technology,0.010942026547350207,0.0052165332334304215
GD,Industrials,0.010752758471709856,0.0021115321626174874
C,Financials,0.010674508609060154,0.004003648671778955
TJX,Consumer Discretionary,0.010482971662320043,0.0038096392229093525
RTX,Industrials,0.010395623453589076,0.006048995626365158
JNJ,Health Care,0.01014635453527974,0.012446529827949889
AMAT,Information Technology,0.009839199036545695,0.005536787351203935
DIS,Communication Services,0.009826437690045278,0.0038686164790104308
CB,Financials,0.00943699191762517,0.002773254357238115
BKNG,Consumer Discretionary,0.009149178172115595,0.0031512233055432932
UNP,Industrials,0.00867389725291898,0.003239500521047146
PFE,Health Care,0.008182950548390966,0.0033045289016327643
MAR,Consumer Discretionary,0.008111891931544962,0.001843369599289152
JPM,Financials,0.007845089140239604,0.016773348181699056
ABT,Health Care,0.007784778589492193,0.0040901342391165395
MU,Information Technology,0.007771630116603325,0.008954014090438651
SHW,Materials,0.007513758608124994,0.001756014431402497
NFLX,Communication Services,0.007432449374759456,0.009023962287609716
GE,Industrials,0.006933908507140713,0.007322193612376869
SCHW,Financials,0.006800532148641766,0.003635472013485856
SPG,Real Estate,0.0066096911290339485,0.001360165520785772
INTC,Information Technology,0.006478475358868225,0.004659677015567058
KO,Consumer Staples,0.006441945041386756,0.007119708506101459
TMUS,Communication Services,0.006380360826388693,0.005324324630209268
SYK,Health Care,0.0062060733018103695,0.0029972960884986884
NEE,Utilities,0.006164772910278825,0.004074270936973281
PG,Consumer Staples,0.006102421336223547,0.007712589875875399
BLK,Financials,0.005715168824162359,0.0031927828551195333
FCX,Materials,0.005598237034688241,0.0018328486822232072
T,Communication Services,0.005394767445876847,0.0043621493739929695
BA,Industrials,0.00518657363460745,0.003899378268439632
PM,Consumer Staples,0.005048724108231021,0.00568475883406912
PGR,Financials,0.00498169975489993,0.0026509217468253425
SRE,Utilities,0.004497348107803214,0.0013000761404447481
AMD,Information Technology,0.004365711468157456,0.006740737959592526
TT,Industrials,0.004264310698598072,0.002015723336934139
MO,Consumer Staples,0.004161760547597824,0.0023986546930680093
SBUX,Consumer Discretionary,0.00395024466414736,0.00242294982939572
LIN,Materials,0.0038693753401688913,0.004825856430916466
NKE,Consumer Discretionary,0.003768229972302208,0.0018131771597438286
LRCX,Information Technology,0.0035430665134901945,0.005378828045800864
WMT,Consumer Staples,0.0033456558610725383,0.02120553938319948
DE,Industrials,0.0029638052587210805,0.0034224256868606046
WELL,Real Estate,0.002949025147738731,0.003062411411539526
DLR,Real Estate,0.002827309287755127,0.0013241024415490822
PEP,Consumer Staples,0.0027445827146198366,0.004683403857992129
LOW,Consumer Discretionary,0.0027189912300486963,0.003035646863087955
GILD,Health Care,0.002675354386881025,0.0038395097641741155
AMGN,Health Care,0.0022042979538829982,0.004279647319876927
NEM,Materials,0.001964498705365436,0.0027263826940467023
MRK,Health Care,0.0019260402085670685,0.006150400096625944
WFC,Financials,0.0016720929572431073,0.005423530547533608
AXP,Financials,0.0010788200899045784,0.0044545846916162965
AMT,Real Estate,0.0009743820950384566,0.0018967739144093985
EQIX,Real Estate,0.0007715883553203933,0.001978343185098995
MS,Financials,0.0005921557985648169,0.005467383336363922
LMT,Industrials,9.999999999999998e-05,0.0033396029664421118
WM,Industrials,9.999999999999998e-05,0.0021320880693832607
NOC,Industrials,9.999999999999998e-05,0.002318443414249819
PH,Industrials,9.999999999999998e-05,0.002504791367247715
SO,Utilities,9.999999999999998e-05,0.0023442959469059483
BX,Financials,9.999999999999998e-05,0.0029164973321187107
DUK,Utilities,9.999999999999998e-05,0.0022137131310815713
MA,Financials,9.999999999999998e-05,0.010014890856941518
D,Utilities,9.999999999999998e-05,0.001193960057899173
GOOG,Communication Services,9.999999999999998e-05,0.07752574394236554
PLD,Real Estate,9.999999999999998e-05,0.0026868495724651975
COP,Energy,9.999999999999998e-05,0.0030743432955356253
VZ,Communication Services,9.999999999999998e-05,0.0046321211851748645
