asset,sector,weight,benchmark_weight
MSFT,Information Technology,0.07215493273090173,0.0697365945943067
AAPL,Information Technology,0.0686817249783475,0.08681962729623856
GOOGL,Communication Services,0.05546937707425146,0.08284094775307614
TMUS,Communication Services,0.04369695993187122,0.005685931722417888
NVDA,Information Technology,0.04276304344725571,0.09919438005124233
META,Communication Services,0.03937859375070101,0.037424996124440474
CSCO,Information Technology,0.02574078596538131,0.00712874442766345
TMO,Health Care,0.02420952366866227,0.00427829083098001
NFLX,Communication Services,0.023749047615698425,0.009636834152053965
AEP,Utilities,0.021567347993764724,0.0016363800365630603
AMZN,Consumer Discretionary,0.020803197777592673,0.05248983198122471
HD,Consumer Discretionary,0.0207471303518479,0.00817493663957049
BAC,Financials,0.019991278106945266,0.00814923787587414
TSLA,Consumer Discretionary,0.019914660237675862,0.03415544698715226
IBM,Information Technology,0.019243082941846932,0.005570819559859068
XOM,Energy,0.018670348714222282,0.014455446695961504
GS,Financials,0.01859485939377295,0.005652429279490106
PG,Consumer Staples,0.018189520847018324,0.008236398507413204
AVGO,Information Technology,0.017861520693756808,0.0359461943992866
UNH,Health Care,0.016917326621720224,0.005965917283228104
ETN,Industrials,0.016852295116032454,0.003106015821717938
CAT,Industrials,0.01600964295264621,0.007310757351841458
V,Financials,0.014901542997915757,0.014038485138352723
ORCL,Information Technology,0.014691401573068235,0.010086268939019446
LLY,Health Care,0.014152174612664372,0.020335936997391172
HON,Industrials,0.013835135679788172,0.003637738827399849
JPM,Financials,0.013555406965451239,0.017912527717855276
ABT,Health Care,0.013294601249346094,0.004367919996310634
RTX,Industrials,0.01322285137936876,0.006459819509421025
AMAT,Information Technology,0.013052838683354034,0.005912824071971585
KO,Consumer Staples,0.013020389833461947,0.007603250977508417
C,Financials,0.012944012332789454,0.004275560670948319
BKNG,Consumer Discretionary,0.01197037109318134,0.003365241941813553
LOW,Consumer Discretionary,0.011858523353116468,0.003241816004035003
PLD,Real Estate,0.011830952932482862,0.0028693297795488377
AXP,Financials,0.010973670075954617,0.004757122483582052
ABBV,Health Care,0.010894306403147081,0.009334937017733176
MU,Information Technology,0.010628269483050425,0.009562135349699897
CVX,Energy,0.009563539241574166,0.00871280861369497
COST,Consumer Staples,0.009500584527504836,0.010166413025446084
MCD,Consumer Discretionary,0.00908863913019701,0.005371096118003363
TJX,Consumer Discretionary,0.00803296941519458,0.004068374866852613
BLK,Financials,0.007917342345503361,0.003409624051793135
COP,Energy,0.007808798188742716,0.003283140545282962
UNP,Industrials,0.007213624837143334,0.0034595145970066966
PM,Consumer Staples,0.007162137589238642,0.0060708451933101796
INTC,Information Technology,0.007096451118466962,0.004976143867845432
MS,Financials,0.006642794154356233,0.005838706410662401
WELL,Real Estate,0.006514427906824738,0.0032703982948693237
BA,Industrials,0.006285689129558315,0.004164208633791813
SCHW,Financials,0.006190249521005274,0.0038823789087085027
JNJ,Health Care,0.005921320690305777,0.013291848956997044
FCX,Materials,0.005412684143877969,0.001957328523042208
DE,Industrials,0.005385601060650656,0.0036548633173356473
GOOG,Communication Services,0.00493768333122849,0.08279098616280599
NEE,Utilities,0.0044436667342026065,0.004350979321362512
LIN,Materials,0.003767655397037937,0.005153609532502118
EQIX,Real Estate,0.0037049463870640763,0.002112704437697199
MRK,Health Care,0.0036606267873307914,0.006568110970647746
NEM,Materials,0.00321888843922408,0.002911547834550801
AMGN,Health Care,0.0026268696339879502,0.0045703040567405245
PEP,Consumer Staples,0.002611365918923877,0.005001482143662062
WMT,Consumer Staples,0.002527956761926456,0.022645735833950596
LRCX,Information Technology,0.002103254494304391,0.005744136794650721
NOC,Industrials,0.0019565060477166434,0.0024759029306587856
AMD,Information Technology,0.0017333408228413724,0.007198542248812343
GE,Industrials,0.00013773668401277555,0.007819488072173184
AMT,Real Estate,0.00010000000000000006,0.002025595304426668
WFC,Financials,0.00010000000000000005,0.005791875313679314
DUK,Utilities,0.00010000000000000003,0.0023640597804523824
LMT,Industrials,0.00010000000000000003,0.003566415604983077
SO,Utilities,0.00010000000000000003,0.0025035112651882584
PH,Industrials,0.00010000000000000002,0.002674906900354136
MA,Financials,0.00010000000000000002,0.010695062674606019
GILD,Health Care,9.999999999999999e-05,0.004100274097260063
