asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.07965999034271952,0.06169235145248925
MSFT,Information Technology,0.06196458843355432,0.0495534781338335
HD,Consumer Discretionary,0.05042175482742852,0.00580895219175934
LIN,Materials,0.04757910037556503,0.003662055464062031
GOOG,Communication Services,0.04554169152978978,0.05882967681980922
MA,Financials,0.04272745579303451,0.0075997051113438725
PM,Consumer Staples,0.03679412172664641,0.004313825421081632
BAC,Financials,0.03543955055125455,0.005790691146288137
AMZN,Consumer Discretionary,0.031940560113390956,0.03729826150046281
PEP,Consumer Staples,0.03100384928859452,0.003553956677760551
ABT,Health Care,0.030482101114672113,0.0031037596442253534
CAT,Industrials,0.028689482787944396,0.005194883069409502
CVX,Energy,0.02807962435112055,0.006191153635113951
UNH,Health Care,0.025914948451995923,0.004239265673389199
RTX,Industrials,0.024473714573936992,0.004590223062523034
AMGN,Health Care,0.02436352148974988,0.003247569851355367
MS,Financials,0.023290034369458538,0.004148872082638998
CSCO,Information Technology,0.021969475531563164,0.005065548198517107
TSLA,Consumer Discretionary,0.0208815174470692,0.02427020139534224
NVDA,Information Technology,0.02056982107331754,0.07048561191529276
GE,Industrials,0.01997147055041042,0.005556377300273847
ORCL,Information Technology,0.01805093937213896,0.0071671080331540665
GS,Financials,0.01730361495475608,0.004016507148559852
META,Communication Services,0.016078247364117747,0.026593479906784394
MRK,Health Care,0.016021642426620665,0.004667172884739006
TMUS,Communication Services,0.015830557507125177,0.004040313337874225
KO,Consumer Staples,0.015565194293549625,0.00540272339439372
IBM,Information Technology,0.015145569004781492,0.00395851685693791
AXP,Financials,0.014929159796432931,0.00338031941968953
INTC,Information Technology,0.013289909138947256,0.0035359517880189043
AVGO,Information Technology,0.012875227116369733,0.02554267194321815
PG,Consumer Staples,0.012345811076759567,0.005852625808773859
WFC,Financials,0.01218528792322818,0.004115594809009059
MCD,Consumer Discretionary,0.010561505084162502,0.003816597234014157
NFLX,Communication Services,0.010126493252562953,0.006847748348069928
COST,Consumer Staples,0.009717714138621419,0.007224056874109124
LLY,Health Care,0.009041201380343237,0.014450324326756112
AMAT,Information Technology,0.008650097286044682,0.004201538662221525
XOM,Energy,0.008067196201033836,0.010271761417808093
MU,Information Technology,0.007825844347873933,0.0067946688208775
VZ,Communication Services,0.0050432128726009,0.0035150413070091455
AMD,Information Technology,0.004384898879787002,0.005115145183058897
LRCX,Information Technology,0.0040447574626023336,0.004081672738787722
T,Communication Services,0.0035554482939473345,0.0033101757540375193
ABBV,Health Care,0.0033639950372696533,0.006633226071333266
JNJ,Health Care,0.0032847712459585523,0.009444931323081029
WMT,Consumer Staples,0.0006533298191475876,0.01609162279862537
JPM,Financials,9.999999999999999e-05,0.012728296466901092
GOOGL,Communication Services,9.999999999999999e-05,0.05886517856154735
V,Financials,9.999999999999999e-05,0.009975476582739552
