asset,sector,weight,benchmark_weight,active_weight
MSFT,Information Technology,0.06715365105673692,0.04961840689868486,0.017535244158052056
AAPL,Information Technology,0.06503066960877706,0.06177318549949132,0.003257484109285738
ABT,Health Care,0.05520622250348627,0.003107826427984725,0.05209839607550155
HD,Consumer Discretionary,0.054318401749511865,0.0058165635261216405,0.04850183822339022
AMZN,Consumer Discretionary,0.04650632422067669,0.03734713254123592,0.009159191679440765
GOOG,Communication Services,0.044330136850578024,0.05890675997111091,-0.014576623120532886
KO,Consumer Staples,0.039928859020266154,0.005409802456652158,0.034519056563613995
RTX,Industrials,0.03763172476021993,0.004596237524576271,0.03303548723564366
LIN,Materials,0.034980247780142804,0.003666853769792591,0.031313394010350215
PG,Consumer Staples,0.03475776947661643,0.005860294367656337,0.02889747510896009
AXP,Financials,0.03135229405328847,0.0033847485732623785,0.027967545480026088
CVX,Energy,0.03104268620124553,0.006199265759099422,0.02484342044214611
MS,Financials,0.030047826721276136,0.004154308252813058,0.025893518468463078
UNH,Health Care,0.029054602306674136,0.0042448202841736645,0.024809782022500473
MA,Financials,0.027870135520022692,0.007609662827425506,0.020260472692597186
CAT,Industrials,0.02554378970174341,0.005201689803345172,0.02034209989839824
ORCL,Information Technology,0.02393084087398578,0.007176498927389426,0.016754341946596356
GS,Financials,0.02334335987920256,0.004021769884052774,0.019321589995149786
ABBV,Health Care,0.023329450016027643,0.006641917432505299,0.016687532583522343
TSLA,Consumer Discretionary,0.0217342445617639,0.024302002073289353,-0.0025677575115254543
JNJ,Health Care,0.02120711530294183,0.00945730679596423,0.0117498085069776
XOM,Energy,0.0196338584887863,0.01028522026685003,0.00934863822193627
AVGO,Information Technology,0.019500444230267193,0.025576139909599796,-0.006075695679332603
VZ,Communication Services,0.017017138663834697,0.0035196469835239047,0.013497491680310792
GE,Industrials,0.016163215766796007,0.005563657691655872,0.010599558075140136
NFLX,Communication Services,0.015057585321945987,0.0068567207927700225,0.008200864529175966
MU,Information Technology,0.014408049489886584,0.006803571716713028,0.007604477773173556
AMD,Information Technology,0.012000266232641428,0.005121847438304723,0.006878418794336705
PM,Consumer Staples,0.011278094301476508,0.004319477725761815,0.006958616575714693
WMT,Consumer Staples,0.011063957168030148,0.016112707276085197,-0.005048750108055049
TMUS,Communication Services,0.010977275313922412,0.004045607266060904,0.006931668047861508
MCD,Consumer Discretionary,0.010272765557868432,0.0038215980322158574,0.006451167525652574
BAC,Financials,0.009740990748059552,0.0057982785536291265,0.003942712194430425
WFC,Financials,0.00969944174629873,0.0041209873767488235,0.005578454369549907
COST,Consumer Staples,0.00940708310621686,0.007233522387080486,0.0021735607191363743
MRK,Health Care,0.009039669675583197,0.004673288172346779,0.004366381503236419
META,Communication Services,0.008249494253694227,0.02662832472229429,-0.01837883046860006
LRCX,Information Technology,0.007051376376835973,0.00408702085923128,0.0029643555176046927
NVDA,Information Technology,0.006954517541695487,0.07057796756607256,-0.06362345002437707
INTC,Information Technology,0.004338327294110879,0.003540584863048471,0.0007977424310624081
AMAT,Information Technology,0.003402006525979342,0.004207043840184544,-0.000805037314205202
PEP,Consumer Staples,0.002523717203099893,0.0035586133441765596,-0.0010348961410766664
LLY,Health Care,0.001803100351007023,0.014469258249168258,-0.012666157898161235
CSCO,Information Technology,0.0012713955239214661,0.0050721854679926515,-0.0038007899440711855
AMGN,Health Care,0.0003438573378133332,0.003251825066269798,-0.002907967728456465
T,Communication Services,0.00010057971673949969,0.0033145130000037885,-0.0032139332832642887
JPM,Financials,0.00010057254746538096,0.01274497405643428,-0.0126444015089689
GOOGL,Communication Services,0.00010047634203871708,0.058942308229951924,-0.058841831887913205
IBM,Information Technology,0.00010031545688185503,0.003963703609106348,-0.0038633881522244927
V,Financials,0.00010007555191874102,0.00998854721668318,-0.009888471664764439
