Strategy,K,Mean_Corr_in,Mean_Corr_out,TE_in,TE_out,Std_TE_in,Std_TE_out,Consistency,Return_in,Return_out,Sharpe_in,Sharpe_out
S-Strategy,50,0.6524133619244593,0.457559036840586,0.1378461109354637,0.13876154697355156,0.0005904441197708013,0.00034975512799184405,0.0009154360380878579,7.992270787925149,48.27812176584381,0.2607602934811134,2.3513057266797737
Clustering,50,0.6229375781151417,0.44507168061886154,0.14258391810040769,0.16392216669206885,0.0007126416800361584,0.0005598889313348159,0.02133824859166117,7.472053958967262,45.47067770202773,0.252420176163513,2.2354502046845406
Correlation Ranking,50,0.7175610724969546,0.5296304894623671,0.138465110106714,0.14091854967022077,0.0002950318652067132,0.0003366383327586102,0.0024534395635067707,6.180325424888222,54.101610416109544,0.2322637336573787,2.501201278419685
S-Strategy,75,0.6311680536164258,0.44218599533069747,0.08681229596216308,0.10454123728268368,0.00014019120538805255,0.00019496882039872214,0.017728941320520594,6.729487351716279,50.081155979929704,0.24051170754983792,2.400750748430549
Clustering,75,0.6043064955660562,0.42576170662471485,0.12302924742249882,0.12769209481533775,0.0006566733663080247,0.0002619143165237669,0.004662847392838926,5.180287331214739,47.275184492889586,0.21503776510266642,2.294015863501626
Correlation Ranking,75,0.6757033129619939,0.48924857589047654,0.1066872288764252,0.127327878112414,0.000190873689360179,0.00030115603928515273,0.020640649235988795,5.645389170073423,53.160281390085906,0.22333526058301884,2.4651109432582348
S-Strategy,100,0.6053948917279686,0.4227688437870373,0.07199218507801736,0.09110587397023052,8.951932325486821e-05,0.00018019347655694114,0.019113688892213168,5.275972217949199,50.51651511376958,0.21678308310300862,2.429941057836571
Clustering,100,0.5811458327397555,0.4024896495564591,0.1157224086915388,0.12589765365501293,0.0006296582288753536,0.0002746834954032891,0.010175244963474134,3.65520716313692,46.517838300615196,0.18948813034515077,2.275902688864311
Correlation Ranking,100,0.6418919328095977,0.4665658033264154,0.08658880632921398,0.10354077053458983,0.00011566483739456817,0.00017545252452660513,0.016951964205375855,4.008570362513253,51.3309624398478,0.19638568251280916,2.402882940725912
S-Strategy,125,0.5779580957088424,0.3991351469705498,0.0575703066352071,0.0754163635873562,5.271796936147735e-05,0.00011880906195006396,0.01784605695214911,5.708265512869737,50.931697727103376,0.22376336016208004,2.448062047129121
Clustering,125,0.5659936688260176,0.38553089520205247,0.06158609579790265,0.0892224003038361,8.242710471143515e-05,0.00016876355638453452,0.027636304505933455,3.4036437078434956,51.005573549830686,0.18546918191215409,2.44979350837421
Correlation Ranking,125,0.6104190043606879,0.4432807407707649,0.0568208098481462,0.06827881422522418,4.771690612845682e-05,8.537031578395624e-05,0.01145800437707798,3.648931359424168,53.228597399859304,0.18976660714889992,2.4784125868484246
S-Strategy,150,0.556290015574803,0.3829074043478703,0.05136017424490682,0.07173062538922648,4.4094930311721934e-05,0.00010259803943608506,0.020370451144319658,5.576374340807866,51.49824006165369,0.2215641852906448,2.4681936882864512
Clustering,150,0.548797567541807,0.3719000910472942,0.05444009386893345,0.07970322250302886,6.351411721488994e-05,0.00011730988581938851,0.02526312863409541,4.111764746628532,51.55335299881671,0.1972995144458343,2.4681399783089923
Correlation Ranking,150,0.5774853322889925,0.4078056094224699,0.03952351114325796,0.04940654168614937,2.3042418530704354e-05,4.4381723195879986e-05,0.009883030542891413,4.41354905055249,52.82128796304952,0.20232072652376967,2.495174962932299
S-Strategy,175,0.5320739354839488,0.3595040071505064,0.04030068278133049,0.058202944875793056,3.3618175420554834e-05,7.233770305574517e-05,0.017902262094462565,5.4936306676778734,52.36937020192898,0.22012293887342968,2.4994977643216854
Clustering,175,0.5297471444297097,0.35452314172574007,0.04037938277739312,0.05838573508984252,3.351843887962983e-05,7.54811262685179e-05,0.018006352312449403,5.35028414992802,52.202168754570955,0.21773582802346955,2.4984720614579823
Correlation Ranking,175,0.5426826557355652,0.3714235093284924,0.03174071962743285,0.04385558274551286,1.471096107666971e-05,4.455026323422452e-05,0.012114863118080008,4.877943633466497,53.21142585575564,0.2099918293815879,2.5138228656199693
S-Strategy,200,0.5046623287339236,0.34070339043610365,0.020250818215404667,0.034095849577252105,8.965357713816079e-06,3.0153516806811732e-05,0.013845031361847438,5.36307638327127,53.54634149591784,0.2179216445150176,2.523818775019527
Clustering,200,0.5046623287339236,0.34070339043610365,0.020250818215404677,0.03409584957725208,8.965357713816101e-06,3.0153516806811912e-05,0.0138450313618474,5.363076383271248,53.5463414959179,0.21792164451501703,2.523818775019527
Correlation Ranking,200,0.5046623287339236,0.3407033904361036,0.020250818215385033,0.03409584957726271,8.96535771380378e-06,3.0153516806909087e-05,0.013845031361877674,5.363076383264476,53.546341495917574,0.21792164451491064,2.523818775019382
