,market_cap
MMM,80801046528.0
AOS,9819967488.0
ABT,190380539904.0
ABBV,406873374720.0
ACN,133329862656.0
ADBE,118723330048.0
AMD,313756286976.0
AES,10076511232.0
AFL,57466757120.0
A,32546357248.0
APD,60602507264.0
ABNB,79873245184.0
AKAM,14472872960.0
ALB,19125424128.0
ARE,8791527424.0
ALGN,12484500480.0
ALLE,12953696256.0
LNT,18402283520.0
ALL,55104651264.0
GOOGL,3610712735744.0
GOOG,3608535105536.0
MO,111648456704.0
AMZN,2287826370560.0
AMCR,19997337600.0
AEE,30826860544.0
AEP,71323402240.0
AXP,207344353280.0
AIG,42475429888.0
AMT,88287772672.0
AWK,26839240704.0
AMP,43190939648.0
AME,51100655616.0
AMGN,199201669120.0
APH,162096578560.0
ADI,154179747840.0
AON,73206956032.0
APA,11692462080.0
APO,63091933184.0
AAPL,3784127807488.0
AMAT,257716862976.0
APTV,15708972032.0
ACGL,35250868224.0
ADM,32452253696.0
ANET,167346405376.0
AJG,58652225536.0
AIZ,11163580416.0
T,203041832960.0
ATO,30612822016.0
ADSK,55329878016.0
ADP,91508547584.0
AZO,60564353024.0
AVB,25188325376.0
AVY,13810352128.0
AXON,46149066752.0
BKR,59106426880.0
BALL,16757239808.0
BAC,355193389056.0
BAX,9101329408.0
BDX,60546756608.0
BRK.B,
BBY,14009551872.0
TECH,8431267840.0
BIIB,27131248640.0
BLK,148612169728.0
BX,135752105984.0
XYZ,40306421760.0
BK,80355540992.0
BA,181501558784.0
BKNG,146677727232.0
BSX,105875226624.0
BMY,122779000832.0
AVGO,1566753947648.0
BR,22985486336.0
BRO,25094428672.0
BF.B,
BLDR,10299544576.0
BG,22576705536.0
BXP,9373395968.0
CHRW,21309046784.0
CDNS,81918468096.0
CZR,5388449280.0
CPT,11334294528.0
CPB,7691863040.0
COF,116742782976.0
CAH,51247120384.0
KMX,6195392000.0
CCL,35722752000.0
CARR,48771489792.0
CAT,318647304192.0
CBOE,31533236224.0
CBRE,40719650816.0
CDW,16068501504.0
COR,69731467264.0
CNC,21465804800.0
CNP,28471728128.0
CF,18058743808.0
CRL,8588282368.0
SCHW,169217703936.0
CHTR,30054031360.0
CVX,379757232128.0
CMG,46768971776.0
CB,129084678144.0
CHD,24181098496.0
CI,72559386624.0
CINF,25803900928.0
CTAS,81824079872.0
CSCO,310714073088.0
C,186354958336.0
CFG,24927379456.0
CLX,13986270208.0
CME,114001387520.0
CMS,23643437056.0
KO,331395956736.0
CTSH,31980154880.0
COIN,53176479744.0
CL,74992828416.0
CMCSA,116276674560.0
CAG,9098587136.0
COP,143099248640.0
ED,40567066624.0
STZ,25499529216.0
CEG,115496632320.0
COO,15002119168.0
CPRT,36532989952.0
GLW,105776422912.0
CPAY,21994811392.0
CTVA,52004331520.0
