Asset,Benchmark_Weight,Portfolio_Weight
NVDA,0.09462085449645044,0.09484563338236526
AAPL,0.0843270991894632,0.07986554183462537
GOOGL,0.07815941437703526,0.07904507241335644
GOOG,0.07810092904076046,0.0784371974844158
MSFT,0.06275946602936626,0.06317404188082729
AMZN,0.04691622704499371,0.05135082721048316
META,0.03493366770407141,0.03494336036284758
TSLA,0.032226852941215155,0.03429474952987949
ABBV,0.008350942443117298,0.01948248053927368
COST,0.00920814811464499,0.014801266405597322
GE,0.007557086243025192,0.014570381230734923
MA,0.00965648678966536,0.014455531322777758
CSCO,0.0064862911756663364,0.013525319159358678
RSG,0.0014613971054700124,0.013274734323639546
GS,0.005911345853740743,0.011632772049280373
NI,0.0004645361004628556,0.011302622700196467
NFLX,0.0075423443731800635,0.010614313735138641
MU,0.009831296726728106,0.0101997757212461
PEG,0.0009007469822408974,0.009073553535774515
PWR,0.0017710824437009711,0.008921213455372338
AMGN,0.004298217968514701,0.008082278182465975
HON,0.0034119655855832875,0.008054500991599366
PFE,0.0032387828815023246,0.007884740133575372
TMUS,0.005011316920339427,0.0074195936228602264
DVA,0.00021434166822155182,0.007415304884973065
PSA,0.0011213036042405733,0.007410307371307385
DLR,0.00129681497342515,0.007407035318637247
ORLY,0.0016204568048208232,0.007393120778661924
AMP,0.0009510022217981488,0.0073233655392774735
QCOM,0.003268504593254045,0.007140138784414934
AMD,0.006980289491573658,0.0069053159586260435
PANW,0.0025625286170403733,0.006772704993275586
SYY,0.000897172235499963,0.006690696007631806
GILD,0.003749349700849565,0.00663721367263906
AMAT,0.006267572465966245,0.006402481026503328
NSC,0.0014775488995114208,0.006313257734629299
STZ,0.0005699902253020955,0.006143515482441768
PGR,0.0026088925312495997,0.005861192956918813
SYK,0.0031054775449190757,0.0057717845680317955
ZTS,0.0012020019621714693,0.005745805544086813
ADM,0.0006819366223022282,0.0055753769419596136
ANET,0.0034477023769667187,0.005557136939269255
HAL,0.0006317384219963223,0.005536871965014192
CRM,0.003991558767047961,0.00508572240104094
MS,0.005929393847739337,0.00503772759369331
GLW,0.0027104911040373185,0.004854003443404312
AFL,0.0012555795121150207,0.004815199060975771
MDT,0.002615957477494002,0.0048043342476928675
SPGI,0.0027845305490964093,0.004769051224967218
ROK,0.000972033390166363,0.004630117227205903
PFG,0.00045024662721575775,0.0046215226383212755
APH,0.003836140970084951,0.004530518760855757
C,0.004369901972308414,0.00447117721638521
GEN,0.00029556166624918745,0.004276180187124944
ROST,0.0013911629748727668,0.004275027980499125
DAL,0.00096800766742762,0.004124137432758211
SWK,0.0002853574087561983,0.004113407604588071
ITW,0.0017584866272581674,0.0040500720689681325
MMC,0.001887989748870965,0.003910674272421838
CMI,0.0017079926407666045,0.0037127469057506137
DOC,0.0002558152522628648,0.0036557832560738454
MNST,0.00177971590478464,0.003567022784702772
DVN,0.0005561931407017077,0.0034613446015028465
CRWD,0.0020194684518594244,0.0033905255722786487
MRK,0.006263587897585453,0.0033856018267788973
AMCR,0.0004685114564664481,0.0033347466082270685
NDSN,0.00034335959028573344,0.003172981450664086
HLT,0.001552832790365152,0.002958719854637238
OTIS,0.0007492162918737383,0.00288897055024882
NOW,0.0024241499296272524,0.0028498780609725223
TAP,0.00019936066400568747,0.0026776966420432157
CSX,0.0016670800431433368,0.002650438329028398
ADSK,0.0010452049776351693,0.0026237819588516295
TEL,0.0014548358265771143,0.002619583904710647
PPG,0.0005800853548689253,0.002553612575411057
NWS,0.00031388045678407535,0.002546725980697829
RL,0.00048290222281423744,0.0025083685440037084
TXT,0.000361070062586082,0.002396266543165363
AXP,0.004855267515907933,0.002342004150703437
DHR,0.0031108541293236487,0.002269664628534846
NDAQ,0.0010632743236855876,0.002257225918096386
STT,0.0007765682702608758,0.002194134892984422
ROP,0.0007967443233923135,0.0021920070922987183
REGN,0.0017128541930178955,0.002101687805550292
TT,0.002130685435218199,0.0020963607947835847
RCL,0.0018282802856895502,0.0019903471782619464
SLB,0.001618409246367237,0.0019720667137379283
TER,0.0011124455161278318,0.0019586723331420377
ADI,0.0036471181430416306,0.0019498553997937904
NTAP,0.0004159847632508946,0.0017511475213370085
AIG,0.0009113108237840675,0.0016070790342658614
DLTR,0.0005442799872384047,0.0015651141636927857
TXN,0.004061030767150246,0.0015629279814376028
TDY,0.0006699268249753244,0.001479157839215652
STE,0.0005254531599301168,0.0014211048695623087
ALL,0.0011702841779620942,0.0014199313566387174
MPWR,0.0012082785183410466,0.0013788743452852116
CTSH,0.0006591283261045431,0.0013127192128929578
MCHP,0.0008527495499701165,0.001231079273140145
MAA,0.0003427820947711665,0.0011922155495220888
MAS,0.00030985568111214715,0.00113218023137451
DELL,0.0017109213157458826,0.0010856694285486565
SMCI,0.0004064252430163228,0.0010689092445884838
ROL,0.0006043198906411997,0.0006546653362475989
AIZ,0.00024335348882284608,0.0006422891104066876
TTD,0.00024614535569587783,0.0005322735103180547
AON,0.0014921235690152467,0.0005303462036288301
HWM,0.0022023417157833332,0.0005227425758984033
AME,0.001146609832210771,0.0005066147789083767
PCG,0.0008722707494476153,0.0003926162480629368
APO,0.0013957200881915927,0.000334263931777344
IR,0.0007850839506715775,0.00016191799841504956
OKE,0.0011122001397258167,0.00014326295258262347
PTC,0.00039317478816203795,0.0001297691701930432
ADBE,0.0022792609327352657,0.000122200846449437
SRE,0.0013060693659513918,0.00010775986813173047
HIG,0.0008270116317263388,6.164922987269422e-05
SNA,0.0004227026095076748,3.597181202055713e-05
ZBH,0.0004206971524788554,1.1722481053990642e-05
NWSA,0.0002971854768758904,2.388890353782768e-19
SYF,0.0005600814526553223,1.6265607012538976e-19
RVTY,0.00024156648136455734,1.1441037018914658e-19
REG,0.0003078245241338535,1.0842021724855044e-19
PKG,0.0004384678280946808,8.981123666151993e-20
TROW,0.00044249015000258883,8.131516293641283e-20
ZBRA,0.00025027560017218083,7.117651182192532e-20
TRGP,0.0010458736068064143,6.948244592741672e-20
AJG,0.001217130149180051,4.9153655193313514e-20
