Asset,Benchmark_Weight,Portfolio_Weight
NVDA,0.09462085449645044,0.09000018908791363
AAPL,0.0843270991894632,0.0854595029047316
GOOGL,0.07815941437703526,0.07948174361489492
GOOG,0.07810092904076046,0.07810126488366313
MSFT,0.06275946602936626,0.07264634709154089
AMZN,0.04691622704499371,0.041458945613380725
META,0.03493366770407141,0.032083580803109905
TSLA,0.032226852941215155,0.02970273877126113
PEG,0.0009007469822408974,0.021523948118764864
COST,0.00920814811464499,0.019342227742267088
MA,0.00965648678966536,0.01621320538223539
CSCO,0.0064862911756663364,0.01576603830131479
REG,0.0003078245241338535,0.015025240967735411
ADP,0.001856370115222396,0.014419248776505631
MSI,0.0016522723952030716,0.01342466671389532
TMO,0.00410754242378258,0.01276268466975864
GD,0.001993328030219359,0.012521672907901241
NFLX,0.0075423443731800635,0.012393130871060531
AIG,0.0009113108237840675,0.011783817518356603
IBM,0.004754993114721263,0.011545516150833074
ORCL,0.009080638482580353,0.010894939901340309
AIZ,0.00024335348882284608,0.009248487548149583
TXN,0.004061030767150246,0.008860625897296245
SYK,0.0031054775449190757,0.008595166237298963
GE,0.007557086243025192,0.008513060022951786
DHR,0.0031108541293236487,0.00849019812318684
PLTR,0.00683404033454166,0.007744757462823807
MU,0.009831296726728106,0.00738480771969704
INTC,0.0047731867848153685,0.007268416537500864
AMAT,0.006267572465966245,0.007189035601300202
STX,0.0018778642270690785,0.0071665163565570785
DE,0.003529635710024107,0.00664209168002919
C,0.004369901972308414,0.0064890762568041395
CRM,0.003991558767047961,0.0063877925334661885
TJX,0.0037123490057532986,0.0062824248828554
CTAS,0.0016749000599300802,0.006268624991655619
APD,0.0012928056952101912,0.00596900890146709
GS,0.005911345853740743,0.00578961011370326
AES,0.0002432400775717744,0.00516299159936157
AOS,0.0002242613536609409,0.005113677775114582
QCOM,0.003268504593254045,0.005104386727554891
RMD,0.0007887057924623021,0.005076324197575066
APH,0.003836140970084951,0.005007851788471271
SBUX,0.0023488026713939128,0.004894005441130696
HD,0.007848917133275709,0.00450592867248886
CTVA,0.0011195380995038297,0.004486412693560813
AMD,0.006980289491573658,0.004386635132442344
CTSH,0.0006591283261045431,0.004326756739158073
CTRA,0.0004802794934646297,0.004295512775923586
TDG,0.0015601072966665737,0.004279176460205862
TTWO,0.0008301984254611399,0.004274483397232082
CSX,0.0016670800431433368,0.004237804025794123
PKG,0.0004384678280946808,0.004173547324395168
NUE,0.0008447818768572483,0.004149192000880301
NSC,0.0014775488995114208,0.003908128125581332
GEN,0.00029556166624918745,0.003833740017228594
NDAQ,0.0010632743236855876,0.003808868164558136
GLW,0.0027104911040373185,0.003748651961462069
TRGP,0.0010458736068064143,0.0036071691525238407
COP,0.00284424724442441,0.003580721883141451
ROST,0.0013911629748727668,0.0033197195978677827
RJF,0.0006627952827144453,0.0032580466562227937
SPGI,0.0027845305490964093,0.003190130358732614
MLM,0.0008600446334505142,0.003176635681433432
HON,0.0034119655855832875,0.0029999335574966836
FCX,0.0020657357652535415,0.0027567763621196436
PLD,0.002787450442183405,0.0027000471643607664
GM,0.001584173297594306,0.0026186947521252136
NKE,0.0019899526840914303,0.002614084150807292
OMC,0.0005601785270038388,0.0024140431549555825
CMG,0.0010575610139798635,0.0024008663678435124
LUV,0.0005536336065377418,0.0023251493585700837
HAS,0.0002960471671372445,0.0023233348490045488
NWSA,0.0002971854768758904,0.002295747526792033
SW,0.0005102750366713005,0.0022831459164449116
GEV,0.004998533584667293,0.0022439756412839986
ROP,0.0007967443233923135,0.0022241935562753983
RVTY,0.00024156648136455734,0.0021096081893381548
MTCH,0.00016296304599011037,0.0020376514796884297
PPG,0.0005800853548689253,0.0020084445372068466
CPRT,0.0007559099879267412,0.001968958195406798
PYPL,0.000895447196345306,0.0019406535216790765
PODD,0.00037214572916991124,0.0017905688002459504
TKO,0.0003864076513823969,0.0017885043655999464
ALGN,0.0002882739871093419,0.0017763028718326085
PCAR,0.0013716027734618952,0.0016266625029428222
NWS,0.00031388045678407535,0.0015678877954245036
TGT,0.001096401343315377,0.0012939321631374283
ITW,0.0017584866272581674,0.0012932403971540347
SMCI,0.0004064252430163228,0.0012898921190116954
CRWD,0.0020194684518594244,0.0012742442688136201
CSGP,0.00040088959443535595,0.001260321559069968
ROK,0.000972033390166363,0.0011954531708512973
STT,0.0007765682702608758,0.0011486355545523557
PSX,0.0012950866625851328,0.0010777852864810654
AKAM,0.0003042469577167206,0.0010487335387803873
CMI,0.0017079926407666045,0.0010447304748753923
ADBE,0.0022792609327352657,0.0010040173360161117
DLR,0.00129681497342515,0.0009205461615160798
SLB,0.001618409246367237,0.0008204970599464657
MTD,0.0005913799445566927,0.0006156193663534566
PWR,0.0017710824437009711,0.0005720741598452075
SHW,0.001889354902636,0.0005552143901782446
GEHC,0.0008039330770985046,0.0005027546351712396
BEN,0.000300619455049353,0.00042256564871886456
ABNB,0.0017260475225238515,0.00040242284976061934
HLT,0.001552832790365152,0.0002839363420675034
NRG,0.000822911090709227,0.00024779402328199175
TT,0.002130685435218199,0.0002067108808216721
DELL,0.0017109213157458826,0.0001570779119464267
DDOG,0.0008584288513674911,0.00013926053964968528
PNC,0.0018936549303631008,0.0001245317665002148
NOW,0.0024241499296272524,0.00012323578269252567
A,0.0007208701085735243,9.952652632666112e-05
OKE,0.0011122001397258167,7.722515793355013e-05
AXP,0.004855267515907933,7.047139508441687e-05
PFG,0.00045024662721575775,6.250802638543734e-05
MSCI,0.000904799997723303,5.79059473757064e-05
MMM,0.0018396869306009044,4.5050933006317405e-05
AMP,0.0009510022217981488,1.2468324983583301e-18
ODFL,0.000876336421186546,9.897604006478571e-19
COIN,0.0010262736285893213,7.86472493306825e-19
ON,0.0005764906336278971,6.416298593263396e-19
FOXA,0.0005080689736717108,5.63702828178944e-19
SWKS,0.0001884164244666568,5.55232498706401e-19
CEG,0.0024639918251679028,5.120338183964317e-19
TTD,0.00024614535569587783,4.636406006996363e-19
HST,0.0002972300966374147,4.544355779831392e-19
TXT,0.000361070062586082,4.400360178798161e-19
TER,0.0011124455161278318,4.2478942482923877e-19
CFG,0.000576509058382294,4.1795077111043434e-19
HPE,0.0005845949426530453,4.1462502946218716e-19
MPWR,0.0012082785183410466,3.663911914516484e-19
PAYC,0.00014979244608770935,3.5109755841811464e-19
MGM,0.00021627897948819764,3.2623249437637765e-19
NTRS,0.0005867003582793171,2.39289209380547e-19
MAS,0.00030985568111214715,2.2408965631292602e-19
SYF,0.0005600814526553223,2.1472525391017226e-19
GDDY,0.0002508563673721079,1.8191266322588912e-19
NCLH,0.0002394266054207744,1.7999690307274594e-19
GPN,0.00045820818744282134,1.7745580423098304e-19
ALLE,0.00029046377777911366,1.4950371697159113e-19
TPL,0.0007427399907032223,1.3552527156068805e-19
FANG,0.001005670878809327,1.1566943906437556e-19
IEX,0.0003316806851893715,1.1566943906437556e-19
HBAN,0.0007483576466606522,1.1477536613416482e-19
FOX,0.0005105788298763916,9.427922064278099e-20
PRU,0.0007483853698892306,8.51292129802643e-20
HAL,0.0006317384219963223,7.793936895042375e-20
SNA,0.0004227026095076748,7.247075875440624e-20
ACN,0.00270323519468426,6.992965991264334e-20
AME,0.001146609832210771,6.48004222461611e-20
DVN,0.0005561931407017077,5.71771257208724e-20
MET,0.0010517501563922158,5.124789509009229e-20
GRMN,0.001028306722749736,4.7059770336777223e-20
NTAP,0.0004159847632508946,4.532860048113319e-20
APA,0.00021884916815383002,4.165638429271141e-20
APTV,0.00034991103259830503,3.5154269092260586e-20
HPQ,0.0003695641541782555,2.4989873725208985e-20
DAY,0.00023500193078629915,2.4142840777954684e-20
CPAY,0.0004959336899918468,6.355148885614377e-21
TROW,0.00044249015000258883,0.0
MS,0.005929393847739337,0.0
APO,0.0013957200881915927,0.0
ADI,0.0036471181430416306,0.0
PH,0.0026927585693850343,0.0
IR,0.0007850839506715775,0.0
RL,0.00048290222281423744,0.0
ADSK,0.0010452049776351693,0.0
PANW,0.0025625286170403733,0.0
MCO,0.001786891399555424,0.0
RCL,0.0018282802856895502,0.0
PNR,0.0003460959246046249,0.0
HWM,0.0022023417157833332,0.0
DAL,0.00096800766742762,0.0
NXPI,0.0012306775955777572,0.0
MCHP,0.0008527495499701165,0.0
TEL,0.0014548358265771143,0.0
HUBB,0.0005857533345130139,0.0
ZBRA,0.00025027560017218083,0.0
ANET,0.0034477023769667187,0.0
FTV,0.00039923222750946517,0.0
NDSN,0.00034335959028573344,0.0
