Asset,Benchmark_Weight,Portfolio_Weight
MSFT,0.06275946602936626,0.09486171610379165
NVDA,0.09462085449645044,0.09205159761294443
AAPL,0.0843270991894632,0.08546145687905464
GOOG,0.07810092904076046,0.08075146398121694
GOOGL,0.07815941437703526,0.08018442524196939
COST,0.00920814811464499,0.04585941698801961
AMZN,0.04691622704499371,0.04500925120772938
SYY,0.000897172235499963,0.04219397919060148
PEG,0.0009007469822408974,0.03263801363477816
TSLA,0.032226852941215155,0.029691991053737845
META,0.03493366770407141,0.028360166921677286
SYK,0.0031054775449190757,0.027275838548036047
MCO,0.001786891399555424,0.020712118586922075
PFG,0.00045024662721575775,0.020536282141002744
TEL,0.0014548358265771143,0.019753166892326243
GE,0.007557086243025192,0.018647821355716167
TMO,0.00410754242378258,0.014738268075359901
STZ,0.0005699902253020955,0.01343811990845298
AMP,0.0009510022217981488,0.013262424931599109
TRGP,0.0010458736068064143,0.011689363073913788
QCOM,0.003268504593254045,0.011520678033920945
STLD,0.0005956967181470187,0.011251317422243284
DLR,0.00129681497342515,0.010802560838564425
ADI,0.0036471181430416306,0.010656063191143697
HLT,0.001552832790365152,0.010381444582622657
CMI,0.0017079926407666045,0.009762609764850131
ROK,0.000972033390166363,0.008901645872004716
PWR,0.0017710824437009711,0.008847243572292721
SOLV,0.00028050999793439194,0.008566423649927178
MLM,0.0008600446334505142,0.007887151640685732
MS,0.005929393847739337,0.007423496975076981
STT,0.0007765682702608758,0.007070257659617987
MU,0.009831296726728106,0.006998663382656079
GS,0.005911345853740743,0.0068855521815959905
AMD,0.006980289491573658,0.006758271553824499
ABNB,0.0017260475225238515,0.006588349049297794
DHR,0.0031108541293236487,0.006009121727145226
SLB,0.001618409246367237,0.0057641876348585265
AES,0.0002432400775717744,0.005245677519333508
APH,0.003836140970084951,0.004262182702481326
NWSA,0.0002971854768758904,0.003379497063002882
AMAT,0.006267572465966245,0.002899544149347288
TT,0.002130685435218199,0.0027061221859942574
FCX,0.0020657357652535415,0.002625247647532986
DLTR,0.0005442799872384047,0.002467669790025788
A,0.0007208701085735243,0.0024307966525470136
RVTY,0.00024156648136455734,0.0021278164611902898
HWM,0.0022023417157833332,0.0013723363342730871
ALGN,0.0002882739871093419,0.001271427805201783
NXPI,0.0012306775955777572,1.9760627891117315e-05
IR,0.0007850839506715775,6.562650638763159e-19
MCHP,0.0008527495499701165,5.532839518910996e-19
CEG,0.0024639918251679028,3.7843825717690533e-19
RL,0.00048290222281423744,3.5810946644280213e-19
APO,0.0013957200881915927,2.0903166772604527e-19
PNR,0.0003460959246046249,2.0825075847890937e-19
IDXX,0.0011111030919663519,1.6159782267980445e-19
TROW,0.00044249015000258883,1.542794369514718e-19
TGT,0.001096401343315377,1.2637934647493213e-19
DAL,0.00096800766742762,1.0061145047749483e-19
C,0.004369901972308414,9.474834354683314e-20
SPG,0.0016062743931722888,5.263548328095579e-20
NCLH,0.0002394266054207744,4.640134185321961e-20
HUBB,0.0005857533345130139,0.0
PH,0.0026927585693850343,0.0
FTV,0.00039923222750946517,0.0
MPWR,0.0012082785183410466,0.0
NRG,0.000822911090709227,0.0
MTD,0.0005913799445566927,0.0
GEHC,0.0008039330770985046,0.0
SYF,0.0005600814526553223,0.0
RCL,0.0018282802856895502,0.0
AXP,0.004855267515907933,0.0
MGM,0.00021627897948819764,0.0
HST,0.0002972300966374147,0.0
TOTAL,0.6470064636313752,0.9999999999999997
