Asset,Benchmark_Weight,Portfolio_Weight
NVDA,0.09312060855766331,0.0928371898763366
GOOGL,0.07923438827154851,0.07949631074423008
GOOG,0.07914720072288685,0.07805380843316853
AAPL,0.08385285553613878,0.07661934193956205
MSFT,0.06192832113169876,0.05317600213358725
AMZN,0.04689269777816372,0.04770353394155274
META,0.03462422328620769,0.03515601548943387
TSLA,0.032069928182290285,0.03229733899089306
COST,0.009350996570016496,0.012682881423010935
MA,0.00965344470279062,0.010215169906017015
MU,0.00976355857579204,0.009842854613670762
ORCL,0.00877770023397163,0.009082231212415064
NFLX,0.008269841098347167,0.009073458800831383
CSCO,0.006485124063471076,0.008571402203160529
GE,0.007609702435212384,0.007737412908549796
PLTR,0.006894976392483322,0.007547188425943404
AMD,0.006897206787788872,0.00716354076894356
KO,0.007431562547307914,0.007125455567434989
ABBV,0.008488591407160686,0.007042153714165373
PM,0.006266366113938665,0.0069042564949413085
MRK,0.006416720874899102,0.0065745173338465634
AMAT,0.006247992963447512,0.0065712820105900925
PG,0.00819980835281885,0.006564566708880314
RTX,0.005648323644231949,0.006470809798927019
GS,0.005676828387973413,0.006279108198312171
APH,0.0038040180319415993,0.006127459628036154
MSI,0.0016754490241865172,0.00599731744706499
MCD,0.005129976232707099,0.005517857376051932
C,0.004183142862625724,0.005238885468290986
SYK,0.0031332049372097947,0.005216638957503128
TMUS,0.005120869190399076,0.004913753468469921
RSG,0.0014811269619330713,0.004767515932633734
ROST,0.0013892633801360819,0.004626067924673444
ORLY,0.0016413417233177613,0.004393746101787615
INTC,0.004788230840757073,0.004378847973280734
GEV,0.004976779124318973,0.004319209156174078
PGR,0.0026422394310547407,0.004316609591062653
CRM,0.0038461715307613552,0.004290829323448306
SPGI,0.0027931641201834126,0.004208255295318692
AMGN,0.004387764787597798,0.004091190394306583
MNST,0.0017786381483869864,0.004078886027750028
GILD,0.003821087397945516,0.0040692518995063005
QCOM,0.0032158209048364257,0.004030771638679185
T,0.004160529807760521,0.004029989183768333
TER,0.0010816413519297552,0.003975293883367037
MS,0.005697892808041443,0.00397432315439635
NOW,0.002338220262284874,0.003938125270781119
IBM,0.00467361484780146,0.003913575889634155
PLD,0.00281342869590565,0.003850572825107836
AEP,0.0015297304430662833,0.0038267324776143623
DE,0.0035693052194472386,0.003742137898057017
MO,0.0024983674727684538,0.003737433378213517
TMO,0.004073847241156519,0.0035983893497982303
COP,0.0029204230717668565,0.0035765390518803044
NEE,0.004046062114212485,0.0035670767962806206
HD,0.007915408987288387,0.003559673759860462
CMCSA,0.0023524260952314476,0.003557672730899827
PFE,0.0032686304280667815,0.00349449109742413
MDLZ,0.0016559393167602332,0.0034380893240595033
HWM,0.002214173191079151,0.0033222325410564983
ANET,0.0034291938840772533,0.003277955760763787
AON,0.0015122818195610183,0.0031889830892555255
AXP,0.004586540520701558,0.0030566824832778013
REGN,0.0017568230276878531,0.003054424496888991
PEP,0.004903624103207209,0.0030329749591809403
CRWD,0.0019599975573880686,0.003013657437920713
GRMN,0.0010245734303125776,0.0029409851322895935
CME,0.00244150333259717,0.0029363574189331682
GLW,0.0027659162746996235,0.0029237401927317648
ADBE,0.002250475635754934,0.0028371531562057153
TT,0.002122695205107136,0.002824495348264199
CL,0.001688753946914686,0.002818765922266895
PPG,0.0005764717927683241,0.002790879081012321
SWK,0.0002824888167955611,0.0027780637127374696
PRU,0.0007326685345190499,0.0027709136932174954
NKE,0.0019427932632346337,0.0027683166448680034
ADM,0.0006911818186621159,0.002753705191098769
HON,0.003439655764766925,0.002717237057460958
AMT,0.0018654764814647572,0.0026990753515840917
APD,0.0012948371185881075,0.0026775950088076756
CEG,0.002490617526327207,0.002661027042126293
GD,0.0020097560026428323,0.002656685062120803
ABNB,0.0017136644270284427,0.0026489902010526723
TJX,0.0037618461259354224,0.0026299766435626333
OXY,0.0010996935054011087,0.002603461731728044
CVS,0.0020967718087821314,0.002593987975591671
ALL,0.0011790333411502481,0.0025611967623949934
ABT,0.004271953022135643,0.002544093347794066
NTRS,0.0005722675740245521,0.0025029363348168295
HST,0.0002945800373756987,0.00244586032258541
TROW,0.00043421068035973126,0.002425563275225898
IR,0.00077674263222384,0.0023923052379382233
TXN,0.004038806904319472,0.0023789233259415123
DHR,0.003106189091735988,0.0023758100240071425
SBUX,0.0023543308917205923,0.0023599910879522675
PANW,0.0025038040179125552,0.0023381495742837693
NEM,0.002994491506091575,0.002208407136100504
CCI,0.0008094851965069285,0.00213161571343986
MSCI,0.0009020878442039819,0.0020635442464883615
AMP,0.0009228118181495788,0.002059701970226269
