Strategy,K,Mean_Corr_in,Mean_Corr_out,TE_in,TE_out,Std_TE_in,Std_TE_out,Consistency,Return_in,Return_out,Sharpe_in,Sharpe_out
S-Strategy,50,0.6332878625989248,0.3919985648294045,0.1625108410760895,0.19122016351472468,0.000501839721495262,0.00048711597836183413,0.028709322438635165,12.942552737645352,19.626024598051316,0.5569459469669774,2.87319117776778
Clustering,50,0.5816422994294715,0.34346649514263644,0.1742174350616492,0.2391800544566665,0.00047958908163644055,0.0009247176999277204,0.06496261939501732,14.82199607834378,19.203866664187363,0.6225018450344713,2.7464997306037695
Correlation Ranking,50,0.6999363425413491,0.4487868805164431,0.1748665058446005,0.22979572633445028,0.0005376066154353423,0.0017099926194306418,0.05492922048984977,16.876373322150307,19.96620739367019,0.6662151707519454,2.650681481380032
S-Strategy,75,0.6180681497174991,0.38690785966028896,0.09513186582808003,0.1349803482905668,0.0001304058163218236,0.00028358124628078513,0.03984848246248676,14.738593174149717,22.577591782879992,0.6158706483738605,3.2202424280360464
Clustering,75,0.5634067418319314,0.31742412654676405,0.1277013104365665,0.18006863798467038,0.00028192050653897375,0.0005230428178600759,0.05236732754810389,15.80282119778298,23.686043875667107,0.6562094446125633,3.3722814690022265
Correlation Ranking,75,0.6754826381046534,0.43742902762792635,0.15147982478720753,0.22074669925968587,0.00043718576571065903,0.0013795932376104753,0.06926687447247834,17.821711939186113,21.68645872325634,0.6993109545716815,2.9037631723484214
S-Strategy,100,0.5891246193374071,0.35721613120245854,0.08118497176236007,0.12300203288181952,0.00010071005731058206,0.0002453956820816427,0.041817061119459445,15.992854820869272,22.86244239543811,0.6575998465708289,3.2705974604445003
Clustering,100,0.5518064677411741,0.31149877458145525,0.12001822204363065,0.1691049197927804,0.00023679315231591878,0.00046011091052481284,0.04908669774914974,15.610656434916393,23.644407349496266,0.6507870090686454,3.381825487068931
Correlation Ranking,100,0.6528717967689944,0.41495711046624506,0.11840302994328598,0.14515377385931633,0.00023764475420627135,0.0003946540746225996,0.026750743916030342,17.91117907673525,21.27171717532754,0.7063958076982512,2.9523016658371444
S-Strategy,125,0.5685678550048842,0.33772155399626597,0.0716256695374459,0.1031767076011095,8.241584162326998e-05,0.00016828208386237482,0.031551038063663606,15.409636739516097,21.54183774938887,0.6394774953477425,3.133328116828158
Clustering,125,0.5361195902334773,0.3044397095644911,0.05576881023156244,0.09151821988735559,4.2686673050903155e-05,0.00014442990760826197,0.03574940965579315,17.401707984264636,22.824046644854956,0.7046951900114274,3.2384588909921854
Correlation Ranking,125,0.6298329736373659,0.38819395043006183,0.08953995286947025,0.11995254001144272,0.0001301394556416129,0.00020558850699685196,0.030412587141972466,17.86407101903307,20.04913757878528,0.7106538558417188,2.897494441077408
S-Strategy,150,0.5509828879955935,0.31692366159033725,0.05413752705081727,0.09539018873715456,4.4810132153754444e-05,0.00017004704039944775,0.04125266168633729,16.395170653416514,21.980399478472457,0.6730226410299537,3.204100977266488
Clustering,150,0.5229457489968312,0.28979100442210853,0.04553598889103928,0.0728046346732668,2.723939215370162e-05,9.316533629935413e-05,0.02726864578222752,17.98634292196899,22.872468152923076,0.7235829832773244,3.2247798401245844
Correlation Ranking,150,0.6081727515882082,0.36645535573229676,0.08136802182770363,0.11884202580276443,0.0001168912484326206,0.00023205074502549575,0.0374740039750608,17.416699773016873,20.512699666479218,0.6976893517730293,2.9549092171055733
S-Strategy,175,0.5349847161656659,0.30850903896585546,0.04151233597291823,0.06531404154241714,2.686111137148057e-05,7.45924378521902e-05,0.023801705569498913,17.183618007419632,21.961020398958176,0.6982253989587605,3.1646838422305885
Clustering,175,0.5112685550539666,0.28709955646976465,0.038211846776269355,0.06332255799378218,2.1387520022101857e-05,5.626410518854273e-05,0.025110711217512828,18.289944413704305,22.95659557351999,0.7332200504762819,3.2380796739833784
Correlation Ranking,175,0.5879421905780857,0.3385550809034386,0.06571282454050602,0.10515093490363125,6.373115593409875e-05,0.00016425261359777089,0.03943811036312524,16.477379765270772,22.16587835080912,0.6707930879567955,3.168301084346317
S-Strategy,200,0.5214504708976342,0.2963795996218723,0.035682796994680535,0.0562687162340107,2.0427172656440996e-05,4.6862103192516306e-05,0.020585919239330168,17.223099770072082,21.6991110426084,0.6995717221941702,3.132676288123856
Clustering,200,0.4962687942953512,0.27631673706548016,0.03212513857113465,0.0493907128670522,1.4637164000945203e-05,3.111387469499892e-05,0.017265574295917546,17.999512161943333,22.30272575082102,0.7244292106690666,3.1588928559207763
Correlation Ranking,200,0.565882806584761,0.32390879753434104,0.04670912988256812,0.09115803508040865,2.9045912491870683e-05,0.00011941512021204829,0.04444890519784053,17.79706311792053,20.802797275374175,0.7150924374700148,2.9988750049623327
