Asset,Benchmark_Weight,Portfolio_Weight
NVDA,0.09462085449645044,0.09821540100231395
MSFT,0.06275946602936626,0.09806453751581881
AAPL,0.0843270991894632,0.09776981591035858
GOOG,0.07810092904076046,0.08713026283779783
GOOGL,0.07815941437703526,0.0838564940033155
AMZN,0.04691622704499371,0.06810106719178309
PEG,0.0009007469822408974,0.03497883473114885
REG,0.0003078245241338535,0.026782709570350668
NDAQ,0.0010632743236855876,0.025584045917686798
GE,0.007557086243025192,0.025101100651869743
CSCO,0.0064862911756663364,0.020080902777066572
HIG,0.0008270116317263388,0.01996869026687629
AIZ,0.00024335348882284608,0.019791161678986303
MS,0.005929393847739337,0.019089199497415377
HLT,0.001552832790365152,0.018455386538419122
QCOM,0.003268504593254045,0.017436309553928407
PH,0.0026927585693850343,0.01713572931342683
GEHC,0.0008039330770985046,0.016553835625735633
TEL,0.0014548358265771143,0.016422228326501448
PANW,0.0025625286170403733,0.01521960021628825
AMAT,0.006267572465966245,0.014891220809195254
OTIS,0.0007492162918737383,0.013727346435762063
SRE,0.0013060693659513918,0.013233164354690725
CINF,0.0005417690117729428,0.01244488733617826
ZTS,0.0012020019621714693,0.012219157235818135
AMCR,0.0004685114564664481,0.011692983373974506
ADI,0.0036471181430416306,0.01084998659783554
GS,0.005911345853740743,0.01077283303160074
ADSK,0.0010452049776351693,0.01052870830091311
SLB,0.001618409246367237,0.010403996178891832
REGN,0.0017128541930178955,0.008970653308588804
DOC,0.0002558152522628648,0.00875428455681656
A,0.0007208701085735243,0.007215513209464797
NWSA,0.0002971854768758904,0.006116286530978857
NXPI,0.0012306775955777572,0.005933616509281458
SMCI,0.0004064252430163228,0.005925640345810175
TTD,0.00024614535569587783,0.00211332010554527
DLTR,0.0005442799872384047,0.0020048870274949324
MPWR,0.0012082785183410466,0.0018277082012689272
NOW,0.0024241499296272524,0.001826585098365895
APH,0.003836140970084951,0.0017543141429769884
MCO,0.001786891399555424,0.000973440888420307
TT,0.002130685435218199,5.90067216428193e-05
AIG,0.0009113108237840675,2.0400915473094614e-05
PNR,0.0003460959246046249,2.745655922800753e-06
FTV,0.00039923222750946517,1.6442772585452338e-19
TROW,0.00044249015000258883,1.0051284232510422e-19
STE,0.0005254531599301168,9.067638772625522e-20
NDSN,0.00034335959028573344,3.646627910198e-20
TXT,0.000361070062586082,3.27502065447602e-20
TOTAL,0.5234209960476051,0.9999999999999999
