Asset,Benchmark_Weight,Portfolio_Weight
MSFT,0.06275946602936626,0.1
AAPL,0.0843270991894632,0.0960142403568224
GOOG,0.07810092904076046,0.0878573556809861
GOOGL,0.07815941437703526,0.08346733591832592
NVDA,0.09462085449645044,0.08239247235605283
CSCO,0.0064862911756663364,0.07693475645489796
MCO,0.001786891399555424,0.06673909021472958
HLT,0.001552832790365152,0.04550030418718047
FTV,0.00039923222750946517,0.0420163846434994
TEL,0.0014548358265771143,0.034988508814553274
META,0.03493366770407141,0.03431173003956643
AMZN,0.04691622704499371,0.03048105179403523
GE,0.007557086243025192,0.02839378814869153
TSLA,0.032226852941215155,0.026647701897251307
STT,0.0007765682702608758,0.025758628786710973
CMI,0.0017079926407666045,0.024258714657306404
AMP,0.0009510022217981488,0.023206581510257715
QCOM,0.003268504593254045,0.02167485187236612
PANW,0.0025625286170403733,0.019401482848781473
PWR,0.0017710824437009711,0.01632817216461227
TXN,0.004061030767150246,0.015494667221816113
PNR,0.0003460959246046249,0.007410190229727272
NTAP,0.0004159847632508946,0.004919060775336136
TROW,0.00044249015000258883,0.0028690616428631425
MS,0.005929393847739337,0.0018118424022537864
MU,0.009831296726728106,0.0006051419097887448
AMAT,0.006267572465966245,0.0005168834715874264
DELL,0.0017109213157458826,2.4847761948709068e-18
TER,0.0011124455161278318,2.480463897402975e-18
ZBRA,0.00025027560017218083,1.926581482630323e-18
CRWD,0.0020194684518594244,1.7927502769641434e-18
SYF,0.0005600814526553223,1.6597661042452183e-18
HPE,0.0005845949426530453,1.3634851024553902e-18
C,0.004369901972308414,6.502984925652073e-19
RCL,0.0018282802856895502,4.673393759582785e-19
RL,0.00048290222281423744,3.8328745273298774e-19
ON,0.0005764906336278971,1.9262790686910977e-19
GS,0.005911345853740743,0.0
MPWR,0.0012082785183410466,0.0
APH,0.003836140970084951,0.0
ADI,0.0036471181430416306,0.0
PH,0.0026927585693850343,0.0
APO,0.0013957200881915927,0.0
NXPI,0.0012306775955777572,0.0
ANET,0.0034477023769667187,0.0
HUBB,0.0005857533345130139,0.0
AMD,0.006980289491573658,0.0
AXP,0.004855267515907933,0.0
MCHP,0.0008527495499701165,0.0
IR,0.0007850839506715775,0.0
TOTAL,0.6205374722699373,1.0
