Asset,Benchmark_Weight,Portfolio_Weight
NVDA,0.09462085449645044,0.0941648111843506
AAPL,0.0843270991894632,0.08029446692536626
GOOGL,0.07815941437703526,0.0789422878041346
GOOG,0.07810092904076046,0.07681265457295305
MSFT,0.06275946602936626,0.0691933706662188
AMZN,0.04691622704499371,0.04674719844294966
META,0.03493366770407141,0.03551729491473604
TSLA,0.032226852941215155,0.029763668714076996
PG,0.00804300728436008,0.023334577624860065
MA,0.00965648678966536,0.020081142327394358
GE,0.007557086243025192,0.014883995972647177
TJX,0.0037123490057532986,0.013929967257886585
AMGN,0.004298217968514701,0.013433552942949803
PEP,0.004816446730587597,0.012609996388169299
PNW,0.0002504291971901439,0.01260808666292374
CSCO,0.0064862911756663364,0.011910484338951111
MU,0.009831296726728106,0.011307259198803076
GS,0.005911345853740743,0.010809122814628312
NI,0.0004645361004628556,0.010569396354359467
NFLX,0.0075423443731800635,0.010297148703560374
COST,0.00920814811464499,0.009985461570002333
LNT,0.0003860593460370103,0.009731812273944379
SYY,0.000897172235499963,0.00842423893459303
HON,0.0034119655855832875,0.008029093403553362
MDLZ,0.0016257550409707177,0.007732623978755708
PLTR,0.00683404033454166,0.00771391340944592
HD,0.007848917133275709,0.0074390355779703045
AMAT,0.006267572465966245,0.007399111496840874
SYK,0.0031054775449190757,0.007397295267335023
TMO,0.00410754242378258,0.007092887651777558
AMD,0.006980289491573658,0.0067304816440968964
PSX,0.0012950866625851328,0.006520929246246564
GEV,0.004998533584667293,0.006221588403227444
MET,0.0010517501563922158,0.006065829416602398
TRGP,0.0010458736068064143,0.005568047433685872
STE,0.0005254531599301168,0.005513564329549731
NOW,0.0024241499296272524,0.0053324551856271
TTWO,0.0008301984254611399,0.005257115475244395
PANW,0.0025625286170403733,0.005215928413973644
ADM,0.0006819366223022282,0.005146796944769078
PFG,0.00045024662721575775,0.005123827075651669
HLT,0.001552832790365152,0.0050447668670707355
GLW,0.0027104911040373185,0.004985458364710479
ADSK,0.0010452049776351693,0.00496523041302552
ANET,0.0034477023769667187,0.00476705760173735
CRWD,0.0020194684518594244,0.004679038796211007
QCOM,0.003268504593254045,0.004652149640374898
APH,0.003836140970084951,0.004592954445212617
MDT,0.002615957477494002,0.00459178241836959
NEE,0.004028716158653584,0.0045362121987895425
HAL,0.0006317384219963223,0.0044224749413856275
ITW,0.0017584866272581674,0.004125868152955589
PWR,0.0017710824437009711,0.004035944640185593
TXN,0.004061030767150246,0.004016023003177953
MMM,0.0018396869306009044,0.003969475716664797
ADI,0.0036471181430416306,0.003739686972319143
HWM,0.0022023417157833332,0.0036678052251103216
FOXA,0.0005080689736717108,0.003646442636236628
GNRC,0.0002890767553803552,0.0036077460392643923
PRU,0.0007483853698892306,0.0035820010365365633
NUE,0.0008447818768572483,0.003466540735744998
SJM,0.00026015208645026783,0.003373162437482944
REG,0.0003078245241338535,0.0033412155862390354
DAY,0.00023500193078629915,0.0032959806425208772
