Asset,Benchmark_Weight,Portfolio_Weight
NVDA,0.09312060855766331,0.03627570265771389
GOOGL,0.07923438827154851,0.034813055955679614
GOOG,0.07914720072288685,0.03419643043001892
TSLA,0.032069928182290285,0.026551232315364895
AAPL,0.08385285553613878,0.02270908152078454
AMZN,0.04689269777816372,0.022016014646648478
META,0.03462422328620769,0.021525843206174674
MSFT,0.06192832113169876,0.01950371596632463
AMD,0.006897206787788872,0.012476414504657564
NFLX,0.008269841098347167,0.012387211812263989
PLTR,0.006894976392483322,0.01192617891511518
ORCL,0.00877770023397163,0.01106932569470032
APH,0.0038040180319415993,0.010873761486429682
MU,0.00976355857579204,0.01036556998552132
ANET,0.0034291938840772533,0.010327739776264116
TER,0.0010816413519297552,0.009860504837112604
CRWD,0.0019599975573880686,0.009613886369858618
AMAT,0.006247992963447512,0.009590990044369073
COST,0.009350996570016496,0.009526792212867837
SNPS,0.0016627683829223358,0.009357480327072995
QCOM,0.0032158209048364257,0.008226453442513328
CEG,0.002490617526327207,0.008219032504023135
NOW,0.002338220262284874,0.007974423990306167
MPWR,0.0011839247904625123,0.007951436676006694
ADBE,0.002250475635754934,0.007890339794050724
DDOG,0.0008209515712517972,0.007505604457788295
COIN,0.000991982117533003,0.007500494466307199
ABNB,0.0017136644270284427,0.007402452369222496
GE,0.007609702435212384,0.007137709305207573
PANW,0.0025038040179125552,0.007073194765823728
ROST,0.0013892633801360819,0.007058185205371217
MNST,0.0017786381483869864,0.006627358620948282
MSI,0.0016754490241865172,0.006596273990636594
STX,0.001871444924835338,0.0065921713577135575
GLW,0.0027659162746996235,0.006574462743573632
GEV,0.004976779124318973,0.006476832739776582
HWM,0.002214173191079151,0.006389883130310161
CSCO,0.006485124063471076,0.006245049267370378
REGN,0.0017568230276878531,0.006138771969778633
CRM,0.0038461715307613552,0.006061944506742142
MSCI,0.0009020878442039819,0.005989023437814489
DELL,0.0020116825057197372,0.005967062866367333
TJX,0.0037618461259354224,0.005868707123965238
INCY,0.00042471530719667623,0.005667906946461607
PWR,0.0017722095253558867,0.005574417828068086
TROW,0.00043421068035973126,0.005559488556552869
TTWO,0.0008292826464605636,0.005497937517721751
GRMN,0.0010245734303125776,0.005406307780496153
MA,0.00965344470279062,0.005398209836307554
MCD,0.005129976232707099,0.005246286747186881
DLR,0.0013024991099357495,0.005198962517175826
FCX,0.0020804937781416055,0.005166368497444155
SPGI,0.0027931641201834126,0.005151510784715051
TMUS,0.005120869190399076,0.005000076138862089
NKE,0.0019427932632346337,0.0048381257535856075
SYK,0.0031332049372097947,0.004790463491929553
GDDY,0.0002452922777699301,0.004779198913206115
ORLY,0.0016413417233177613,0.0047251623307709295
PM,0.006266366113938665,0.004674086929663323
ROP,0.0007883207524824989,0.0046699338124343084
