asset,sector,weight,benchmark_weight
EQT,Energy,0.06130589513277761,0.002212198764969362
JPM,Financials,0.058741761474448484,0.044652138979141685
HPQ,Information Technology,0.05407215606667104,0.0010216818148506088
STZ,Consumer Staples,0.052547137420822176,0.0014583765611416802
BSX,Health Care,0.047255139143302934,0.006055247044212927
SW,Materials,0.03902404776531864,0.001284783261307091
AFL,Financials,0.03633981442345568,0.0032866556444517913
MKTX,Financials,0.03299459903072377,0.0003956556793940755
AMZN,Consumer Discretionary,0.031390244963460934,0.13084603745127213
TSCO,Consumer Discretionary,0.03130110148052187,0.001509978453523851
EW,Health Care,0.02972578880832185,0.002711859104253276
MNST,Consumer Staples,0.0293229793023866,0.004230345282053614
GLW,Information Technology,0.028851948859780173,0.006049596233309164
BKR,Energy,0.028365488376655295,0.003380432118744359
BBY,Consumer Discretionary,0.026328837882814756,0.0008012384036252534
CMG,Consumer Discretionary,0.02493955120060518,0.0026748247643732176
PWR,Industrials,0.024036002059606397,0.004622448121265731
MSCI,Financials,0.02208081522901613,0.0024462531880441976
LRCX,Information Technology,0.02155219676274663,0.014318916822346473
LII,Industrials,0.020798087340690722,0.0010379893307880786
CTSH,Information Technology,0.02053911282854139,0.0018290184067166395
VMC,Materials,0.018647814375541374,0.002078063572323338
EQIX,Real Estate,0.0181599820617134,0.0052665248400352496
BKNG,Consumer Discretionary,0.01788159567516431,0.008388835637893274
PODD,Health Care,0.017721488469866736,0.0009542259331833887
WSM,Consumer Discretionary,0.01742136302877669,0.0012734945237794636
AIG,Financials,0.016211613251230453,0.0024292672562051735
MCO,Financials,0.015353771272499086,0.004785867173783896
RL,Consumer Discretionary,0.014698690005042694,0.001173492833959303
FITB,Financials,0.014614755484028012,0.0024395967005294635
KEY,Financials,0.013593807406466398,0.0012376640441611757
EOG,Energy,0.013582908614056503,0.004077974382418429
VRTX,Health Care,0.011742607627786979,0.006635156769453993
AKAM,Information Technology,0.011104339736830145,0.0008277367993131975
GNRC,Industrials,0.010391165920556724,0.0006847475295210569
AXON,Industrials,0.010244960831651887,0.002639370974247229
NTAP,Information Technology,0.009815027637343592,0.001144759718487906
CNC,Health Care,0.008521829646886973,0.0012276786101101708
DAL,Industrials,0.008032884253902084,0.002204262048552005
EBAY,Consumer Discretionary,0.006777787710506543,0.0023966384030117975
EA,Communication Services,0.0064670870210213425,0.0028338915071417347
ULTA,Consumer Discretionary,0.006256203523640429,0.0016574801495258303
EXPE,Consumer Discretionary,0.003045610892819328,0.0017493495161338142
NXPI,Information Technology,9.999999999999988e-05,0.00291556331759966
BLDR,Industrials,9.999999999999988e-05,0.0005890545771585245
SWKS,Information Technology,9.999999999999988e-05,0.0004711626254627502
REGN,Health Care,9.999999999999988e-05,0.0045943856911279495
MOH,Health Care,9.999999999999988e-05,0.0004255224065193432
AMD,Information Technology,9.999999999999988e-05,0.017944441678144
