asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.05333646896621451,0.253816214555967
BRK-B,Financials,0.050803502535105204,0.0031161876663460502
ABT,Health Care,0.042219729890596795,0.012769565517299915
ADP,Industrials,0.04216905723892989,0.006137835276420988
CMCSA,Communication Services,0.03981625236312034,0.007799130177256544
AEP,Utilities,0.03757499085080931,0.004783938832612165
CL,Consumer Staples,0.03630421654918254,0.005030061561274218
COP,Energy,0.03491350552109178,0.009598224860094946
APA,Energy,0.027933913145964214,0.0007842590459318673
COST,Consumer Staples,0.025246684532463395,0.02972139538132981
BK,Financials,0.023210656438853682,0.005389759614574262
BKR,Energy,0.022068274175419934,0.0039644986347777385
APD,Materials,0.021900831009530778,0.004064846582589362
BXP,Real Estate,0.021849108885675154,0.0006287102347399951
ADI,Information Technology,0.020688647880592707,0.010341437168296917
BMY,Health Care,0.01997690231932042,0.00823526656696861
BA,Industrials,0.01865563041832046,0.012174017615209283
ACN,Information Technology,0.018079540696164798,0.008942954030159357
C,Financials,0.017358250166809315,0.012499554057075398
AMGN,Health Care,0.016787631729550476,0.013361233066499431
AMAT,Information Technology,0.015960951467452383,0.017286075395859787
CAT,Industrials,0.015942717186553892,0.02137291778793431
ADM,Consumer Staples,0.015337139783628816,0.0021766992569937737
CPB,Consumer Staples,0.014900562670337661,0.0005159232613212796
AXP,Financials,0.014678588245262868,0.013907394659066779
CI,Health Care,0.014293282077871934,0.004866841127026322
APH,Information Technology,0.013609402464339957,0.010872449889551883
CB,Financials,0.013420234532597016,0.008658212943773396
CMI,Industrials,0.012977190945197652,0.004997203840722562
BDX,Health Care,0.012968410792431679,0.004061107168598922
BALL,Materials,0.0129446310317372,0.001123973446683488
AEE,Utilities,0.012235603882151702,0.002067677797361919
CHD,Consumer Staples,0.012049091198765526,0.001621920610586874
AMZN,Consumer Discretionary,0.010756530131958656,0.15345343986209894
BSX,Health Care,0.01070419683124699,0.007101464486422219
AWK,Utilities,0.010244038397322486,0.001800212578329335
CAG,Consumer Staples,0.00916141711831511,0.0006102777343031007
AMP,Financials,0.00902587631871411,0.0028969848171824337
BF-B,Consumer Staples,0.008965204243102196,0.0031161876663460502
CRM,Information Technology,0.008648062039519294,0.012702258812818994
AME,Industrials,0.008525825762550702,0.003427520324264937
AZO,Consumer Discretionary,0.00819659661849904,0.004062287428866568
ALL,Financials,0.00778509762824949,0.0036960839326248135
CHRW,Industrials,0.007778411803572504,0.0014292808979148185
BAC,Financials,0.007591086582014186,0.023824206272077566
AFL,Financials,0.007276867678553579,0.0038545195873519174
CF,Materials,0.006343917315817044,0.0012112703973456117
ADBE,Information Technology,0.006256254765747871,0.007963236905643972
COF,Financials,0.006058095402660506,0.0078303938870836
CCL,Consumer Discretionary,0.00576464319949449,0.0023960643369972516
CAH,Health Care,0.005504509688888404,0.003437344287637954
BBY,Consumer Discretionary,0.005403140821056789,0.0009396752976313887
AVGO,Information Technology,0.005213727873871035,0.10508829943474209
BG,Consumer Staples,0.005033716820157909,0.0015143077157576778
AKAM,Information Technology,0.005000975726638557,0.0009707520504956574
A,Health Care,0.004851780616703452,0.0021830111493399166
CLX,Consumer Staples,0.0045840592802213805,0.000938113705601291
BLK,Financials,0.004182180503254745,0.00996799798428305
AES,Utilities,0.004043858216513609,0.0006758709184652806
BIIB,Health Care,0.003859175558796131,0.0018197986897680555
ALGN,Health Care,0.003694810523649586,0.0008373841512925171
CMG,Consumer Discretionary,0.0035766501044991123,0.003136977390501846
BX,Financials,0.003508363742826969,0.009105423339739715
CHTR,Communication Services,0.003201894750808153,0.0020158411290567145
BKNG,Consumer Discretionary,0.0028752212676574182,0.009838247379496567
AOS,Industrials,0.002800096296705037,0.000658663528735672
CPRT,Industrials,0.0026938580030891404,0.00245041015731
AMT,Real Estate,0.0026307060422755186,0.005921805338298117
BLDR,Industrials,0.0021978583888108676,0.0006908306349372825
CME,Financials,0.0021431672072319613,0.007646517799213105
