asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.03781113346727665,0.12843219684106724
XOM,Energy,0.02837602060914689,0.021383929340614866
KO,Consumer Staples,0.02743283411557979,0.011247482356074392
SLB,Energy,0.02564847733475578,0.0023802273805659567
DHR,Health Care,0.02541324257495216,0.004692020004653345
ETR,Utilities,0.02423247792969705,0.0016096936943676885
MSFT,Information Technology,0.02300663298655633,0.10316128187698105
PFE,Health Care,0.022275326193154994,0.0052203865487471055
COP,Energy,0.021854552659399677,0.004856746865889144
JNJ,Health Care,0.021382610777197934,0.019662620248321872
WFC,Financials,0.021288489888841088,0.008567915960146114
ORCL,Information Technology,0.020290966320702528,0.01492060860095642
OXY,Energy,0.01932890592436506,0.0018139344833837468
CVX,Energy,0.01893181240534833,0.012888849972765308
ZBH,Health Care,0.018909450154805486,0.0006330049543980013
T,Communication Services,0.018506509295136673,0.006891180738158117
BAC,Financials,0.017954641308477768,0.012055160285447264
GE,Industrials,0.017900871443916794,0.011567361696394123
F,Consumer Discretionary,0.017091567526857938,0.00164512983506959
CMCSA,Communication Services,0.016547130888451195,0.003946396505309365
BLK,Financials,0.016441714636034704,0.005043853803699815
CSCO,Information Technology,0.016091634055797055,0.010545545242198934
TXN,Information Technology,0.01475671358424203,0.005958287929091029
NEE,Utilities,0.01473713306342218,0.006436399810217262
MO,Consumer Staples,0.01468878853470103,0.0037893161377993366
LMT,Industrials,0.014684008744548824,0.005275795407798128
AMZN,Consumer Discretionary,0.014569805170222013,0.07764816140208503
BRK-B,Financials,0.014550068031325821,0.00513212017622346
BA,Industrials,0.01444760202637407,0.006160110099500423
AXP,Financials,0.014287325955394331,0.0070372070260539665
CHD,Consumer Staples,0.014004818021793845,0.0008206994477633947
CME,Financials,0.01383600701731292,0.003869173925138324
HAS,Consumer Discretionary,0.013646270362815167,0.00045117402635941735
INTC,Information Technology,0.012917041389079762,0.00736120516348131
JPM,Financials,0.012856924383161763,0.02649798619764787
YUM,Consumer Discretionary,0.012751488341175449,0.0015077530489031364
NKE,Consumer Discretionary,0.012726685943236593,0.0028643979026920533
IFF,Materials,0.012701792173175321,0.0006411967424958048
ECL,Materials,0.012696189821500782,0.002717480793550572
HPQ,Information Technology,0.012377464700512717,0.000606298180719755
APA,Energy,0.012165830524051574,0.00039683876121830394
WY,Real Estate,0.012123534683307114,0.0005994123882823898
IBM,Information Technology,0.011967022095020487,0.008240908381656748
HON,Industrials,0.011912126053069471,0.005381303786790754
LOW,Consumer Discretionary,0.011722408025194198,0.004795615509061094
BIIB,Health Care,0.011664389361298681,0.0009208266853411418
NTRS,Financials,0.011416731774520916,0.000874079005451573
IP,Materials,0.011226674276956507,0.0007084355353076792
UPS,Industrials,0.011091966009258568,0.002949837502555168
BMY,Health Care,0.010266023211799773,0.004167083567209823
V,Financials,0.010085505997730003,0.02076711848217561
NSC,Industrials,0.009955084849420927,0.002308219051843286
CLX,Consumer Staples,0.00963966248089657,0.0004746899417275844
DD,Materials,0.009635258778827722,0.0006435927013235927
COST,Consumer Staples,0.00946735115421693,0.015039165676172514
GLW,Information Technology,0.009441883334437833,0.003590021019294296
DVN,Energy,0.009265982253831628,0.0009363747690763482
APD,Materials,0.008912486909839555,0.0020568314649919333
GOOGL,Communication Services,0.008676847491739642,0.12254653975904126
PG,Consumer Staples,0.007701604463327244,0.012184096929559091
DIS,Communication Services,0.00720483737058767,0.006111513631885252
TGT,Consumer Staples,0.007184854402920742,0.0018628444344428784
BKR,Energy,0.006566962003093364,0.0020060549320250146
MRK,Health Care,0.006320591135542936,0.009716200671743168
PM,Consumer Staples,0.005951886444692561,0.008980595853037482
PEP,Consumer Staples,0.0056568682190868596,0.007398688052185621
EMR,Industrials,0.004608386203213859,0.002640513170646149
RTX,Industrials,0.00430265565462752,0.009556005210214394
GOOG,Communication Services,0.004262934517037397,0.12247263162333624
GS,Financials,0.004183120015313791,0.008361633566758434
FCX,Materials,0.003656917801392748,0.0028954743297416046
WMT,Consumer Staples,0.0033035927936262035,0.03349981672131366
EXC,Utilities,0.002181213400802741,0.001713615193753746
MCD,Consumer Discretionary,0.001841313422869876,0.007945457673135927
VZ,Communication Services,0.0004823631260001001,0.0073176733649705185
