asset,sector,weight,benchmark_weight
JNJ,Health Care,0.029107056255937267,0.01970976715711118
XOM,Energy,0.02660284080170439,0.02143520359366184
AAPL,Information Technology,0.02308539745145877,0.1287401507654987
EXC,Utilities,0.020119699622711467,0.0017177240896292475
PFE,Health Care,0.019514841505194804,0.005232903959211751
PG,Consumer Staples,0.018764924886978413,0.012213311881552433
COP,Energy,0.01872874433663437,0.004868392343379276
MSFT,Information Technology,0.018086585183646912,0.10340864135836336
WFC,Financials,0.017732078898999373,0.008588460055855939
LMT,Industrials,0.016039422385270695,0.005288445677281095
CVX,Energy,0.01585963642785953,0.012919754777231384
GE,Industrials,0.015827933680770956,0.011595097844473339
BRK-B,Financials,0.015790107975837877,0.00274538452754273
PM,Consumer Staples,0.014923276039100514,0.009002129470033057
T,Communication Services,0.014742537413765324,0.0069077043685598334
GOOG,Communication Services,0.014578156213578542,0.12276629573927851
CMCSA,Communication Services,0.0139570478849283,0.003955859150355269
KO,Consumer Staples,0.01392691828329472,0.01127445149945682
NEE,Utilities,0.01349709649962091,0.006451832969732701
MO,Consumer Staples,0.013426688138149916,0.0037984021365149927
SLB,Energy,0.013344588357520762,0.0023859346750054623
IBM,Information Technology,0.01299861590534213,0.008260668380624545
INTC,Information Technology,0.012348793975881591,0.007378855815532715
AMZN,Consumer Discretionary,0.01218030674215543,0.07783434568154768
CAG,Consumer Staples,0.011845814245429022,0.0003095438471511989
HD,Consumer Discretionary,0.011827065555830674,0.012122173386965241
ADI,Information Technology,0.011711106980725302,0.005245362998213457
BAC,Financials,0.011170158072896433,0.01208406607395564
OXY,Energy,0.010965085422009878,0.0018182839242292606
IFF,Materials,0.010744327517031029,0.0006427342000651759
LIN,Materials,0.010569627406703749,0.007642010094525929
CSCO,Information Technology,0.01053838045182972,0.0105708312851265
SRE,Utilities,0.010365960331316489,0.0020587423457693516
VZ,Communication Services,0.010212636773261953,0.007335219636745648
QCOM,Information Technology,0.010060222670701786,0.004929168061816641
F,Consumer Discretionary,0.010017316724583386,0.001649074517177114
ORCL,Information Technology,0.009973275910698392,0.014956385143650434
HAS,Consumer Discretionary,0.009918255273021322,0.0004522558486394712
RTX,Industrials,0.009905655944679237,0.009578918540195151
NKE,Consumer Discretionary,0.009843823781308488,0.002871266138204359
HSIC,Health Care,0.009838149581439212,0.0003107977915684418
HPQ,Information Technology,0.009492998225611993,0.0006077519587343082
JPM,Financials,0.00942365669758609,0.02656152290448467
V,Financials,0.009112548083704958,0.020816913749974644
LHX,Industrials,0.009097078250229219,0.002333011211273572
USB,Financials,0.00897373357876111,0.0027681956277622096
CTSH,Information Technology,0.008904513435401915,0.0010879997109527477
GILD,Health Care,0.008896712132825719,0.006080075691409925
BKR,Energy,0.00880352521805531,0.0020108650380898257
DIS,Communication Services,0.008389333418460584,0.006126167781338792
ZBH,Health Care,0.008188074561741135,0.0006345227697487164
NSC,Industrials,0.007995574789695127,0.002313753685159122
NTAP,Information Technology,0.007776660180189628,0.0006809653955648514
CHD,Consumer Staples,0.007693473852891033,0.0008226673158053175
MRK,Health Care,0.007676413941359185,0.009739498117407276
YUM,Consumer Discretionary,0.0075411199981873355,0.001511368329805462
NTRS,Financials,0.007427915253703435,0.0008761748666656038
WMB,Energy,0.007264900822145457,0.003085333408847259
BLK,Financials,0.007256289944029466,0.0050559479250440915
ETN,Industrials,0.007229543163092604,0.004605743627573899
ROK,Industrials,0.007054310665897869,0.0014146364502136907
HBAN,Financials,0.007041270814055575,0.0011262991881398655
PFG,Financials,0.006932978280442125,0.0006895718842157983
WY,Real Estate,0.006788021729133359,0.0006008496555865755
CAT,Industrials,0.006592568247217057,0.010840728450429828
GS,Financials,0.006495677674806031,0.00838168303982575
BAX,Health Care,0.006451752741796632,0.00030963714223230626
PEP,Consumer Staples,0.006445197337138153,0.007416428580474912
ELV,Health Care,0.0062817060980782675,0.002174794877198861
C,Financials,0.006175721742288478,0.006339998713732913
TGT,Consumer Staples,0.00607199429108502,0.001867311151265467
KIM,Real Estate,0.005998741014185249,0.0005363451299381424
EXPD,Industrials,0.005980297426193395,0.0006696137740531527
BIIB,Health Care,0.005931921654104189,0.000923034637851858
J,Industrials,0.0058063545460764485,0.0005495528288700184
WMT,Consumer Staples,0.005795362300323796,0.03358014237392109
MOS,Materials,0.0057069860519469075,0.0002841973189778851
IP,Materials,0.005543390502422414,0.0007101342176371163
HON,Industrials,0.0054474017519092,0.005394207043609999
DD,Materials,0.0054017355061722885,0.0006451359039081698
BA,Industrials,0.005283633793941537,0.006174880773262383
BEN,Financials,0.005244018586398142,0.0004654524343783401
ISRG,Health Care,0.005123182465923489,0.0059220729814716405
EQT,Energy,0.005063587640706246,0.0013159362464686096
FCX,Materials,0.005059283544253592,0.0029024170801178043
CME,Financials,0.005052836972613875,0.0038784514063607994
JCI,Industrials,0.005048331388082039,0.0027569860042903145
IRM,Real Estate,0.0049864082267598525,0.0010585983827672229
APA,Energy,0.004924104901700311,0.000397790298736851
NEM,Materials,0.004761516648220605,0.004317377519970889
AMAT,Information Technology,0.0045757954926143405,0.008767808457390964
MCK,Health Care,0.0044331387434836615,0.003860073041809764
CLX,Consumer Staples,0.004380117123378671,0.00047582815032354926
NDAQ,Financials,0.004367440582693581,0.001717831250073417
AXP,Financials,0.004355305687295483,0.007054080797382442
CI,Health Care,0.0041808907136208755,0.0024685493853937417
BBY,Consumer Discretionary,0.003958747155434779,0.00047662021789787924
CTRA,Energy,0.003948828675895496,0.0008015447938462079
WAT,Health Care,0.0036322755793975793,0.001009737122036616
ZBRA,Information Technology,0.003612462334648318,0.00037857039722568567
FE,Utilities,0.003473051650650547,0.000999611296164888
WST,Health Care,0.0033984209439160006,0.000602418322842774
CINF,Financials,0.003388747937371208,0.0008778768225626973
WBD,Communication Services,0.003217651011133638,0.0023591704831342243
CMG,Consumer Discretionary,0.0030383390536803446,0.0015911313739655414
COST,Consumer Staples,0.0030265808733751435,0.01507522649428562
WRB,Financials,0.0028918379855865056,0.0009039770795363462
WYNN,Consumer Discretionary,0.002848997494700251,0.0003594346981831672
COO,Health Care,0.0026975987919519353,0.0005103884386961004
WELL,Real Estate,0.0025586869188141508,0.004849497546310565
BK,Financials,0.0022682496717330823,0.002733783050795146
MU,Information Technology,0.0020399846177970903,0.014179175664507876
EXPE,Consumer Discretionary,0.0020203451570141003,0.0010406083180571218
UPS,Industrials,0.0018270765844083097,0.0029569106046097187
PHM,Consumer Discretionary,0.0017037330986250853,0.0008364832094817683
CMI,Industrials,0.0006939890211091112,0.002534671699308217
WSM,Consumer Discretionary,0.00033718949831838276,0.0007575438654328543
CPRT,Industrials,0.0001,0.0012428921203528466
CMS,Utilities,0.0001,0.0008043754878418363
DRI,Consumer Discretionary,0.0001,0.0008040078118575173
CTAS,Industrials,0.0001,0.0027837443434454855
CL,Consumer Staples,0.0001,0.00255133772635866
WDC,Information Technology,0.0001,0.0028526957488261904
WM,Industrials,0.0001,0.0033762791707317606
WTW,Financials,0.0001,0.0009868186523473929
