asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.03208346158670992,0.11235774031088615
MSFT,Information Technology,0.023248473419650254,0.09024970999768539
T,Communication Services,0.022121368368273567,0.006028686846893278
KO,Consumer Staples,0.020875760949094706,0.009839757730524071
XOM,Energy,0.01992126111991196,0.018707536262518226
JNJ,Health Care,0.017759762373556302,0.017201664645092294
IBM,Information Technology,0.017430331031390973,0.007209483810495099
CMCSA,Communication Services,0.01694059841093901,0.0034524691207770027
CVX,Energy,0.016625933711133918,0.011275693274467724
PG,Consumer Staples,0.016550556170587843,0.01065914647888608
PFE,Health Care,0.016549309565089574,0.004567007733212083
COP,Energy,0.015128710268440785,0.004248880861148619
SLB,Energy,0.015025888707036727,0.0020823202941661076
WEC,Utilities,0.014663508591532223,0.0011189895807321687
UPS,Industrials,0.014513339241836967,0.0025806385331986073
KMB,Consumer Staples,0.013953434483179556,0.0010306764493633518
TXN,Information Technology,0.013732445685293552,0.005212554050311412
NTRS,Financials,0.013209323708646631,0.0007646800749445888
EMR,Industrials,0.013094792352025193,0.002310028952335635
CSCO,Information Technology,0.013005482640018167,0.009225674425128389
WFC,Financials,0.012937625590662733,0.0074955634189367995
GE,Industrials,0.01279508758379284,0.010119601264579151
PM,Consumer Staples,0.012577592643387927,0.007856592673107324
BRK-B,Financials,0.012416678725592253,0.0016398995425601006
DHR,Health Care,0.011877718952519295,0.004104771063510702
L,Financials,0.01166876862287806,0.0006728852083472565
LH,Health Care,0.011183594786022304,0.0006637803524513767
CAH,Health Care,0.010897212050345783,0.0015216216091835718
HPQ,Information Technology,0.010708309740068882,0.0005304144538193425
BAC,Financials,0.010494886767333136,0.010546347427464409
IFF,Materials,0.010435857299850547,0.000560945143457153
MO,Consumer Staples,0.01022822204939694,0.0033150487886894737
ETR,Utilities,0.009919725098068925,0.001408225900828037
APA,Energy,0.009515230990925442,0.0003471707840786743
ZBH,Health Care,0.00940583681217409,0.0005537786320806186
INTU,Information Technology,0.009260657588993635,0.0039756533354918565
BXP,Real Estate,0.009067158766239891,0.0002783134300907174
PEP,Consumer Staples,0.00893433082637973,0.006472675008724239
MRK,Health Care,0.00890763862447953,0.008500129864126871
