asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.0418560134179616,0.14168461858409587
DUK,Utilities,0.039927508569828,0.003858009055492788
GE,Industrials,0.03670051132732118,0.012760953018704608
CVX,Energy,0.03647093129935173,0.014218800560101922
BRK-B,Financials,0.03321717266914003,0.0015246176895310434
COP,Energy,0.029429574651277397,0.005357895793875982
CMCSA,Communication Services,0.024439144399731307,0.004353609899924842
ADP,Industrials,0.022248701867620013,0.0034262462372354058
ABT,Health Care,0.01777288950283107,0.007128193220312636
DHR,Health Care,0.016458409879601524,0.005176171404830209
BMY,Health Care,0.0146519821712078,0.004597068806343025
CHD,Consumer Staples,0.014069864429982109,0.0009053842501224977
BAC,Financials,0.01382052123977718,0.013299085657838558
AXP,Financials,0.013726277493589841,0.007763349206099981
HPQ,Information Technology,0.013615327940939738,0.0006688597454251557
CSCO,Information Technology,0.01356187388271111,0.01163369927597874
CPB,Consumer Staples,0.013278845007390662,0.000287997323681029
BXP,Real Estate,0.01278303048076473,0.0003509569708337589
BK,Financials,0.012660624800422368,0.0030086574121628165
ADI,Information Technology,0.012408779965053001,0.00577276981049001
AMGN,Health Care,0.01234113366925378,0.007458472320816814
BKR,Energy,0.012252171962586779,0.0022130519830197643
BAX,Health Care,0.012149172510437926,0.0003407703046469538
GLW,Information Technology,0.012117753705332045,0.003960461405616587
DVN,Energy,0.01194170750165317,0.00103299566052374
GIS,Consumer Staples,0.011670244290196972,0.0008848381558164181
AEE,Utilities,0.011668972269949899,0.0011542136525301819
DIS,Communication Services,0.011550729666329898,0.006742137090255576
AMZN,Consumer Discretionary,0.011515263049007908,0.0856603749107007
CVS,Health Care,0.01118229961531031,0.0037116330000598226
CB,Financials,0.010873452646294688,0.0048331648185065725
APD,Materials,0.01077732513730738,0.0022690679500700153
COST,Consumer Staples,0.01052600510709975,0.0165909990256445
FCX,Materials,0.010409558024112064,0.0031942471289901735
FITB,Financials,0.010057482172714486,0.001597119577091408
EXPD,Industrials,0.009551162539009735,0.0007369415960075396
CI,Health Care,0.00954788748233872,0.002716755231727196
CL,Consumer Staples,0.009291342705350664,0.0028078677125117687
EMR,Industrials,0.009092508631027547,0.0029129775138258267
CTSH,Information Technology,0.009051972777385982,0.0011973950873083667
BDX,Health Care,0.009021894567542587,0.0022669805442441494
CCL,Consumer Discretionary,0.008839593217329668,0.0013375247215167687
AZO,Consumer Discretionary,0.008819440233001637,0.0022676393860212355
ACN,Information Technology,0.008789559108769916,0.004992112237568802
GD,Industrials,0.008613633711203774,0.003679930380302903
BA,Industrials,0.008559935084189962,0.006795748039440774
CAH,Health Care,0.008259274343415222,0.0019187852722025985
D,Utilities,0.008198748356832682,0.0020808065194161643
APA,Energy,0.008194559705672493,0.00043778701840769093
BALL,Materials,0.008070911057825914,0.0006274214961821785
CAG,Consumer Staples,0.008038704585959398,0.00034066762900222396
GWW,Industrials,0.007899005017072587,0.001981137377060187
C,Financials,0.007699644691568979,0.006977468134359509
DRI,Consumer Discretionary,0.007632295264154929,0.0008848485844106551
ECL,Materials,0.0071355633856978445,0.002997887128102943
AFL,Financials,0.006882839644321338,0.0021516597689170136
BEN,Financials,0.006557564235699899,0.0005122523955565181
BLK,Financials,0.006471856566175853,0.0055643095730543365
ADM,Consumer Staples,0.0064549172297025436,0.0012150713244974498
F,Consumer Discretionary,0.006259395700602665,0.0018148844210116252
GOOGL,Communication Services,0.006237059075298969,0.13519164330768926
GOOG,Communication Services,0.0062343173791219696,0.1351101088772646
EQT,Energy,0.006203550665719138,0.0014482500141040555
HD,Consumer Discretionary,0.00605323462949153,0.013341024556285748
DGX,Health Care,0.006035772913924102,0.0008297327737408992
EOG,Energy,0.0057746305964828,0.0026697087758907876
CME,Financials,0.005673542730622345,0.004268419020326687
BBY,Consumer Discretionary,0.0056601989068043,0.0005245430689710447
BR,Industrials,0.005420586142340187,0.0008606183591478588
ED,Utilities,0.005362875041745782,0.0015189046602293631
EBAY,Consumer Discretionary,0.005236469631654088,0.0015689962655829563
DD,Materials,0.005094785080117135,0.0007100025433916997
DTE,Utilities,0.005035699956769211,0.0011680940347787011
GEN,Information Technology,0.004862906338803943,0.0005220868666453068
EL,Consumer Staples,0.004532352007113446,0.0012557735143574834
BIIB,Health Care,0.004218435500513753,0.0010158432301525429
ADBE,Information Technology,0.004202265382138336,0.0044452171254889495
CF,Materials,0.004010876127859853,0.0006761521699878517
DAL,Industrials,0.003985101557143503,0.0014430541203871831
ALL,Financials,0.003888153182781614,0.0020632182351505352
CTRA,Energy,0.003824237666346857,0.000882137916717452
BSX,Health Care,0.00380498739439917,0.003964160796060459
AME,Industrials,0.0035862461680696567,0.0019133013652507707
HRL,Consumer Staples,0.003458771513145587,0.0005031409097674569
FDX,Industrials,0.0034393982187926075,0.0031725053503463257
BG,Consumer Staples,0.0034385540522677144,0.0008453128634883586
AMD,Information Technology,0.0033135207985719685,0.011747605289808291
DE,Industrials,0.0033077427743875825,0.005964525893744993
AXON,Industrials,0.003056261011978931,0.001727904884140157
BF-B,Consumer Staples,0.003039900131765224,0.0015246176895310434
AMP,Financials,0.00294918191471634,0.0016171472322383997
AMAT,Information Technology,0.002828185861665148,0.009649387465505166
HAS,Consumer Discretionary,0.0027292029021411244,0.000497728929443528
CLX,Consumer Staples,0.0024568027588447046,0.0005236713611821809
CNC,Health Care,0.0024143521946902277,0.0008037187220977072
FSLR,Information Technology,0.0023427070567902893,0.0007602304105979328
AMT,Real Estate,0.001901969170094113,0.0033056545743299
EXPE,Consumer Discretionary,0.00178978243974734,0.0011452386202958607
DLTR,Consumer Staples,0.0017865959811629818,0.0008842796892588624
EFX,Industrials,0.0017582557905187431,0.0009524132227273912
FFIV,Information Technology,0.0017372065961619241,0.0006088215615947268
CRM,Information Technology,0.0017370466623199661,0.007090621449063842
GRMN,Consumer Discretionary,0.001722722492642328,0.0017547194070718737
AON,Financials,0.0016971293591238718,0.0027410014066047072
CPRT,Industrials,0.001618279579371248,0.0013678615021520096
A,Health Care,0.0015060316097303807,0.001218594732413574
FDS,Financials,0.0014855883622665058,0.00031645975620428105
AOS,Industrials,0.0013219532595263475,0.00036767741969294306
BKNG,Consumer Discretionary,0.0013188212672626304,0.005491880532291951
DECK,Consumer Discretionary,0.0013019723981056326,0.0005688871769853875
APH,Information Technology,0.001133934260416757,0.006069190332740462
EQIX,Real Estate,0.0010884054814608278,0.003447811649947306
DLR,Real Estate,0.0009656162439933004,0.0023076157150500425
DG,Consumer Staples,0.0009327358316780501,0.001205835807449725
FIS,Financials,0.0009323835965691132,0.0009983537108088046
FAST,Industrials,0.0008857496991484346,0.0019975713079607954
CNP,Utilities,0.0008630449040484069,0.001066033217023827
CSX,Industrials,0.0008217260016323639,0.002781526003639353
ADSK,Information Technology,0.0007620153273870051,0.002071651133846216
AJG,Financials,0.0007290182793019816,0.002196045859691244
FTNT,Information Technology,0.0005815157652535224,0.002329668664542519
ELV,Health Care,0.0005748506708747422,0.002393464516255203
ALGN,Health Care,0.0005496234601234917,0.00046744237475847224
EA,Communication Services,0.0004139234544658793,0.0018552507487925576
CHTR,Communication Services,0.0003039667729655716,0.0011252775241179691
AVGO,Information Technology,0.00010005317157752512,0.058662113644357215
CMG,Consumer Discretionary,0.00010003341328253428,0.0017511152542312534
FICO,Information Technology,0.00010003301511433491,0.0013109828756520119
BX,Financials,0.00010002562324215422,0.005082805427520379
CSGP,Real Estate,0.0001000213110781217,0.0007677274963225286
CMS,Utilities,0.00010002076732934948,0.0008852532292032161
CCI,Real Estate,0.00010001967326104913,0.0014764750044063174
EG,Financials,0.00010001685376533284,0.0005052680746088516
AIZ,Financials,0.0001000133805607208,0.00041798472824939274
CINF,Financials,0.00010001300698213328,0.0009661449208271941
CAT,Industrials,0.00010001184870295892,0.011930733858395732
AIG,Financials,0.00010001129209029366,0.001590357247175476
