asset,sector,weight,benchmark_weight
SW,Materials,0.08984739412643933,0.0026298639444880065
ANET,Information Technology,0.0712553419153919,0.01959103193796176
STX,Information Technology,0.06920762391663858,0.009252662529365685
EPAM,Information Technology,0.054692805328487214,0.0009433680208407401
DXCM,Health Care,0.05455709443607785,0.0031093580616188493
PCG,Utilities,0.04996512850263535,0.0046779561716359976
EQT,Energy,0.04582635364421221,0.00452822039735716
EXPE,Consumer Discretionary,0.04552863140265683,0.0035807994681588766
DECK,Consumer Discretionary,0.043981194821951605,0.0017787305323893321
AMAT,Information Technology,0.04260645844442939,0.030170587065613926
OXY,Energy,0.04227783753881246,0.006256830736273789
GNRC,Industrials,0.04047904278441381,0.001401631616162717
PAYC,Industrials,0.037275255646377146,0.0008870992650343527
MOS,Materials,0.0371923848258639,0.0009779410667677632
WBD,Communication Services,0.03714817944815557,0.00811805581861535
MTCH,Communication Services,0.0360358423722327,0.0008420822943837392
NVDA,Information Technology,0.03372537196422571,0.5061460722198848
WSM,Consumer Discretionary,0.030344998885977584,0.0026067566666328353
TPL,Energy,0.026321115345028602,0.0042374649663693325
AXON,Industrials,0.022750243829321823,0.005402612853345602
FSLR,Information Technology,0.0211862269615139,0.002377000392498134
PSKY,Communication Services,0.01694528609175865,0.001548465014877881
TPR,Consumer Discretionary,0.01436803230212918,0.003453558393191144
TSLA,Consumer Discretionary,0.013049097646480988,0.17428049178321475
HAL,Energy,0.007559013338194104,0.0033548838577022134
ALB,Materials,0.0068295121857447315,0.002238989203722975
TER,Information Technology,0.003620263005213,0.0050044075493771226
SMCI,Information Technology,0.0032242692896358215,0.0021955491133401972
AMD,Information Technology,0.0001,0.036731051527950274
ENPH,Information Technology,0.0001,0.0006174328394226577
NCLH,Consumer Discretionary,0.0001,0.0010685931609579285
CZR,Consumer Discretionary,0.0001,0.0006308189393335287
XYZ,Financials,0.0001,0.0047186217966912105
CCL,Consumer Discretionary,0.0001,0.004182017377495792
ON,Information Technology,0.0001,0.0026789141035019363
FCX,Materials,0.0001,0.00998740194222681
UAL,Industrials,0.0001,0.0034894156962497866
DVN,Energy,0.0001,0.003229851182331111
RCL,Consumer Discretionary,0.0001,0.008878026274788921
APA,Energy,0.0001,0.0013688217415128206
MU,Information Technology,0.0001,0.04879144611605346
TRGP,Energy,0.0001,0.005968932726455502
MPWR,Information Technology,0.0001,0.005883356342998216
WYNN,Consumer Discretionary,0.0001,0.0012368376782679925
BLDR,Industrials,0.0001,0.0012057546517447628
WDC,Information Technology,0.0001,0.009816307675963806
ALGN,Health Care,0.0001,0.0014615446748535656
FANG,Energy,0.0001,0.006013616195440833
MGM,Consumer Discretionary,0.0001,0.0011389176573302067
LRCX,Information Technology,0.0001,0.029309848757603778
