asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.08194934522985473,0.22016884660702354
APH,Information Technology,0.07093699491410174,0.009431134083230394
AMZN,Consumer Discretionary,0.0695082139666137,0.13311075071158926
GOOGL,Communication Services,0.057138794388762834,0.21007917779229712
MO,Consumer Staples,0.038304442358394274,0.006495951825234918
AMGN,Health Care,0.03752778458461441,0.011589989546747996
AXP,Financials,0.036940870655211525,0.012063748751245522
AME,Industrials,0.03629500337518502,0.002973148101809486
T,Communication Services,0.03456509575015806,0.011813418692497715
AMP,Financials,0.029957401210081672,0.0025129434971400285
ADBE,Information Technology,0.027285969602942172,0.006907583456956489
AEP,Utilities,0.02432619321058086,0.0041497518070600726
ADP,Industrials,0.02380772554748177,0.005324167787458405
ABT,Health Care,0.022335007912628647,0.011076756922465288
ABBV,Health Care,0.02232975228323186,0.02367278437317785
AMAT,Information Technology,0.0221584065360652,0.014994531728111084
ADI,Information Technology,0.022033341151551176,0.008970515526701637
ACN,Information Technology,0.021348982874716864,0.007757423526012201
APD,Materials,0.02107084833280143,0.003525986648602634
AEE,Utilities,0.020914914186340724,0.0017935742860105722
AVB,Real Estate,0.02028313822676515,0.001465511956288207
AJG,Financials,0.020191255472563688,0.0034125149847326034
ANET,Information Technology,0.019314097953008508,0.009736580509399764
AMCR,Materials,0.017794061655515322,0.001163488914378383
GOOG,Communication Services,0.0173128533856876,0.20995247849575557
AIZ,Financials,0.016158724897331996,0.0006495215672504133
APO,Financials,0.01584811556977525,0.003670826902791582
A,Health Care,0.014053067124160778,0.0018936183715499476
AKAM,Information Technology,0.013077128466425026,0.0008420634578958479
ADM,Consumer Staples,0.01291310353383876,0.0018881432207200877
ALL,Financials,0.012672488380248925,0.003206109341093024
AMD,Information Technology,0.011575555874545593,0.018255028195008252
AON,Financials,0.011454225701603723,0.004259341093417241
MMM,Industrials,0.0113999514037099,0.004701181916611737
APA,Energy,0.010530759582817092,0.0006802930612057883
AES,Utilities,0.009105045690322099,0.0005862735004304405
ATO,Utilities,0.008706158931309944,0.0017811210555076344
AFL,Financials,0.007867372635649789,0.003343541835008827
ALLE,Industrials,0.006770506858487609,0.000753674428844006
APTV,Consumer Discretionary,0.006466476353224416,0.0009139824101140375
ACGL,Financials,0.0050790458893286,0.0020509727455337453
ADSK,Information Technology,0.0036428006526649653,0.003219213526980922
AIG,Financials,0.0033202080630835708,0.002471313571669873
AMT,Real Estate,0.0020072953510451483,0.005136776046578859
ALB,Materials,0.0009746579275525388,0.0011127590782741424
AOS,Industrials,0.00034681634801522233,0.0005713472233345772
ALGN,Health Care,0.00010000000000000002,0.0007263755906202035
ARE,Real Estate,0.00010000000000000002,0.0005115103271686298
AWK,Utilities,0.00010000000000000002,0.001561565827114759
LNT,Utilities,0.00010000000000000002,0.0010706851733486766
