asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.10807191415762654,0.2220645155967918
AMZN,Consumer Discretionary,0.07637792272539412,0.13425684347728886
AVGO,Information Technology,0.04645817463993656,0.09194204692435398
APH,Information Technology,0.04299735919491325,0.009512336799670278
BRK-B,Financials,0.027402445166248852,0.0025155890247325905
COST,Consumer Staples,0.026733566823315468,0.026003331898090388
BSX,Health Care,0.0265402056165351,0.006213091129595435
CDNS,Information Technology,0.026351991870034792,0.004807233228268063
AEP,Utilities,0.026029760657021925,0.00418548145699515
C,Financials,0.025547538721443212,0.010935894784012364
BAC,Financials,0.021405822279340077,0.020843864662241217
CME,Financials,0.020045734531881593,0.0066899597965207535
AMD,Information Technology,0.018277820287243778,0.01841220524975474
CRM,Information Technology,0.01714373091552107,0.011113241741424505
AEE,Utilities,0.0167884517697736,0.0018090170846046198
AMCR,Materials,0.016481711461245958,0.0011735066343642763
CMI,Industrials,0.01635554534398316,0.0043720676087216324
ADBE,Information Technology,0.01612967692333647,0.0069670582280487
CAT,Industrials,0.016004030376405586,0.018699225515480804
CLX,Consumer Staples,0.01530025176122299,0.0008207583033003067
CMCSA,Communication Services,0.014717789091382969,0.0068234807926619125
CMG,Consumer Discretionary,0.014328523362385688,0.0027445502876108662
CVX,Energy,0.014127944125987661,0.022285348193052584
AMAT,Information Technology,0.013678639757166855,0.015123635682876361
COR,Health Care,0.01341532759136922,0.004092061708167559
CSCO,Information Technology,0.012775904615485039,0.01823367857524767
ABBV,Health Care,0.012202572546649498,0.023876608683153014
BK,Financials,0.012171090876309503,0.004715515752559109
AZO,Consumer Discretionary,0.01110913914471696,0.0035541066266563466
CVS,Health Care,0.010962771315746474,0.005817300370838354
APO,Financials,0.010288982439795293,0.003702432976192373
BMY,Health Care,0.01008648290026956,0.007205057739134684
AXP,Financials,0.009744160441080197,0.012167618461972174
AMGN,Health Care,0.009622791559971849,0.0116897801579725
CB,Financials,0.00956195023357745,0.0075750947064453875
ACN,Information Technology,0.009374216576003435,0.007824215478849234
ANET,Information Technology,0.009289262650458091,0.009820413140684768
CCI,Real Estate,0.008713744491213869,0.0023141023346133615
BLK,Financials,0.007877288251047646,0.008721029299574252
ACGL,Financials,0.007813347862833662,0.002068631762658488
CBOE,Financials,0.00763193767013681,0.0018504694300825288
A,Health Care,0.007627789425525909,0.001909922556636632
AME,Industrials,0.0075803180630560595,0.002998747112502622
APD,Materials,0.006782456575736847,0.0035563456374019136
BIIB,Health Care,0.006676347315543064,0.0015921469604847172
BKNG,Consumer Discretionary,0.006342713710633404,0.008607510132760158
CHRW,Industrials,0.006219084575260482,0.0012504818527943812
BKR,Energy,0.0061218756290685105,0.0034685509373631315
AES,Utilities,0.005724806374745219,0.0005913213557987914
ABT,Health Care,0.0056051448997633015,0.011172128565314457
CTAS,Industrials,0.005594317564099032,0.004801694230563195
ADI,Information Technology,0.005494544334677333,0.00904775228552681
AXON,Industrials,0.005410798482526033,0.0027081723120577733
BA,Industrials,0.005263775626968696,0.010651082041065392
CI,Health Care,0.005061340357286405,0.004258012906111388
CF,Materials,0.0049751898485582745,0.0010597438564508106
CL,Consumer Staples,0.004810702592166843,0.004400814920278079
DAL,Industrials,0.004758484709029469,0.0022617212611087552
CRL,Health Care,0.004698640974959724,0.0005039874076357913
AKAM,Information Technology,0.00469660266143952,0.0008493136824809789
DECK,Consumer Discretionary,0.004043848218695632,0.0008916257576082927
BR,Industrials,0.0038790467875076656,0.001348860595791783
CPRT,Industrials,0.0036312339498988633,0.002143870696158845
AMP,Financials,0.003470593384748957,0.0025345801143725785
BRO,Financials,0.00343656332619974,0.0014726199617779677
CTRA,Energy,0.0034270517080989163,0.0013825885344721036
COP,Energy,0.0033619070425450204,0.008397513759610837
DG,Consumer Staples,0.0033103824519672897,0.0018899252942665378
CFG,Financials,0.003235237117797798,0.0014628169886441167
CSX,Industrials,0.0024966543882336506,0.004359529148546458
AIZ,Financials,0.0023855471782314158,0.0006551139928464831
AVB,Real Estate,0.002174378598248911,0.001478130115544084
CPT,Real Estate,0.0021618158156831773,0.0006651320335986484
DGX,Health Care,0.0020906897723853082,0.0013004531353993977
ALGN,Health Care,0.0019908287066062735,0.000732629734670479
CPB,Consumer Staples,0.0013282446602164081,0.0004513827034685543
ADSK,Information Technology,0.0013015904561899112,0.003246931177995521
BAX,Health Care,0.0012790787407606296,0.0005340946207670511
BDX,Health Care,0.0006431355920158889,0.0035530740136490513
COO,Health Care,0.0004697156569125948,0.0008803715137144796
ADM,Consumer Staples,9.999999999999996e-05,0.0019044002643796246
ALB,Materials,9.999999999999996e-05,0.0011223400108641764
AJG,Financials,9.999999999999996e-05,0.0034418969746615583
AFL,Financials,9.999999999999996e-05,0.003372329961350481
AIG,Financials,9.999999999999996e-05,0.0024925917523662086
ADP,Industrials,9.999999999999996e-05,0.005370009240173205
APA,Energy,9.999999999999996e-05,0.0006861504314920765
AMT,Real Estate,9.999999999999996e-05,0.005181004043450117
APTV,Consumer Discretionary,9.999999999999996e-05,0.0009218518618495928
ATO,Utilities,9.999999999999996e-05,0.001796456630926148
AWK,Utilities,9.999999999999996e-05,0.0015750110168387481
ALL,Financials,9.999999999999996e-05,0.0032337141641612236
ALLE,Industrials,9.999999999999996e-05,0.0007601636177785831
BF-B,Consumer Staples,9.999999999999996e-05,0.0025155890247325905
BEN,Financials,9.999999999999996e-05,0.0008028611801289996
BG,Consumer Staples,9.999999999999996e-05,0.0013248720533969825
BBY,Consumer Discretionary,9.999999999999996e-05,0.0008221245445324915
BALL,Materials,9.999999999999996e-05,0.0009833675102990287
ARE,Real Estate,9.999999999999996e-05,0.0005159144664467472
AVY,Materials,9.999999999999996e-05,0.0008104348773466125
AON,Financials,9.999999999999996e-05,0.004296014314683865
AOS,Industrials,9.999999999999996e-05,0.000576266562425265
CAH,Health Care,9.999999999999996e-05,0.003007342125518186
BX,Financials,9.999999999999996e-05,0.007966360331944708
BLDR,Industrials,9.999999999999996e-05,0.0006044096535564113
CCL,Consumer Discretionary,9.999999999999996e-05,0.002096323386056638
CAG,Consumer Staples,9.999999999999996e-05,0.0005339336956254346
BXP,Real Estate,9.999999999999996e-05,0.0005500603417812658
CBRE,Real Estate,9.999999999999996e-05,0.0023895571169220407
CHTR,Communication Services,9.999999999999996e-05,0.00176366503860754
CINF,Financials,9.999999999999996e-05,0.0015142540240700095
CDW,Information Technology,9.999999999999996e-05,0.0009429501814899776
CHD,Consumer Staples,9.999999999999996e-05,0.0014190228758888396
CNP,Utilities,9.999999999999996e-05,0.001670810510796396
CNC,Health Care,9.999999999999996e-05,0.001259680905960628
CMS,Utilities,9.999999999999996e-05,0.0013874712123873017
COF,Financials,9.999999999999996e-05,0.006850833499779736
CPAY,Financials,9.999999999999996e-05,0.0012907246757739872
CZR,Consumer Discretionary,9.999999999999996e-05,0.00031621114297812364
CSGP,Real Estate,9.999999999999996e-05,0.0012032712956770953
CTSH,Information Technology,9.999999999999996e-05,0.001876696021758271
DE,Industrials,9.999999999999996e-05,0.009348294589739469
DD,Materials,9.999999999999996e-05,0.0011127980753760243
D,Utilities,9.999999999999996e-05,0.003261280556791962
DHI,Consumer Discretionary,9.999999999999996e-05,0.0025155890247325905
