asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.06883805686288412,0.07822345726884723
MSFT,Information Technology,0.06557253929513333,0.06283184686694701
AMZN,Consumer Discretionary,0.04057748209795514,0.04729271775174034
NVDA,Information Technology,0.03136762827774123,0.0893729631293213
GOOGL,Communication Services,0.026239999037798004,0.07463871406131119
AVGO,Information Technology,0.02264551830278869,0.03238709597284914
TSLA,Consumer Discretionary,0.016472250744859144,0.030773653735940827
META,Communication Services,0.016310633405377545,0.033719478835562526
V,Financials,0.01585904077180714,0.012648509058813453
APH,Information Technology,0.014676715302638364,0.0033507733965337815
ORCL,Information Technology,0.01343425785300384,0.009087609011052173
MCD,Consumer Discretionary,0.013128049156434188,0.004839294071603438
UNH,Health Care,0.013064710048079122,0.005375220905771953
JPM,Financials,0.012942136055340564,0.016138975599765095
LLY,Health Care,0.012786121250688218,0.018322438695913598
ETN,Industrials,0.012592380705308331,0.002798483516607343
IBM,Information Technology,0.0121384580150591,0.005019242530334771
GOOG,Communication Services,0.01200578733047129,0.07459369925943643
GS,Financials,0.011800091125314334,0.005092771922421411
XYL,Industrials,0.011444665004861628,0.000619796926752783
XOM,Energy,0.0105952534812081,0.013024186490289545
HD,Consumer Discretionary,0.010254571181618396,0.0073655212169827025
C,Financials,0.009877834248160723,0.0038522295920841803
CSCO,Information Technology,0.009507206412905615,0.006422914408687217
WMT,Consumer Staples,0.009294255249972844,0.020403540126754077
CAT,Industrials,0.008935851767023021,0.00658690590047554
COST,Consumer Staples,0.008922340214205344,0.009159817884957538
JNJ,Health Care,0.008837250650149075,0.01197579869081834
CVX,Energy,0.008042266533500686,0.007850137503579683
KO,Consumer Staples,0.007919558924873928,0.006850439197511023
WMB,Energy,0.007804499690479057,0.0018746711467405625
AEP,Utilities,0.00772981532712144,0.0014743590574159368
BDX,Health Care,0.007715061096429038,0.0012515900279375543
ROP,Information Technology,0.007612939056879145,0.0008176959995864167
NDAQ,Financials,0.007450430547685271,0.001043766832539858
ABBV,Health Care,0.007372379026780814,0.008410667836922027
GE,Industrials,0.006983934567330356,0.007045266262095552
CRM,Information Technology,0.006920350538205279,0.003914701041462782
SHW,Materials,0.006909044404523586,0.001689601488876358
PWR,Industrials,0.006446458606311427,0.0016707279683765253
RTX,Industrials,0.006255897281913144,0.005820220969568176
SNPS,Information Technology,0.005769996302973452,0.0017320856644750234
SCHW,Financials,0.005669660457136875,0.00349797747496194
PM,Consumer Staples,0.005605406252238784,0.0054697597116413746
DLR,Real Estate,0.0055296078255281525,0.0012740245277365599
NFLX,Communication Services,0.0055160382411874,0.008682673584027472
EW,Health Care,0.0054831017430759165,0.0009801686753234627
ISRG,Health Care,0.005458954428062971,0.003598294860264273
USB,Financials,0.005426406522653784,0.0016819759112640196
DIS,Communication Services,0.005081538918355915,0.0037223043535052937
RSG,Industrials,0.005050483625653815,0.001478519417851635
REGN,Health Care,0.005026591646979611,0.0016605851423973415
BK,Financials,0.005008276490703237,0.0016610665777896686
INTC,Information Technology,0.004985114809317374,0.004483446765808767
CMCSA,Communication Services,0.004959899607578207,0.002403608954700101
