asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.06286552236403307,0.08763432983081584
MSFT,Information Technology,0.06035349404571513,0.07039099247803537
AMZN,Consumer Discretionary,0.03828099710236698,0.05298238879684804
NVDA,Information Technology,0.030375550665767415,0.10012520543439932
AVGO,Information Technology,0.024144280168364448,0.03628350816804514
GOOGL,Communication Services,0.023839097231758966,0.08361831494760381
ETN,Industrials,0.02277239852794967,0.00313516221454633
CVX,Energy,0.022178420657890295,0.008794568320364106
APH,Information Technology,0.019449715373094267,0.0037538967372784324
TSLA,Consumer Discretionary,0.01810837376210067,0.034475956647198436
GS,Financials,0.018050074420635647,0.0057054708393761725
META,Communication Services,0.01774426673935391,0.037776186749747934
MCD,Consumer Discretionary,0.015646110473295186,0.005421497689135022
KO,Consumer Staples,0.01522406706272968,0.0076745987595170555
LLY,Health Care,0.014683039012158733,0.020526766420768533
IBM,Information Technology,0.014256086735992721,0.005623095306213102
JPM,Financials,0.013994836580432376,0.018080616227180803
GOOG,Communication Services,0.013895676357505254,0.08356788452516412
V,Financials,0.01385876235916494,0.014170220205410963
HD,Consumer Discretionary,0.013177542425018356,0.008251649035231226
ORCL,Information Technology,0.0128792037332536,0.010180916994130405
UNH,Health Care,0.012429530702798704,0.006021900568149842
CSCO,Information Technology,0.012332403149365845,0.00719563951042802
PRU,Financials,0.012197992093074579,0.000782701929691549
MDT,Health Care,0.012051608243407185,0.0027027038505339483
COP,Energy,0.0119468524039195,0.003313949050305551
PM,Consumer Staples,0.01190090950066032,0.006127813106212408
WMT,Consumer Staples,0.011126007008529731,0.022858240067795497
MTB,Financials,0.011051518099266102,0.0007490760040861081
PFE,Health Care,0.010399759900259984,0.0035620746815020893
GE,Industrials,0.010196223206284346,0.007892864991078389
CRM,Information Technology,0.009932505618597365,0.004385669136017764
JNJ,Health Care,0.009904407194095454,0.013416577700620123
GLW,Information Technology,0.009879737369966678,0.0024496122766919704
PG,Consumer Staples,0.009848974781205415,0.008313687652146365
ORLY,Consumer Discretionary,0.009708357967560019,0.00184924980666949
PEG,Utilities,0.009480891038803186,0.0009634931368419198
NDAQ,Financials,0.009429949741504441,0.001169339863806966
RTX,Industrials,0.009252140763866459,0.006520437499743417
ISRG,Health Care,0.009006952202729214,0.0040311969020897735
VZ,Communication Services,0.008991515158609539,0.004993135810435255
ROP,Information Technology,0.00887452648556465,0.0009160710026253575
XYL,Industrials,0.008838605280192528,0.0006943631770263205
DIS,Communication Services,0.008508740271658034,0.004170125673743081
VRTX,Health Care,0.008335882578544061,0.0026867183946488846
ES,Utilities,0.00794118063456821,0.0006473227465308242
SNPS,Information Technology,0.007812945971610627,0.0019404686486068033
LHX,Industrials,0.007737474267435006,0.0015880972079965188
FCX,Materials,0.00763562842090176,0.0019756958042478944
UPS,Industrials,0.007452173469063086,0.002012789931220502
AEP,Utilities,0.007347122095267359,0.00165173558466707
ALL,Financials,0.007263940598544054,0.0012761353288664717
NSC,Industrials,0.007188880326383317,0.0015749884739675113
ELV,Health Care,0.007178398433964626,0.0014803982320167463
COST,Consumer Staples,0.007030402042671825,0.010261813140803976
TT,Industrials,0.007003997858341695,0.0021728232002626137
MRK,Health Care,0.006980655758155025,0.006629745152016818
REGN,Health Care,0.006980409262123317,0.0018603660738344338
TER,Information Technology,0.006767696895613473,0.0009899658645205582
NFLX,Communication Services,0.006678322327145546,0.009727264777633481
DLR,Real Estate,0.006477503956322379,0.001427299298374011
EA,Communication Services,0.006258631320724674,0.0011475039257141009
RSG,Industrials,0.0060381459988556865,0.0016563964678773838
GPN,Financials,0.005825793418467781,0.0004952297970550292
RMD,Health Care,0.005785897288483439,0.0008547878251820304
UAL,Industrials,0.005687445103771963,0.00069027200369392
ZTS,Health Care,0.005573389147698226,0.0012392839404182696
LRCX,Information Technology,0.005455067683282827,0.0057980389242877515
AXP,Financials,0.004904500891551033,0.004801762616986964
EG,Financials,0.004888965299109948,0.0003125168387771887
AMD,Information Technology,0.0047326920333716094,0.0072660923040015705
BAC,Financials,0.004720649965141654,0.008225709118139373
NTRS,Financials,0.004667834855264514,0.0005964184195706397
JKHY,Financials,0.0046280662280413516,0.00028801084805845425
MA,Financials,0.004293230879334078,0.010795423560039605
TMUS,Communication Services,0.004211569881837895,0.005739287664270541
ROST,Consumer Discretionary,0.004194078696211387,0.0015948414308752656
MCK,Health Care,0.004079703519298314,0.0026275789806489208
TKO,Communication Services,0.003905045170301967,0.0003704413033026634
SRE,Utilities,0.0037115436090876005,0.001401400454272025
QCOM,Information Technology,0.003557088883141086,0.0033553195110637203
SBUX,Consumer Discretionary,0.0035157180469917227,0.0026117877914688128
TSCO,Consumer Discretionary,0.0035113109326226194,0.0006114229139667859
MCO,Financials,0.0032924542273406487,0.001937901065027823
MHK,Consumer Discretionary,0.0031837362375913905,0.00015371987384430879
NOW,Information Technology,0.003141447324319656,0.003038299962772758
IVZ,Financials,0.003005807734741976,0.00024320389181501853
GD,Industrials,0.0029917613818563364,0.0022760990990034224
NEE,Utilities,0.002828383440577115,0.004391808267436103
MS,Financials,0.0027256319007420843,0.005893495967581236
VRSN,Information Technology,0.002699854254639403,0.0005233428357666038
CVS,Health Care,0.002649417920619443,0.002295707704821349
UDR,Real Estate,0.0024017279739520273,0.00032477838310471225
EQT,Energy,0.002126905305878124,0.0008957670965401808
ETR,Utilities,0.0020345328009326855,0.0010983572002071056
ABT,Health Care,0.0019071022855884196,0.004408907911170978
