asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.12058763848448002,0.389751567921219
AMZN,Consumer Discretionary,0.0916427878956786,0.2356378960807865
AMP,Financials,0.05856339497461544,0.004448511600080814
AME,Industrials,0.0576524353515989,0.005263183925428609
AEE,Utilities,0.04525671190318837,0.003175055876109138
ANET,Information Technology,0.040574878380373755,0.017236078483451895
AEP,Utilities,0.0383595468207247,0.007346054168019519
AMAT,Information Technology,0.03495974358956239,0.02654391091809139
ABBV,Health Care,0.032370807579892004,0.04190649571315267
AVB,Real Estate,0.031921254823246606,0.0025943070128814512
ABT,Health Care,0.02963577332856556,0.019608511578928088
AZO,Consumer Discretionary,0.029429795923860816,0.006237910755690848
AMD,Information Technology,0.02907930046002845,0.03231577024223534
BKNG,Consumer Discretionary,0.02447380550754439,0.015107278896518658
ADI,Information Technology,0.021747363988411837,0.015879960064622826
ADBE,Information Technology,0.02148511261221031,0.012228076425820644
AMGN,Health Care,0.0212894515423693,0.020517056194141264
BKR,Energy,0.02080850266701866,0.006087749601140801
AFL,Financials,0.01900977726119387,0.005918869507141746
CAG,Consumer Staples,0.01748225315593154,0.000937121784075756
BA,Industrials,0.01743257688339041,0.018694008425462948
CMCSA,Communication Services,0.01730121937171619,0.011976079701311471
AMCR,Materials,0.016983520982769913,0.0020596539230063157
AXON,Industrials,0.01606797260508166,0.004753188063336847
ADSK,Information Technology,0.015282674253967576,0.005698778637167945
A,Health Care,0.013512761075966946,0.0033521578585245385
ADP,Industrials,0.012569175952862817,0.009425051613870623
ACN,Information Technology,0.012285329854267118,0.013732496803640684
AKAM,Information Technology,0.011341383050045487,0.0014906539143108744
BAX,Health Care,0.011138030244866894,0.0009374042282388605
BG,Consumer Staples,0.010912423141891128,0.0023253195528279125
AIG,Financials,0.009752036225951242,0.004374816665604471
ALL,Financials,0.00941525670191351,0.005675581090944453
ACGL,Financials,0.009392499320818542,0.0036307127718311996
AIZ,Financials,0.008353882257794227,0.0011498086724610218
APA,Energy,0.006769074515664828,0.0012042815835981379
AES,Utilities,0.006459359116390641,0.0010378444523137921
ALGN,Health Care,0.004142119063194825,0.0012858586930295276
BBY,Consumer Discretionary,0.002216595754801196,0.001442933506944708
AJG,Financials,0.001341773376149358,0.006040968494639687
ALLE,Industrials,9.999999999999998e-05,0.001334184172152128
BLDR,Industrials,9.999999999999998e-05,0.0010608160853941286
AOS,Industrials,9.999999999999998e-05,0.0010114213684352497
ALB,Materials,9.999999999999998e-05,0.001969849968147502
APTV,Consumer Discretionary,9.999999999999998e-05,0.0016179676774624883
ARE,Real Estate,9.999999999999998e-05,0.0009054957369954692
ADM,Consumer Staples,9.999999999999998e-05,0.0033424655307795876
CHTR,Communication Services,9.999999999999998e-05,0.00309545724690765
AMT,Real Estate,9.999999999999998e-05,0.009093323370075753
AON,Financials,9.999999999999998e-05,0.007540053441047055
