asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.05788362993431106,0.1824032616975924
HUM,Health Care,0.05178931023337834,0.001041397200413409
DLR,Real Estate,0.051157234399499374,0.0029707997761233185
MCO,Financials,0.03501779327664319,0.004033573096191067
HAL,Energy,0.0333782989247682,0.0013813488464830543
OKE,Energy,0.03290379886174254,0.002638929884154551
KMX,Consumer Discretionary,0.03279181074719292,0.00029863148545327084
C,Financials,0.03038498902623207,0.008982717805340176
GLW,Information Technology,0.027733346085464624,0.005098655629884914
GEN,Information Technology,0.027088072866950228,0.0006721290448973941
GILD,Health Care,0.02667705289348686,0.008614450355130579
MNST,Consumer Staples,0.023539616207133907,0.0035653741104141974
LRCX,Information Technology,0.02245278084810774,0.01206811546663756
RF,Financials,0.02243860393704235,0.0011429097062364093
CHTR,Communication Services,0.02216943759868381,0.001448670242156749
MSCI,Financials,0.02184291754986367,0.002061724800850532
AMZN,Consumer Discretionary,0.021217096847821186,0.11027824994762206
HPQ,Information Technology,0.01951888934011739,0.0008610828783179185
FAST,Industrials,0.01938223828653419,0.0025716519244416754
MKTX,Financials,0.019152764298419,0.00033346226416420887
TSCO,Consumer Discretionary,0.018392233364112536,0.0012726237993660242
EMN,Materials,0.017828858590645747,0.0003867034982659853
CTSH,Information Technology,0.017579110330380027,0.0015415136212268842
SW,Materials,0.017219165939385165,0.0010828272095875144
MPC,Energy,0.01712942159449137,0.0032062803351296187
NTAP,Information Technology,0.016104671626530526,0.0009648140732759455
CPAY,Financials,0.015726884672964393,0.001060198159899726
MOS,Materials,0.015726423270293714,0.0004026600686657702
HCA,Health Care,0.01528220782800906,0.005743202247353552
HOLX,Health Care,0.01486989519657439,0.0008150301476545823
LDOS,Industrials,0.014602011593435955,0.0010963182215817757
BSX,Health Care,0.0144560576964082,0.005103418185552554
BAC,Financials,0.013496363928012142,0.0171211005529553
TKO,Communication Services,0.01302243611402309,0.0007710414642339472
ISRG,Health Care,0.01223485008270113,0.008390586941281563
