asset,sector,weight,benchmark_weight
MSFT,Information Technology,0.15264422114881068,0.049897469732440074
MA,Financials,0.1445595339191884,0.007652460938152422
AAPL,Information Technology,0.10483276582669916,0.06212060899155897
SPGI,Financials,0.0832888223403943,0.0022485884184815165
WAB,Industrials,0.05011971156362898,0.0006866820851295049
PRU,Financials,0.047749649138748275,0.0005548273219544827
AMZN,Consumer Discretionary,0.04384274908886238,0.03755717952361627
TEL,Information Technology,0.04009112839247588,0.0009919308738060126
APH,Information Technology,0.03523615021136658,0.002660993150302631
DOV,Industrials,0.02981979032600897,0.0004692619135802789
EMR,Industrials,0.028175329007534212,0.001277174184085287
BLK,Financials,0.027961362378343603,0.002439631787486755
AVGO,Information Technology,0.02666350739014378,0.02571998471490091
C,Financials,0.026193011941058022,0.003059221064764639
NVDA,Information Technology,0.022494155101791802,0.0709749107341571
JCI,Industrials,0.02237375851497552,0.001330320405478482
MAR,Consumer Discretionary,0.01983731008526695,0.0014085339575478804
TXN,Information Technology,0.019112087025091287,0.0028819290162903806
PFG,Financials,0.015761940922631824,0.00033273710754750833
GS,Financials,0.014179225899355122,0.004044389040343842
QCOM,Information Technology,0.01411981859287695,0.0023784570703163413
KEYS,Information Technology,0.009685635340098062,0.0007683303406561572
ADSK,Information Technology,0.008534029544691298,0.0009083006422196511
CDNS,Information Technology,0.006896984289067652,0.0013447815149661144
ETN,Industrials,0.0022689969042689606,0.0022223960225511725
MS,Financials,0.0007382817352979715,0.004177672828698975
TRMB,Information Technology,0.0005181973714051046,0.0002737138120763232
TROW,Financials,0.00010179255889092455,0.000323866998140511
PNR,Industrials,0.00010001244785710584,0.0002476019028247504
CPAY,Financials,0.00010000916144537661,0.0003610689563977819
MCO,Financials,0.00010000705161017847,0.0013737035994607133
AMP,Financials,0.00010000399242377334,0.0007090266529957677
AMAT,Information Technology,0.00010000289246887264,0.004230705010487161
IVZ,Financials,0.00010000249586620421,0.00017239789358614559
KLAC,Information Technology,0.00010000219093724552,0.0029001264021294116
AXP,Financials,0.00010000209328352851,0.003403785007268255
PH,Industrials,0.00010000203892518521,0.0019139318011437885
ADI,Information Technology,0.00010000145457644165,0.0025310296895980754
BX,Financials,0.00010000108530784703,0.0022285197341711293
LRCX,Information Technology,0.00010000089173841456,0.004110006998728314
APO,Financials,0.00010000082069374913,0.0010357232924557494
SWKS,Information Technology,0.0001000008190910373,0.0001352393977992097
TER,Information Technology,0.00010000069211693111,0.0007017487610574191
COF,Financials,0.00010000065148350376,0.0019164608445539455
ZBRA,Information Technology,0.00010000064366450683,0.0001826704682416633
NXPI,Information Technology,0.00010000049763545513,0.0008368639743663561
SYF,Financials,0.00010000044368423186,0.0003941932927524566
MCHP,Information Technology,0.00010000036751217024,0.0005747960535096538
KKR,Financials,0.00010000035876424182,0.0013883658920251082
MPWR,Information Technology,0.00010000034994123627,0.0008250003589480197
