asset,sector,weight,benchmark_weight
MSFT,Information Technology,0.0743323946077128,0.049897469732440074
GOOGL,Communication Services,0.07323228106984332,0.059273810359722234
BRK-B,Financials,0.07255793664073759,0.0006616741276674662
HD,Consumer Discretionary,0.058127560460249805,0.005849276924269048
AAPL,Information Technology,0.05573915130428199,0.06212060899155897
CSCO,Information Technology,0.053568654102114074,0.005100712350222471
ROP,Information Technology,0.04436044653481484,0.0006493675329343868
ISRG,Health Care,0.042621035412266625,0.002857560581636861
A,Health Care,0.041681604805123854,0.000534284156233275
DIS,Communication Services,0.038293681589129026,0.0029560418494027486
NVDA,Information Technology,0.02968843619743058,0.0709749107341571
NWS,Communication Services,0.02701511433817801,0.00025127746115532085
AVGO,Information Technology,0.025132982627646544,0.02571998471490091
V,Financials,0.023515419504094,0.010044724600553586
AMZN,Consumer Discretionary,0.021992410974379185,0.03755717952361627
HON,Industrials,0.019901937237341214,0.0026028509721569455
META,Communication Services,0.019141612034345126,0.02677808720399449
BK,Financials,0.018567493382213078,0.0013191243520875846
CTAS,Industrials,0.01740241873484327,0.0013432320287291779
JPM,Financials,0.017135528788846454,0.012816654080010762
IQV,Health Care,0.016980342869614667,0.00048781496716146706
NWSA,Communication Services,0.016659700456198256,0.00023166579257921993
LYV,Communication Services,0.016330225737750146,0.0006018079746203395
J,Industrials,0.013319049794528246,0.00026517412166638836
TSLA,Consumer Discretionary,0.0132057045245992,0.024438680898515343
GLW,Information Technology,0.013076330680553472,0.0017364360144601083
APH,Information Technology,0.013054303760973822,0.002660993150302631
BKNG,Consumer Discretionary,0.012803826877985439,0.0024078757919115306
IRM,Real Estate,0.012685109279963925,0.0005108023862327391
SPG,Real Estate,0.010473157986137993,0.0010393137245245615
TDY,Information Technology,0.010398445136195244,0.0004991698085990804
JCI,Industrials,0.009926781276141206,0.001330320405478482
FCX,Materials,0.007875827718604343,0.0014004948377980251
VMC,Materials,0.007410289297859461,0.0005964735972711427
GE,Industrials,0.007288286641416567,0.005594948701958717
CAT,Industrials,0.006895305925597345,0.005230945041220929
MAR,Consumer Discretionary,0.005801973155342276,0.0014085339575478804
PWR,Industrials,0.005480077833613293,0.0013267968775411468
QCOM,Information Technology,0.004166201855672297,0.0023784570703163413
STLD,Materials,0.0037919216700966155,0.00043526405805774957
PTC,Information Technology,0.002802760931490934,0.00031784613061009554
SHW,Materials,0.0026539110282748778,0.0013417851512406169
WDC,Information Technology,0.0018832622210273242,0.0013765029490101033
MGM,Consumer Discretionary,0.00034098262755907495,0.00015970602855424273
MU,Information Technology,0.00018698331663428132,0.006841836226228611
GOOG,Communication Services,0.00010020009094470047,0.05923806217108767
NTAP,Information Technology,0.00010016615813863821,0.0003285842437121256
HUBB,Industrials,0.0001001555024364744,0.0004115157809968032
ETN,Industrials,0.00010008146820695715,0.0022223960225511725
CRM,Information Technology,0.00010007828678723154,0.0031088323273638645
NDAQ,Financials,0.00010005395849609921,0.0008289000965492874
XYL,Industrials,0.00010004308615347775,0.00049220737468367
NUE,Materials,0.00010003194315157488,0.0006339879877363604
DD,Materials,0.00010002282995140011,0.0003112955437351832
MTD,Health Care,0.0001000179399243248,0.0004056625772370786
WAB,Industrials,0.00010001656481899688,0.0006866820851295049
CMI,Industrials,0.00010001478882152757,0.0012230477331155402
MET,Financials,0.00010001456691355487,0.0007769440962930485
BAC,Financials,0.00010001207124226429,0.005830889113806558
MA,Financials,0.0001000109352633602,0.007652460938152422
PLD,Real Estate,0.00010001033880309939,0.0020530439815757175
JBL,Information Technology,0.00010001027363582861,0.0004227792764418424
RJF,Financials,0.00010000922942314117,0.000492898235486543
RL,Consumer Discretionary,0.0001000090976028132,0.0003368316067737233
HPE,Information Technology,0.00010000843436465099,0.00046291234168129616
MLM,Materials,0.00010000682290327497,0.0006039439982832784
PPG,Materials,0.00010000604304344858,0.0003914727824936762
CTSH,Information Technology,0.00010000577159913868,0.000524989323261983
WFC,Financials,0.00010000496738341404,0.004144164550042057
KLAC,Information Technology,0.00010000491779230973,0.0029001264021294116
TXN,Information Technology,0.00010000461439672757,0.0028819290162903806
CDW,Information Technology,0.00010000424433708259,0.000263782078669505
TT,Industrials,0.00010000411958530574,0.0015402308740408504
