asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.05110900941595204,0.25598451519375653
ADP,Industrials,0.04622782584275868,0.006190269563047608
BRK-B,Financials,0.04396617576670534,0.003142808627958888
AEP,Utilities,0.03972402193884312,0.004824807055471947
COP,Energy,0.03637549671715478,0.009680220555768686
CMCSA,Communication Services,0.03308481168537311,0.007865756570559013
ABT,Health Care,0.03069797333709688,0.012878653335443826
CL,Consumer Staples,0.0295494830227004,0.005073032360876254
BMY,Health Care,0.028582143101570912,0.008305618785327725
APA,Energy,0.02421168702247699,0.0007909588125029717
ACN,Information Technology,0.02237677278709055,0.009019351879529385
C,Financials,0.021802230549851382,0.012606335221869998
BKR,Energy,0.021045282349782788,0.003998366545594008
BK,Financials,0.020845855417211928,0.005435803241969221
BA,Industrials,0.020471370428119657,0.012278017787955139
BXP,Real Estate,0.020436812694011222,0.0006340811792454771
COST,Consumer Staples,0.02026385822396439,0.0299752992569119
ADI,Information Technology,0.019621228180837277,0.010429781976554763
APD,Materials,0.01735870559345522,0.004099571745648642
CAT,Industrials,0.01671457744992384,0.021555502306232627
APH,Information Technology,0.015330670697516226,0.010965331032197136
CPB,Consumer Staples,0.015222882070106258,0.0005203306895012738
CI,Health Care,0.014684440874560655,0.004908417567437007
AXP,Financials,0.013868184553631235,0.014026202721672239
ADBE,Information Technology,0.013652062236257386,0.00803126522956955
CB,Financials,0.01361062938023763,0.008732178307573913
BAX,Health Care,0.0134719122758447,0.0006156767198812292
BDX,Health Care,0.01308237546431338,0.0040958003866000256
BIIB,Health Care,0.011984131194788318,0.0018353448622873162
ALL,Financials,0.011908847657040447,0.0037276588308733536
CAG,Consumer Staples,0.011280468949289165,0.0006154912136816076
CLX,Consumer Staples,0.01104954215335531,0.0009461278214438623
AMT,Real Estate,0.010979561379342575,0.005972394124811858
CHD,Consumer Staples,0.010904015392580187,0.0016357763506566407
BR,Industrials,0.010831731422159119,0.001554896894489295
CMI,Industrials,0.010612697978140878,0.0050398939434567755
AMZN,Consumer Discretionary,0.010251926338198464,0.15476436159381765
AWK,Utilities,0.009643186927098864,0.0018155914306559173
BLK,Financials,0.009416040995709368,0.01005315257704466
CHRW,Industrials,0.00936113109317822,0.001441490955841775
CF,Materials,0.009018221701278301,0.00122161803561488
AMAT,Information Technology,0.008720297780434504,0.017433746845342605
AME,Industrials,0.00866836131533068,0.003456800937870108
AEE,Utilities,0.00819299602530724,0.002085341551013775
BF-B,Consumer Staples,0.008156979650983933,0.003142808627958888
CAH,Health Care,0.007892547293807726,0.0034667088253773045
BKNG,Consumer Discretionary,0.007734477257603549,0.00992229353905739
BG,Consumer Staples,0.007707913375078978,0.0015272441406099329
AES,Utilities,0.007496374566734696,0.0006816447471630865
CCL,Consumer Discretionary,0.00732203808254848,0.0024165334305072347
AFL,Financials,0.007294022459766281,0.0038874479693871192
CNP,Utilities,0.006976821529542041,0.0019260241440980015
BAC,Financials,0.006932951092421333,0.02402773165261698
A,Health Care,0.006753149620514806,0.002201660172514801
AMP,Financials,0.006551678896188769,0.0029217331731444538
COF,Financials,0.005553060131620628,0.007897287359942337
AZO,Consumer Discretionary,0.005517314627943617,0.0040969907295926675
CMG,Consumer Discretionary,0.005474817030071013,0.0031637759545276164
BEN,Financials,0.005204526539406143,0.0009254969413320279
ALGN,Health Care,0.005178330228338922,0.0008445377549048746
BSX,Health Care,0.005175952452053801,0.007162130862690132
AVGO,Information Technology,0.004951036384728246,0.1059860475438895
ADM,Consumer Staples,0.004757244011498349,0.0021952943589476524
CMS,Utilities,0.004683325671719055,0.001599405221017618
BBY,Consumer Discretionary,0.004245142546956531,0.0009477027538391558
COR,Health Care,0.0038233603895878885,0.004717117589422474
AKAM,Information Technology,0.003066058232481982,0.0009790449891241358
ALB,Materials,0.003047159215329499,0.0012937756525012876
BALL,Materials,0.002539366106974797,0.0011335753247414598
BX,Financials,0.0017457573806114739,0.009183209131594823
CPRT,Industrials,0.0016590093442570783,0.002471343516182429
AVY,Materials,0.0014562459332874418,0.0009342275086865852
AMGN,Health Care,0.0014420698291133553,0.013475375380970668
AOS,Industrials,0.0014189231313875084,0.0006642903581797436
BLDR,Industrials,0.0013462043566232636,0.0006967322614703219
CBOE,Financials,0.0013058022137283948,0.002133125675966334
ADSK,Information Technology,0.001154129148600523,0.003742894722432116
CCI,Real Estate,0.0008503858394140484,0.0026675777651497044
AVB,Real Estate,0.0007863880830717005,0.0017039121266356442
APO,Financials,0.0005877999654245004,0.004267973691793532
AIZ,Financials,0.0001,0.0007551816074926104
AIG,Financials,0.0001,0.002873331155995993
AJG,Financials,0.0001,0.003967641232718972
ACGL,Financials,0.0001,0.0023846119559238097
ATO,Utilities,0.0001,0.002070862508124567
ARE,Real Estate,0.0001,0.0005947195760650566
AON,Financials,0.0001,0.0049522236303911095
AMD,Information Technology,0.0001,0.02122464015396478
BRO,Financials,0.0001,0.0016975603056944568
AXON,Industrials,0.0001,0.0031218413013901596
CBRE,Real Estate,0.0001,0.0027545581447768973
CDNS,Information Technology,0.0001,0.005541530415403727
CINF,Financials,0.0001,0.0017455539044138777
CHTR,Communication Services,0.0001,0.0020330620525247554
CME,Financials,0.0001,0.007711840455805036
CNC,Health Care,0.0001,0.0014520951496665953
COO,Health Care,0.0001,0.0010148468544059926
CPAY,Financials,0.0001,0.0014878808056688736
CPT,Real Estate,0.0001,0.0007667298879472449
CRL,Health Care,0.0001,0.0005809706780963526
