asset,sector,weight,benchmark_weight
XOM,Energy,0.03661290452002475,0.014804678025888307
AAPL,Information Technology,0.028026244428004887,0.08891711584447452
JNJ,Health Care,0.021241892133043273,0.01361296875260565
T,Communication Services,0.019035228194070143,0.004770952542050475
CVX,Energy,0.018718880864750206,0.008923302678911818
GE,Industrials,0.01813758705801659,0.008008400270891659
MSFT,Information Technology,0.017969389587398972,0.07142137156363688
PFE,Health Care,0.016808999565788553,0.003614216115000355
PG,Consumer Staples,0.015361756685194614,0.008435382908590833
PM,Consumer Staples,0.015136633795578582,0.006217511663411844
KO,Consumer Staples,0.014293473682157262,0.0077869390714491145
WFC,Financials,0.0142059522995518,0.005931802108133305
LMT,Industrials,0.013529055332509877,0.0036525771806850513
IBM,Information Technology,0.012777104284854852,0.005705405834817652
JPM,Financials,0.012191628553176003,0.018345279192702815
COP,Energy,0.011873807257905948,0.003362458435838783
BAC,Financials,0.01184911967267076,0.008346116550130294
CSCO,Information Technology,0.011684458392330389,0.0073009688458736954
VZ,Communication Services,0.011300480251847081,0.005066225030085707
SLB,Energy,0.011243485853515091,0.0016478963915557564
CMCSA,Communication Services,0.011081862251724603,0.0027321980302576158
EXC,Utilities,0.010783893364086196,0.0011863825772941389
BRK-B,Financials,0.009916161342515684,0.0018847656931609855
AMZN,Consumer Discretionary,0.009526731908802558,0.05375794179588431
HPQ,Information Technology,0.009516017205120646,0.00041975678137831527
INTC,Information Technology,0.008618612517025337,0.005096363282535693
MRK,Health Care,0.008614650050399998,0.006726790960109916
F,Consumer Discretionary,0.008613686351819149,0.0011389682939481553
GS,Financials,0.008157384323459731,0.005788987176047189
BMY,Health Care,0.00788545186585538,0.002884985707577055
YUM,Consumer Discretionary,0.007789671983364854,0.0010438585947422762
MO,Consumer Staples,0.007773791481010622,0.0026234470038147216
NKE,Consumer Discretionary,0.007597230225753537,0.0019831008610210013
RTX,Industrials,0.007422512484202541,0.006615883269041297
ORCL,Information Technology,0.007418816897089277,0.010329944640618984
TGT,Consumer Staples,0.0073612557561627155,0.0012896980543170753
NSC,Industrials,0.006975381174029961,0.0015980430598812694
ZBH,Health Care,0.006910142542629145,0.0004382466098433646
