asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.06858910978163879,0.06212060899155897
MSFT,Information Technology,0.06765489879982045,0.049897469732440074
AMZN,Consumer Discretionary,0.04063569577982669,0.03755717952361627
GOOGL,Communication Services,0.04006211297570189,0.059273810359722234
NVDA,Information Technology,0.037035497865780476,0.0709749107341571
AVGO,Information Technology,0.022299758268510685,0.02571998471490091
V,Financials,0.018995222778419318,0.010044724600553586
GS,Financials,0.016789275298673908,0.004044389040343842
META,Communication Services,0.01631224447381036,0.02677808720399449
APH,Information Technology,0.016286610501323445,0.002660993150302631
COST,Consumer Staples,0.01611779374999302,0.0072742050164017425
LLY,Health Care,0.01601506429761893,0.014550635956791834
TSLA,Consumer Discretionary,0.015327760406106661,0.024438680898515343
ORCL,Information Technology,0.014634850460205054,0.007216860846529793
UNH,Health Care,0.01459677048091224,0.004268693915983365
XOM,Energy,0.014274418470167147,0.01034306619324836
CSCO,Information Technology,0.013674922019610444,0.005100712350222471
BAC,Financials,0.012674602307917315,0.005830889113806558
ETN,Industrials,0.012578774126450571,0.0022223960225511725
CVX,Energy,0.01160513178672491,0.006234131543353004
ABBV,Health Care,0.011079595075225252,0.006679272769287226
PGR,Financials,0.010612273253117983,0.002025591232840949
AEP,Utilities,0.010445265297623862,0.001170851886590982
GLW,Information Technology,0.01004880468459179,0.0017364360144601083
COR,Health Care,0.009927380363493995,0.0011447185276731366
ICE,Financials,0.009811487752109459,0.0015555561562900309
ISRG,Health Care,0.009439136239129687,0.002857560581636861
BKNG,Consumer Discretionary,0.00933477973938454,0.0024078757919115306
XYL,Industrials,0.008889004521717748,0.00049220737468367
JPM,Financials,0.008684968654648136,0.012816654080010762
IBM,Information Technology,0.008435540308321145,0.003985996190236201
JNJ,Health Care,0.00815985226162418,0.009510496388277485
ORLY,Consumer Discretionary,0.008092874958068057,0.0013108621289123624
C,Financials,0.007567184176201633,0.003059221064764639
VRSN,Information Technology,0.007506890865862486,0.0003709776263703322
CRM,Information Technology,0.007409504038379126,0.0031088323273638645
