asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.06495934085817832,0.06212060899155897
MSFT,Information Technology,0.060649259452974995,0.049897469732440074
GOOGL,Communication Services,0.052388131819861336,0.059273810359722234
NVDA,Information Technology,0.03660422424697364,0.0709749107341571
AMZN,Consumer Discretionary,0.03445808247143967,0.03755717952361627
AVGO,Information Technology,0.023788863010562284,0.02571998471490091
T,Communication Services,0.02181437587478142,0.0033331544165286727
META,Communication Services,0.021360635690872574,0.02677808720399449
GS,Financials,0.018206716412892208,0.004044389040343842
APH,Information Technology,0.018139370654085343,0.002660993150302631
EA,Communication Services,0.017550095391408928,0.0008134214391002089
V,Financials,0.017491473472384247,0.010044724600553586
COST,Consumer Staples,0.016778219615832504,0.0072742050164017425
ETN,Industrials,0.015835898316061987,0.0022223960225511725
LLY,Health Care,0.015545024815049394,0.014550635956791834
TSLA,Consumer Discretionary,0.01511494198809877,0.024438680898515343
UNH,Health Care,0.014982479933730334,0.004268693915983365
NWS,Communication Services,0.01477246825060748,0.00025127746115532085
ORCL,Information Technology,0.0143141344688193,0.007216860846529793
BAC,Financials,0.014270055747348388,0.005830889113806558
CMCSA,Communication Services,0.013432723177341772,0.0019088091636036576
XOM,Energy,0.013145290523081391,0.01034306619324836
DIS,Communication Services,0.012953078196585007,0.0029560418494027486
ABBV,Health Care,0.012658524596344353,0.006679272769287226
CSCO,Information Technology,0.012498557761030942,0.005100712350222471
CVX,Energy,0.010547215146087087,0.006234131543353004
PGR,Financials,0.010187062333574375,0.002025591232840949
ORLY,Consumer Discretionary,0.01010759581984446,0.0013108621289123624
GLW,Information Technology,0.009701979010162905,0.0017364360144601083
NDAQ,Financials,0.009302109335484468,0.0008289000965492874
ISRG,Health Care,0.008873826663613846,0.002857560581636861
SHW,Materials,0.008693233946388927,0.0013417851512406169
SLB,Energy,0.007687789360833183,0.0011512780911325236
PG,Consumer Staples,0.0075917124830167165,0.005893253715912261
JPM,Financials,0.007545272290033041,0.012816654080010762
