asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.03210099743340074,0.12476395689993211
XOM,Energy,0.03172247091811361,0.020773168288207387
JNJ,Health Care,0.021170112693137323,0.019101022683876853
SLB,Energy,0.02072491782629774,0.0023122440760587524
IBM,Information Technology,0.019698886435745702,0.008005534152916917
MRK,Health Care,0.019571155118938553,0.009438689609433162
MO,Consumer Staples,0.018796094480784526,0.0036810868841686095
KO,Consumer Staples,0.017779691025586693,0.010926235308756332
MSFT,Information Technology,0.01645491684944556,0.10021482184696125
QCOM,Information Technology,0.016414183829357554,0.004776928626852467
PFE,Health Care,0.016197394262935972,0.005071283512925208
CVX,Energy,0.01578761610875118,0.012520722700723833
RTX,Industrials,0.015009109713222979,0.009283069600203905
VZ,Communication Services,0.01480324246433625,0.007108668283894289
T,Communication Services,0.014790433224586404,0.00669435700511418
CMCSA,Communication Services,0.013816908958319682,0.0038336807717130146
GOOG,Communication Services,0.013607295327660833,0.11897460690627405
CL,Consumer Staples,0.013276409557800435,0.0024725385843954477
C,Financials,0.012916514767452515,0.0061441851789238435
APA,Energy,0.012860585593947997,0.00038550437755208844
BXP,Real Estate,0.012813123543861757,0.00030904399376876964
JPM,Financials,0.012810247719073962,0.025741159064572017
PAYX,Industrials,0.012527310718984839,0.0011935877148762676
BRK-B,Financials,0.012525403641285156,0.0025188171249030888
NTRS,Financials,0.012375055404639991,0.0008491138362933057
WFC,Financials,0.012355770621789296,0.00832320184397951
ETR,Utilities,0.012129108976540652,0.0015637181302341875
GE,Industrials,0.011980294388068871,0.011236978356142005
INTC,Information Technology,0.011957020326208935,0.007150956740891549
DVN,Energy,0.011683633911795359,0.0009096303279449114
PG,Consumer Staples,0.010987689848353419,0.01183609859189164
APD,Materials,0.010598842415331515,0.001998084892733237
IFF,Materials,0.01039955769767117,0.0006228830831580339
PM,Consumer Staples,0.010360801613962654,0.008724094903792872
CSX,Industrials,0.00989199216139347,0.0024493427296634965
WMT,Consumer Staples,0.009759298764870509,0.03254300551088255
CHRW,Industrials,0.009609942356318077,0.0007025663851196558
WMB,Energy,0.00941991561767301,0.0029900415849637204
F,Consumer Discretionary,0.009393738661141585,0.0015981421550502006
WBD,Communication Services,0.009343876525441282,0.002286306507543962
COST,Consumer Staples,0.009210356702009299,0.014609621764508736
MAR,Consumer Discretionary,0.009089157613938352,0.00282892059212545
V,Financials,0.008815596246105381,0.020173974587168724
TFC,Financials,0.008798039942579576,0.0019147139438692848
COP,Energy,0.00868906220318087,0.0047180299921173435
CSCO,Information Technology,0.008418197787390348,0.010244346701568569
DUK,Utilities,0.007794127239647662,0.0033972669745612077
ORCL,Information Technology,0.007677238712677761,0.014494450879121271
SYK,Health Care,0.007663061731327473,0.004599789770169128
GLW,Information Technology,0.007560279488528265,0.00348748397004654
OXY,Energy,0.007517636328227561,0.001762125458184367
KEY,Financials,0.007511807365225757,0.0007134911732702555
XEL,Utilities,0.007386580905598755,0.0016973890339011897
LOW,Consumer Discretionary,0.007323045352657828,0.004658644649842404
DGX,Health Care,0.007225280626797459,0.0007306420771428106
EMR,Industrials,0.007111368682510994,0.00256509566541073
BIIB,Health Care,0.007104291948940999,0.0008945263236786265
CME,Financials,0.007056003125798935,0.003758663798546356
BA,Industrials,0.006884963802232274,0.00598416697569993
CTAS,Industrials,0.006868103223242005,0.0026977672250725598
LMT,Industrials,0.006779418647928841,0.0051251098016016445
FCX,Materials,0.006720634351547021,0.0028127747042105294
KLAC,Information Technology,0.006501585752486945,0.0058246570874537825
RL,Consumer Discretionary,0.006497687888428477,0.0006764976189425644
TECH,Health Care,0.006442192524631221,0.0002779817149198863
YUM,Consumer Discretionary,0.006423621460713638,0.0014646890813670285
HPQ,Information Technology,0.006371137576031205,0.000588981283107967
GILD,Health Care,0.006358402049904132,0.005892289988794114
NDAQ,Financials,0.006333915419512005,0.0016647753072458978
BAC,Financials,0.0061893165282776,0.011710844595584958
AIZ,Financials,0.006131492758998208,0.0003680669725569693
LLY,Health Care,0.006126593430291391,0.02922371410792926
J,Industrials,0.006081542623173248,0.0005325796579209028
AXP,Financials,0.006038318550317573,0.006836212536183545
DE,Industrials,0.005838950209389601,0.005252213394596817
ZBH,Health Care,0.005714325345452431,0.0006149252663308992
BMY,Health Care,0.005707558200152171,0.004048064639283184
ROST,Consumer Discretionary,0.005672067330287331,0.002270556846022443
CRM,Information Technology,0.005664248517697882,0.00624382517809903
DIS,Communication Services,0.005650760287209196,0.0059369585050815295
BKNG,Consumer Discretionary,0.005641898564894781,0.004836013625739907
HD,Consumer Discretionary,0.005583320478486165,0.011747774948156648
UNH,Health Care,0.00557174494296154,0.008573308478432956
VLO,Energy,0.005472577718907802,0.0022589390668228512
NTAP,Information Technology,0.005252212613696962,0.0006599334920568301
CAT,Industrials,0.004978630250799904,0.010505907979065086
ISRG,Health Care,0.004812524722582443,0.00573916725920589
CI,Health Care,0.004772649786155094,0.0023923071962655834
AMZN,Consumer Discretionary,0.004749445887416055,0.07543039908066877
STT,Financials,0.004741786772524247,0.0011146603356266666
WY,Real Estate,0.004690393897457848,0.0005822921605046962
ZBRA,Information Technology,0.004676564067092218,0.00036687809080703204
NEE,Utilities,0.004597138554407892,0.006252565386749674
TXT,Industrials,0.004596199184541959,0.0005452786868201452
DD,Materials,0.004537296108058787,0.0006252106093646755
DLTR,Consumer Staples,0.004162054819631832,0.0007786747364725039
MOS,Materials,0.0037786392073467377,0.0002754197648923016
MA,Financials,0.003578150664304013,0.015369316595009489
PNR,Industrials,0.0034534200016468524,0.0004972873517155307
CINF,Financials,0.0033147416802974472,0.0008507632265645456
CB,Financials,0.0032739411233555257,0.004255964925003579
KIM,Real Estate,0.003238547183157716,0.0005197798843422201
FE,Utilities,0.003157808751798768,0.0009687378795957109
CHD,Consumer Staples,0.0027692037678503523,0.0007972588887135585
AMP,Financials,0.0026814622296098935,0.0014240196967046361
ROP,Information Technology,0.0026264384851760842,0.0013041994308563504
CCI,Real Estate,0.0024908026482048013,0.0013001472259618631
NEM,Materials,0.0023139457358443234,0.0041840334939761345
MU,Information Technology,0.002250996363719756,0.013741245842608704
WTW,Financials,0.0022027053656483633,0.0009563403419791101
