asset,sector,weight,benchmark_weight
XOM,Energy,0.039648018224395405,0.027120040937518373
JNJ,Health Care,0.03881120200701629,0.024937000940260027
AAPL,Information Technology,0.03844258938222466,0.162883368184802
MSFT,Information Technology,0.03425635426856596,0.1308336808968409
IBM,Information Technology,0.025863437232826206,0.010451482939030468
KO,Consumer Staples,0.024430600787606196,0.014264552462834802
BRK-B,Financials,0.02333438173547824,0.0030187091891922036
T,Communication Services,0.023112273926791462,0.008739698899571489
COP,Energy,0.021013691074377092,0.00615954026633958
MRK,Health Care,0.020464330812539854,0.012322513593156193
GOOGL,Communication Services,0.019657563071673594,0.1554189186691757
SLB,Energy,0.019179122686881867,0.0030187091891922036
NTRS,Financials,0.019004330450773113,0.0011085454891327472
PM,Consumer Staples,0.018753678887500746,0.011389587166054545
LIN,Materials,0.017771802794414968,0.009668750086878296
RTX,Industrials,0.01665718582761262,0.012119346653841003
WFC,Financials,0.016517513738962288,0.01086620835147683
WMT,Consumer Staples,0.01617176163657455,0.04248594289711893
EMR,Industrials,0.01578106345607155,0.0033488150911520423
CMCSA,Communication Services,0.015616980107876858,0.005004993847243607
MO,Consumer Staples,0.015579975688485096,0.004805777607351658
CAH,Health Care,0.01542783387319972,0.0022058725293052656
PG,Consumer Staples,0.015413779259497646,0.01545240831341212
PFE,Health Care,0.014834591137889189,0.006620724126823218
F,Consumer Discretionary,0.014739642576749267,0.002086426108314912
GE,Industrials,0.012983013469805429,0.01467023752970699
QCOM,Information Technology,0.012884392885117777,0.0062364343329075235
CVX,Energy,0.012853238749149504,0.01634620716011387
XEL,Utilities,0.012775103198975535,0.0022159961084235484
APA,Energy,0.012697561701366756,0.0005032883937468635
BA,Industrials,0.012235635757150984,0.007812522919291886
CSCO,Information Technology,0.012037671612477862,0.013374324901723784
SBAC,Real Estate,0.011582107959133885,0.0008939973689951529
SJM,Consumer Staples,0.011199680108227436,0.0005107355802857258
WM,Industrials,0.011181529794875482,0.004271703271986214
AVB,Real Estate,0.011108697920186237,0.0010842020895962061
ZBH,Health Care,0.01091232803678429,0.0008028047606910083
COST,Consumer Staples,0.01065239792193531,0.019073332235028433
C,Financials,0.01056842967331057,0.008021431842667058
MA,Financials,0.01024783302378206,0.02006513832918584
ROST,Consumer Discretionary,0.010167131741619805,0.002964285166362799
BAC,Financials,0.010053832386937177,0.015288885182982694
A,Health Care,0.009837945099362738,0.0014009199901255963
HRL,Consumer Staples,0.00980769687788085,0.0005784204868070853
UNH,Health Care,0.009763625673302466,0.011192730626317926
MS,Financials,0.00967437098442883,0.010954068747218531
IP,Materials,0.009478852823845727,0.00089846914536169
SYK,Health Care,0.009139824189233552,0.006005173844462699
NTAP,Information Technology,0.009008350347260007,0.0008615644504637642
SRE,Utilities,0.008741343033623892,0.0026047420754882265
UNP,Industrials,0.008699934544013545,0.006490437789167428
SNPS,Information Technology,0.00849388692553858,0.0036066923767464456
HAL,Energy,0.008082556001356177,0.001233523735591844
EBAY,Consumer Discretionary,0.00781068877563719,0.001803748345878775
UPS,Industrials,0.007524072406246137,0.0037411138315154406
WY,Real Estate,0.00750260530673277,0.0007602011889273597
VZ,Communication Services,0.007483356252570732,0.009280595631620338
CTRA,Energy,0.007472905858040633,0.0010141227503335476
YUM,Consumer Discretionary,0.006748705142162804,0.0019121988180281493
CBRE,Real Estate,0.006325404139461471,0.0017527298795496971
FE,Utilities,0.006310192390598919,0.0012647185344026102
TXT,Industrials,0.0059488542284080416,0.0007118789056994022
GEN,Information Technology,0.005433092609395713,0.0006002011239756609
DD,Materials,0.005414917920299381,0.0008162326076261716
HIG,Financials,0.005315055293717576,0.001671687649110369
SBUX,Consumer Discretionary,0.005281674687353887,0.004854453651664618
MU,Information Technology,0.005218593071143446,0.017939639472116898
PH,Industrials,0.005178430100098559,0.0050184256610984876
PEP,Consumer Staples,0.0047809244053613675,0.009383342025831472
LYB,Materials,0.004486532644639128,0.0009306433325737461
AMGN,Health Care,0.00445419666725684,0.008574403525719964
BLK,Financials,0.004242311537720038,0.0063968375250562605
PHM,Consumer Discretionary,0.004170502940137562,0.0010583271945875132
RCL,Consumer Discretionary,0.004086163683567123,0.0032642728033693467
PFG,Financials,0.00402890098299938,0.0008724534687799225
CMG,Consumer Discretionary,0.003976233652609023,0.002013115845173255
EW,Health Care,0.003578169665127716,0.0020409884809515274
ADBE,Information Technology,0.0033123047279747233,0.0051103072792806235
FFIV,Information Technology,0.003115416450194348,0.0006999130009106827
ON,Information Technology,0.0030199131132389277,0.0009849831685513743
NXPI,Information Technology,0.0029759042228819804,0.0021942995258760916
ODFL,Industrials,0.00273572092171241,0.0017458071638743336
D,Utilities,0.0025325925717196284,0.002392135277706456
TMUS,Communication Services,0.0022711123715003787,0.010667446279815616
PEG,Utilities,0.001975020532061545,0.0017908165402158041
JBL,Information Technology,0.0017944054057977355,0.0011085485745147494
MNST,Consumer Staples,0.0015600397599152928,0.003183825434580055
URI,Industrials,0.0012003886248088875,0.002217401632156236
RF,Financials,0.0011242259553929529,0.001020601171000585
BLDR,Industrials,0.0008115445167800614,0.0004433318842954298
RSG,Industrials,0.00037695919440275004,0.0030786957150028306
SMCI,Information Technology,0.0002692901836660388,0.0008072595233796472
COO,Health Care,0.0001,0.0006457487231689832
ITW,Industrials,0.0001,0.0034382343981888288
IVZ,Financials,0.0001,0.0004520359673082426
GNRC,Industrials,0.0001,0.0005153519288375118
PTC,Information Technology,0.0001,0.000833408576617684
VRSK,Industrials,0.0001,0.0012888530976544839
TRMB,Information Technology,0.0001,0.0007176914127765799
TYL,Information Technology,0.0001,0.0006930865932306757
