asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.07167727710641174,0.06212060899155897
MSFT,Information Technology,0.06400139244855121,0.049897469732440074
NVDA,Information Technology,0.044617247016743605,0.0709749107341571
AMZN,Consumer Discretionary,0.04351719325828052,0.03755717952361627
GOOGL,Communication Services,0.04040084159787842,0.059273810359722234
XOM,Energy,0.038937365473687924,0.01034306619324836
AEP,Utilities,0.02809000760636054,0.001170851886590982
APH,Information Technology,0.025741401708648,0.002660993150302631
V,Financials,0.025002350571749217,0.010044724600553586
CSCO,Information Technology,0.024514669437036195,0.005100712350222471
CAT,Industrials,0.023254410038947335,0.005230945041220929
AVGO,Information Technology,0.023084904664713517,0.02571998471490091
XYL,Industrials,0.022554102762231205,0.00049220737468367
HD,Consumer Discretionary,0.022014589236281995,0.005849276924269048
CL,Consumer Staples,0.02170455531012075,0.0012310895424787211
GS,Financials,0.021323320746754092,0.004044389040343842
USB,Financials,0.020870576783889556,0.0013357293523571338
ICE,Financials,0.019969096478311875,0.0015555561562900309
UNH,Health Care,0.019026599850093976,0.004268693915983365
C,Financials,0.018940346310234345,0.003059221064764639
ADI,Information Technology,0.018845001302643553,0.0025310296895980754
META,Communication Services,0.018775496636051315,0.02677808720399449
TSLA,Consumer Discretionary,0.018320274918717173,0.024438680898515343
DHR,Health Care,0.01799397620486264,0.002269455380026972
IBM,Information Technology,0.017822300843944695,0.003985996190236201
LLY,Health Care,0.01780544199533711,0.014550635956791834
MDT,Health Care,0.016325390955100934,0.0019158429058923655
ROL,Industrials,0.016269669456374314,0.0004602754111566119
ORCL,Information Technology,0.015380784953528522,0.007216860846529793
NSC,Industrials,0.015224219782902953,0.0011164488088906868
COR,Health Care,0.015140709221785866,0.0011447185276731366
WMT,Consumer Staples,0.014183392476752195,0.01620332803626224
JNJ,Health Care,0.01363233440271021,0.009510496388277485
BK,Financials,0.01332117223586411,0.0013191243520875846
ABBV,Health Care,0.013195414177921938,0.006679272769287226
MO,Consumer Staples,0.012508393789406401,0.0018328318905339136
BKNG,Consumer Discretionary,0.012321550845386671,0.0024078757919115306
ISRG,Health Care,0.01225668011083862,0.002857560581636861
GDDY,Information Technology,0.011069001023137836,0.0002084278360266588
CRM,Information Technology,0.011061711121499415,0.0031088323273638645
RTX,Industrials,0.010187207711002098,0.004622087590073926
NRG,Utilities,0.009993455121895775,0.0005438495306849661
INTC,Information Technology,0.009992829342502492,0.003560497748342241
TJX,Consumer Discretionary,0.009687511303241246,0.002910976840207956
TPR,Consumer Discretionary,0.00936726655927452,0.00048427916786333337
NFLX,Communication Services,0.00727137906488571,0.006895284222236949
TRV,Financials,0.007054172375388053,0.0011216553623665795
PGR,Financials,0.005382182720339051,0.002025591232840949
GE,Industrials,0.005293702031257034,0.005594948701958717
COST,Consumer Staples,0.005075128908521608,0.0072742050164017425
