asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.0719074595582557,0.06212060899155897
MSFT,Information Technology,0.07009542898091857,0.049897469732440074
GOOGL,Communication Services,0.05562585301020974,0.059273810359722234
HD,Consumer Discretionary,0.04672796675385025,0.005849276924269048
NVDA,Information Technology,0.0393710412374007,0.0709749107341571
CAT,Industrials,0.03919135589902187,0.005230945041220929
BAC,Financials,0.032987277304329626,0.005830889113806558
AMZN,Consumer Discretionary,0.03103145548496635,0.03755717952361627
META,Communication Services,0.029971213694561526,0.02677808720399449
CSCO,Information Technology,0.02880983869644202,0.005100712350222471
TMUS,Communication Services,0.02676569368299254,0.004068360488070489
GS,Financials,0.026175588131529537,0.004044389040343842
ABT,Health Care,0.026103851230369013,0.003125305402099788
RTX,Industrials,0.025764515729573164,0.004622087590073926
AVGO,Information Technology,0.024686826307561097,0.02571998471490091
XOM,Energy,0.02367893902595427,0.01034306619324836
LIN,Materials,0.022232012737794668,0.003687476814100598
UNH,Health Care,0.02016136882496643,0.004268693915983365
TSLA,Consumer Discretionary,0.019285410499566863,0.024438680898515343
KO,Consumer Staples,0.019034007771581235,0.005440228157475077
MRK,Health Care,0.01799096178758486,0.004699571584528728
LLY,Health Care,0.017956691069135076,0.014550635956791834
NFLX,Communication Services,0.017298936163738267,0.006895284222236949
IBM,Information Technology,0.017127700809830025,0.003985996190236201
ORCL,Information Technology,0.016847853976777023,0.007216860846529793
CVX,Energy,0.015796379685141037,0.006234131543353004
MCD,Consumer Discretionary,0.015727628415059293,0.0038430913860537006
T,Communication Services,0.015681833777054826,0.0033331544165286727
AXP,Financials,0.014198456498964443,0.003403785007268255
GE,Industrials,0.013626726726280566,0.005594948701958717
MS,Financials,0.013582074161901572,0.004177672828698975
V,Financials,0.01260328966953907,0.010044724600553586
PG,Consumer Staples,0.011723327497458533,0.005893253715912261
PEP,Consumer Staples,0.011192226668787615,0.0035786276248867964
LRCX,Information Technology,0.011077370313553235,0.004110006998728314
VZ,Communication Services,0.010643117545651453,0.0035394421104219874
JPM,Financials,0.008671743152348393,0.012816654080010762
PM,Consumer Staples,0.00854654891822324,0.004343771244434329
INTC,Information Technology,0.00843601324221352,0.003560497748342241
MU,Information Technology,0.008319985359216233,0.006841836226228611
AMAT,Information Technology,0.007671936481900237,0.004230705010487161
COST,Consumer Staples,0.00751062756264448,0.0072742050164017425
ABBV,Health Care,0.007331990140802338,0.006679272769287226
AMGN,Health Care,0.0073053232073317645,0.0032701139145942196
MA,Financials,0.006949562816509717,0.007652460938152422
WMT,Consumer Staples,0.006250325458485534,0.01620332803626224
AMD,Information Technology,0.004765239999596622,0.00515065362837676
JNJ,Health Care,0.004532742537214692,0.009510496388277485
WFC,Financials,0.0009260807519937457,0.004144164550042057
GOOG,Communication Services,0.0001002010432173911,0.05923806217108767
