asset,sector,weight,benchmark_weight
COP,Energy,0.06135880991647188,0.009379733035991279
AAPL,Information Technology,0.04817161133462724,0.2480383995418611
ABT,Health Care,0.04656514606536029,0.01247888201034376
CMCSA,Communication Services,0.03444542566552724,0.007621592538402575
CL,Consumer Staples,0.03304947274986303,0.004915558375331389
AEP,Utilities,0.02929830896436031,0.0046750383289072064
CAG,Consumer Staples,0.029140276696879276,0.0005963855097176874
COST,Consumer Staples,0.02776544225994324,0.02904482424589292
APA,Energy,0.026846206216520285,0.000766406350041415
ADP,Industrials,0.024233160916024343,0.005998114979684808
BEN,Financials,0.02097858088544035,0.0008967682280903951
BAC,Financials,0.020568806971022306,0.023281877418348595
BRK-B,Financials,0.020107704884785388,0.0033542971917432263
AMAT,Information Technology,0.01896984171656903,0.016892579077541863
BK,Financials,0.01896347021882253,0.005267068343340911
CSX,Industrials,0.018249269344513572,0.004869443593252672
BXP,Real Estate,0.018079300922177705,0.0006143984168754127
APD,Materials,0.01792997273567309,0.003972315332542911
APH,Information Technology,0.017665142060578273,0.010624951894509037
AEE,Utilities,0.017404128596706803,0.0020206096467205946
AMGN,Health Care,0.017046920317920388,0.013057080973010676
DIS,Communication Services,0.016823513486065644,0.011803037690828994
BKR,Energy,0.015188451497914165,0.003874251682763685
BMY,Health Care,0.014584420499748302,0.008047800817788496
BA,Industrials,0.014277922519318314,0.01189689102626303
ADI,Information Technology,0.014166019258385372,0.010106027026974983
CB,Financials,0.01411188287991346,0.00846111933874357
ACN,Information Technology,0.013733644076554401,0.008739378643313771
CI,Health Care,0.013404947895973001,0.004756053454204891
AMZN,Consumer Discretionary,0.013390916566357196,0.14996026039619084
AWK,Utilities,0.013089161423289086,0.001759232945559026
CAH,Health Care,0.013083960814612177,0.003359097358187407
AME,Industrials,0.012411754399949727,0.0033494970252990457
AXP,Financials,0.012283658583946627,0.013590809866370119
BBY,Consumer Discretionary,0.012189167438423971,0.0009182847412694275
C,Financials,0.01202615297600132,0.012215017030049988
AMP,Financials,0.011562089168832371,0.0028310385087417546
BDX,Health Care,0.011463031628085568,0.003968661041728451
CMI,Industrials,0.011253859231528787,0.004883448620513382
CCL,Consumer Discretionary,0.011152135205063394,0.0023415208692945068
CHRW,Industrials,0.011121635556976888,0.0013967450701868936
AFL,Financials,0.010866398806965355,0.0037667761735478466
BAX,Health Care,0.009550131987321988,0.0005965652575466699
CLX,Consumer Staples,0.009295087936751587,0.0009167586969678042
BF-B,Consumer Staples,0.009212414936213938,0.0033542971917432263
CHD,Consumer Staples,0.009135049597652396,0.0015849995759243298
CME,Financials,0.009029224407033406,0.007472454194083656
CAT,Industrials,0.008904527767084272,0.020886389511927943
ADM,Consumer Staples,0.0077663413576368676,0.0021271493664548518
BALL,Materials,0.0069988366838021,0.0010983875688582076
ADSK,Information Technology,0.006658571814065676,0.0036267100605794126
BSX,Health Care,0.006602583687560061,0.006939808351870018
AZO,Consumer Discretionary,0.006312508178430545,0.0039698144348177845
CTAS,Industrials,0.005890931531702332,0.005363326728889997
CNC,Health Care,0.005705820095416869,0.0014070200950756031
BR,Industrials,0.005203578094637573,0.0015066307306510912
CF,Materials,0.005162876417117713,0.0011836973114410377
DRI,Consumer Discretionary,0.005091089116902383,0.0015490490704453685
CRM,Information Technology,0.004853205322252513,0.012413107460490472
BKNG,Consumer Discretionary,0.004050593610163915,0.009614291736941633
AMT,Real Estate,0.003925723222147613,0.005787002698308832
ALL,Financials,0.0036976241167704514,0.0036119471123012
AMD,Information Technology,0.003542755831715828,0.02056579778138762
CPRT,Industrials,0.0033928532825488887,0.0023946295736211624
AES,Utilities,0.003180143434002123,0.0006604855454419778
DAL,Industrials,0.0026366334206457567,0.0025262645871518977
ADBE,Information Technology,0.0025736646680013754,0.007781963578268874
BIIB,Health Care,0.00178795069082911,0.001778373203178137
AIG,Financials,0.0013236379677160077,0.0027841389575754866
BLK,Financials,0.001282654718922561,0.009741088728249418
CINF,Financials,0.0012283978315009909,0.001691369481615523
AOS,Industrials,0.0011914071496233886,0.0006436698608479423
BG,Consumer Staples,0.0009153871450488428,0.0014798363567415194
CCI,Real Estate,0.0006166799578034339,0.002584772438365542
AXON,Industrials,0.0006103612678054439,0.003024935002159779
DE,Industrials,0.0006014626370579408,0.010441722407802447
DECK,Consumer Discretionary,0.00043734096908198776,0.0009959151974961254
BX,Financials,0.0004102257933404688,0.00889814953820511
A,Health Care,9.999999999999998e-05,0.0021333175763084133
ALGN,Health Care,9.999999999999998e-05,0.0008183221274955884
AKAM,Information Technology,9.999999999999998e-05,0.0009486540699464633
BLDR,Industrials,9.999999999999998e-05,0.0006751047223050744
AVGO,Information Technology,9.999999999999998e-05,0.10269609310803784
ATO,Utilities,9.999999999999998e-05,0.0020065800534757885
AVY,Materials,9.999999999999998e-05,0.000905227786482346
AON,Financials,9.999999999999998e-05,0.00479849971599202
BRO,Financials,9.999999999999998e-05,0.0016448656710017872
ALB,Materials,9.999999999999998e-05,0.0012536150554643914
CMS,Utilities,9.999999999999998e-05,0.001549757456773629
ACGL,Financials,9.999999999999998e-05,0.0023105902817130825
AJG,Financials,9.999999999999998e-05,0.0038444801263663054
AIZ,Financials,9.999999999999998e-05,0.0007317397192722288
CDNS,Information Technology,9.999999999999998e-05,0.005369513598152243
EA,Communication Services,9.999999999999998e-05,0.00324787144206633
AVB,Real Estate,9.999999999999998e-05,0.0016510203225799738
CBRE,Real Estate,9.999999999999998e-05,0.002669052825942668
DHI,Consumer Discretionary,9.999999999999998e-05,0.00280982611707621
CMG,Consumer Discretionary,9.999999999999998e-05,0.0030655679452957535
DPZ,Consumer Discretionary,9.999999999999998e-05,0.0009002478722091828
ARE,Real Estate,9.999999999999998e-05,0.000576258652644426
