asset,sector,weight,benchmark_weight
MSFT,Information Technology,0.07212756255104638,0.049897469732440074
AAPL,Information Technology,0.07114554608575784,0.06212060899155897
AMZN,Consumer Discretionary,0.04023697835467095,0.03755717952361627
GOOGL,Communication Services,0.039971142316790956,0.059273810359722234
NVDA,Information Technology,0.03963038865777994,0.0709749107341571
ETN,Industrials,0.025189482290147152,0.0022223960225511725
BAC,Financials,0.022720693238698016,0.005830889113806558
AEP,Utilities,0.02264555229704482,0.001170851886590982
V,Financials,0.02255973780345232,0.010044724600553586
CSCO,Information Technology,0.022468199349456913,0.005100712350222471
AVGO,Information Technology,0.0221000306880147,0.02571998471490091
META,Communication Services,0.021897455249233932,0.02677808720399449
HD,Consumer Discretionary,0.02091796805492014,0.005849276924269048
XOM,Energy,0.02061460241506081,0.01034306619324836
HON,Industrials,0.020482859961512032,0.0026028509721569455
GS,Financials,0.020347834321136238,0.004044389040343842
TJX,Consumer Discretionary,0.0193837628517822,0.002910976840207956
TMO,Health Care,0.019118448032585098,0.0030611745309230957
UNH,Health Care,0.019076852273730315,0.004268693915983365
TSLA,Consumer Discretionary,0.01855720752422265,0.024438680898515343
CAT,Industrials,0.01810771170497608,0.005230945041220929
LLY,Health Care,0.0161535049673934,0.014550635956791834
CVX,Energy,0.015753226386287664,0.006234131543353004
ABT,Health Care,0.01511350809775887,0.003125305402099788
MCD,Consumer Discretionary,0.014957284753958758,0.0038430913860537006
ORCL,Information Technology,0.014721477614410047,0.007216860846529793
IBM,Information Technology,0.013407754254316534,0.003985996190236201
WELL,Real Estate,0.013180737850754503,0.0023400138891294256
PG,Consumer Staples,0.012509696082751586,0.005893253715912261
BLK,Financials,0.01228605604606618,0.002439631787486755
RTX,Industrials,0.012102750752736726,0.004622087590073926
LIN,Materials,0.011904705984437653,0.003687476814100598
TMUS,Communication Services,0.011794836634284513,0.004068360488070489
UNP,Industrials,0.011677881725879191,0.002475329142429462
COST,Consumer Staples,0.01167219175419118,0.0072742050164017425
C,Financials,0.011297664238315977,0.003059221064764639
BKNG,Consumer Discretionary,0.011248794048899552,0.0024078757919115306
NFLX,Communication Services,0.011221124690792858,0.006895284222236949
ABBV,Health Care,0.009857308457438931,0.006679272769287226
JPM,Financials,0.009474215701294525,0.012816654080010762
MU,Information Technology,0.008552444513209018,0.006841836226228611
MRK,Health Care,0.008479597132618833,0.004699571584528728
SCHW,Financials,0.008423902816191025,0.002777894234929585
PM,Consumer Staples,0.008259089804678156,0.004343771244434329
FCX,Materials,0.008218364260814178,0.0014004948377980251
BA,Industrials,0.007834917472632787,0.0029795471871400508
KO,Consumer Staples,0.007604565298026635,0.005440228157475077
AMAT,Information Technology,0.007468754017105589,0.004230705010487161
GE,Industrials,0.007275029738854288,0.005594948701958717
INTC,Information Technology,0.006971060692181172,0.003560497748342241
EQIX,Real Estate,0.006497531373157812,0.001511668390847898
DUK,Utilities,0.006103945350166422,0.0016915165133462365
AXP,Financials,0.006069370210557743,0.003403785007268255
WMT,Consumer Staples,0.005589544355973697,0.01620332803626224
COP,Energy,0.0051167841441748345,0.0023491311403808883
LOW,Consumer Discretionary,0.0050781617075522836,0.00231956287628479
PEP,Consumer Staples,0.0050344810595346805,0.0035786276248867964
JNJ,Health Care,0.005003452197670659,0.009510496388277485
LRCX,Information Technology,0.004372172323306833,0.004110006998728314
DE,Industrials,0.004293865398671785,0.002615103774623511
PLD,Real Estate,0.0038694324497280017,0.0020530439815757175
VZ,Communication Services,0.0037525431016700627,0.0035394421104219874
AMD,Information Technology,0.0035760527170891837,0.00515065362837676
MS,Financials,0.0033241749492446387,0.004177672828698975
NOC,Industrials,0.00308242378691303,0.0017715417889518272
NEE,Utilities,0.003026590193950662,0.0031131841217248496
MA,Financials,0.0030115743379270244,0.007652460938152422
AMGN,Health Care,0.0025438230307731524,0.0032701139145942196
NEM,Materials,0.000985180724823841,0.002083251566759335
AMT,Real Estate,0.00044510111986163325,0.001449340636444756
WFC,Financials,0.0001004783360146608,0.004144164550042057
PH,Industrials,0.0001004713168902633,0.0019139318011437885
GOOG,Communication Services,0.00010022333479561333,0.05923806217108767
SO,Utilities,0.00010009113262794453,0.0017912959229837739
LMT,Industrials,0.00010006953662389967,0.002551818248915087
