asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.06502350992444064,0.06212060899155897
MSFT,Information Technology,0.06319595240139002,0.049897469732440074
GOOGL,Communication Services,0.05442510195132671,0.059273810359722234
NVDA,Information Technology,0.03858418134514314,0.0709749107341571
AMZN,Consumer Discretionary,0.029512850215720133,0.03755717952361627
ETN,Industrials,0.02485793439761061,0.0022223960225511725
META,Communication Services,0.02407487443814727,0.02677808720399449
AVGO,Information Technology,0.022621948118566767,0.02571998471490091
TMUS,Communication Services,0.022276250016513684,0.004068360488070489
CSCO,Information Technology,0.02106282612735058,0.005100712350222471
DIS,Communication Services,0.02047360332167056,0.0029560418494027486
BAC,Financials,0.018411594783559273,0.005830889113806558
CAT,Industrials,0.018162356542103186,0.005230945041220929
UNH,Health Care,0.017527007630898216,0.004268693915983365
TSLA,Consumer Discretionary,0.017161432276749336,0.024438680898515343
ISRG,Health Care,0.01707579490053509,0.002857560581636861
TMO,Health Care,0.016867412221459717,0.0030611745309230957
GS,Financials,0.01682488852989668,0.004044389040343842
HD,Consumer Discretionary,0.016381241000734126,0.005849276924269048
AEP,Utilities,0.016136520660183742,0.001170851886590982
LLY,Health Care,0.015470593305433086,0.014550635956791834
CB,Financials,0.013938918860572165,0.0021190665922850415
V,Financials,0.013898825536346634,0.010044724600553586
CVX,Energy,0.01360879781533457,0.006234131543353004
ORCL,Information Technology,0.013336397819869032,0.007216860846529793
NFLX,Communication Services,0.013184425285816275,0.006895284222236949
XOM,Energy,0.01286431368515385,0.01034306619324836
CRM,Information Technology,0.012733994122690424,0.0031088323273638645
SHW,Materials,0.012635721498218065,0.0013417851512406169
IBM,Information Technology,0.012284603451889947,0.003985996190236201
JPM,Financials,0.011900574173398572,0.012816654080010762
SPG,Real Estate,0.011666308151207715,0.0010393137245245615
TJX,Consumer Discretionary,0.011553934453041422,0.002910976840207956
T,Communication Services,0.011502941711098096,0.0033331544165286727
PG,Consumer Staples,0.011241186982302072,0.005893253715912261
COST,Consumer Staples,0.01104257499369255,0.0072742050164017425
ABBV,Health Care,0.010811248886937339,0.006679272769287226
HON,Industrials,0.01019432704398545,0.0026028509721569455
VZ,Communication Services,0.010049496539383787,0.0035394421104219874
MAR,Consumer Discretionary,0.009934423975922224,0.0014085339575478804
WMB,Energy,0.009384266341570812,0.0014887569197329104
PFE,Health Care,0.009297350170849237,0.0025250178658924676
MCD,Consumer Discretionary,0.008753489653693032,0.0038430913860537006
MU,Information Technology,0.008405229755393769,0.006841836226228611
KO,Consumer Staples,0.007857026007623419,0.005440228157475077
SPGI,Financials,0.007799781122262149,0.0022485884184815165
KLAC,Information Technology,0.0077803738820703995,0.0029001264021294116
C,Financials,0.0073309361082785135,0.003059221064764639
SCHW,Financials,0.00727451610543676,0.002777894234929585
FCX,Materials,0.006895325716325848,0.0014004948377980251
ABT,Health Care,0.0066400158833198625,0.003125305402099788
BA,Industrials,0.00662371841375175,0.0029795471871400508
PGR,Financials,0.0064529917849756434,0.002025591232840949
WMT,Consumer Staples,0.006268151785558826,0.01620332803626224
NOC,Industrials,0.006124099024970368,0.0017715417889518272
INTC,Information Technology,0.006057798007071492,0.003560497748342241
SRE,Utilities,0.006014121843483827,0.0009933989319995137
BLK,Financials,0.0058082867245731985,0.002439631787486755
PM,Consumer Staples,0.005760235878644076,0.004343771244434329
MO,Consumer Staples,0.00567053542476971,0.0018328318905339136
AMAT,Information Technology,0.005663147719841486,0.004230705010487161
DE,Industrials,0.00496459226922249,0.002615103774623511
RTX,Industrials,0.0049181923662028155,0.004622087590073926
MRK,Health Care,0.004857867758715792,0.004699571584528728
PEP,Consumer Staples,0.004734325024394572,0.0035786276248867964
PLD,Real Estate,0.004599731144893107,0.0020530439815757175
SBUX,Consumer Discretionary,0.003938866183065077,0.0018513960051499037
NEE,Utilities,0.00390744114784002,0.0031131841217248496
UNP,Industrials,0.0036874243932281275,0.002475329142429462
COP,Energy,0.0036179196868861723,0.0023491311403808883
NKE,Consumer Discretionary,0.0032127958961855494,0.0013854636647660102
MS,Financials,0.003171659425777804,0.004177672828698975
WFC,Financials,0.002935366743520758,0.004144164550042057
AMD,Information Technology,0.002633947023836169,0.00515065362837676
BKNG,Consumer Discretionary,0.002456142814558753,0.0024078757919115306
DLR,Real Estate,0.0022692104803836697,0.0010117576273977532
GILD,Health Care,0.0022645380190954465,0.002933801167851191
LRCX,Information Technology,0.0019804391403122467,0.004110006998728314
GE,Industrials,0.0014518022564494531,0.005594948701958717
LIN,Materials,0.001310010151099765,0.003687476814100598
NEM,Materials,0.0012903043285775301,0.002083251566759335
TT,Industrials,0.0009048608488647356,0.0015402308740408504
AMGN,Health Care,0.00036054458284078396,0.0032701139145942196
WM,Industrials,0.00032445703349278185,0.0016291461285718822
EQIX,Real Estate,0.00026100123393364347,0.001511668390847898
AXP,Financials,0.00014527966049599037,0.003403785007268255
JNJ,Health Care,0.0001133548668850056,0.009510496388277485
LOW,Consumer Discretionary,0.00010662587105027176,0.00231956287628479
AMT,Real Estate,0.00010567245661992929,0.001449340636444756
WELL,Real Estate,0.00010179362994334563,0.0023400138891294256
ECL,Materials,0.00010056949491155594,0.0013144021979716507
ADP,Industrials,0.00010030789386094982,0.0015022131896820607
D,Utilities,0.00010016441939045413,0.0009123147556275941
GOOG,Communication Services,0.00010016286123265933,0.05923806217108767
MA,Financials,0.00010010074954338155,0.007652460938152422
DUK,Utilities,0.00010009594193932672,0.0016915165133462365
LMT,Industrials,0.00010007177267785675,0.002551818248915087
SO,Utilities,0.00010002955974905773,0.0017912959229837739
BX,Financials,0.00010002631763283068,0.0022285197341711293
PH,Industrials,0.00010001809993319253,0.0019139318011437885
