asset,sector,weight,benchmark_weight
KLAC,Information Technology,0.053047687345387146,0.017620549344619946
SW,Materials,0.049813885322642186,0.002240602322816494
AVGO,Information Technology,0.04671118778140462,0.15626914036540646
BIIB,Health Care,0.04634723606700957,0.002706089816066924
KEY,Financials,0.043898337246236,0.00215842859704813
IVZ,Financials,0.042575730983674,0.00104745282433647
NRG,Utilities,0.04043809082414238,0.003304313730755529
TKO,Communication Services,0.03711403676981201,0.0015954505764668703
CNC,Health Care,0.03662034087859218,0.002141014463938822
PCG,Utilities,0.0365213494281035,0.003985544380031394
CTRA,Energy,0.033456569311561525,0.0023499142012662
REGN,Health Care,0.03264825199690927,0.008012395212078974
NVDA,Information Technology,0.03178960301959015,0.43122841676933404
MTCH,Communication Services,0.031732334233756446,0.0007174407439416694
FTNT,Information Technology,0.028247032766045312,0.006205970036323484
NFLX,Communication Services,0.026352498070243424,0.04189427598531408
VRTX,Health Care,0.0252868487898732,0.011571405168187917
BBY,Consumer Discretionary,0.02456917297077773,0.0013973225542073876
LEN,Consumer Discretionary,0.023961662300874303,0.0024922857852788076
MOH,Health Care,0.02284659555195768,0.0007420913092280824
ULTA,Consumer Discretionary,0.022069809163251443,0.0028905683821499736
PODD,Health Care,0.020555542039582528,0.0016641256986857638
KMX,Consumer Discretionary,0.019300173161950894,0.0006179327542273591
WBD,Communication Services,0.01912849294959539,0.006916454656168415
STX,Information Technology,0.015789288698239062,0.00788312155805079
WMB,Energy,0.01571638590058386,0.009045369452530354
LULU,Consumer Discretionary,0.015550391119827695,0.0020123260404810482
LVS,Consumer Discretionary,0.014218306259141134,0.0036146834611580567
BKR,Energy,0.012095352577455313,0.005895316576335511
STLD,Materials,0.011738578672626591,0.0026445715632652136
CF,Materials,0.01169752777185031,0.0018011918050001854
LYV,Communication Services,0.011407171050156761,0.0036564568720168123
VLO,Energy,0.010978023116820845,0.006833663629602919
TPL,Energy,0.00969206650449794,0.0036102528674155678
AXON,Industrials,0.00966776876932802,0.004602940366499103
OXY,Energy,0.008635232543888195,0.005330720439187578
INCY,Health Care,0.007905343664196771,0.0019043939988561693
ALB,Materials,0.007883938329452958,0.0019075832501287131
DXCM,Health Care,0.007651670642811455,0.0026491236970389046
EXPE,Consumer Discretionary,0.0074181805915601055,0.003050784289701658
EOG,Energy,0.005022049427555679,0.007111797879696162
OKE,Energy,0.0047179225981408045,0.005460513344912095
DAL,Industrials,0.004688104498712211,0.0038441306131722455
JBL,Information Technology,0.003863007549769926,0.002568716693505616
AMAT,Information Technology,0.002528068654420334,0.02570486112090964
EQT,Energy,0.0015925757744133498,0.0038579718779021225
SMCI,Information Technology,0.0009943719764050414,0.0018705729828793329
PHM,Consumer Discretionary,0.0008162043351728778,0.002452344258453369
APA,Energy,9.999999999999996e-05,0.0011662143891449253
AMD,Information Technology,9.999999999999996e-05,0.03129427267350143
BLDR,Industrials,9.999999999999996e-05,0.0010272838178980665
CCL,Consumer Discretionary,9.999999999999996e-05,0.003563012402111263
MU,Information Technology,9.999999999999996e-05,0.04156953736345798
UAL,Industrials,9.999999999999996e-05,0.0029729267670581807
FCX,Materials,9.999999999999996e-05,0.008509107871362508
FSLR,Information Technology,9.999999999999996e-05,0.002025166591575865
PSKY,Communication Services,9.999999999999996e-05,0.0013192676056140663
URI,Industrials,9.999999999999996e-05,0.005138138931999087
DVN,Energy,9.999999999999996e-05,0.0027517819226543978
MOS,Materials,9.999999999999996e-05,0.0008331902608003845
SWKS,Information Technology,9.999999999999996e-05,0.0008216857308384743
HAL,Energy,9.999999999999996e-05,0.0028583077767586084
MPWR,Information Technology,9.999999999999996e-05,0.005012526186272095
DECK,Consumer Discretionary,9.999999999999996e-05,0.0015154501702984702
WDC,Information Technology,9.999999999999996e-05,0.008363338273200233
ALGN,Health Care,9.999999999999996e-05,0.0012452128560645052
RCL,Consumer Discretionary,9.999999999999996e-05,0.0075639374177551245
MGM,Consumer Discretionary,9.999999999999996e-05,0.0009703397599177276
WYNN,Consumer Discretionary,9.999999999999996e-05,0.001053766062948836
ON,Information Technology,9.999999999999996e-05,0.0022823922794610097
LRCX,Information Technology,9.999999999999996e-05,0.024971525749584892
WSM,Consumer Discretionary,9.999999999999996e-05,0.00222091528898922
TPR,Consumer Discretionary,9.999999999999996e-05,0.00294237691420685
TER,Information Technology,9.999999999999996e-05,0.004263675770359197
MHK,Consumer Discretionary,9.999999999999996e-05,0.0006620548495882416
