asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.07865454434765798,0.2875493225737452
AMZN,Consumer Discretionary,0.05742868847812878,0.1738479661598915
BRK-B,Financials,0.056708475168807594,0.0038941799801567884
APH,Information Technology,0.048627864336233034,0.012317438450206913
AEP,Utilities,0.038100616822330055,0.005419741890636917
ADBE,Information Technology,0.033570700267011845,0.009021580365612382
ABT,Health Care,0.031209331881655887,0.014466687719239429
CDNS,Information Technology,0.03120645293520314,0.006224842607237563
CAT,Industrials,0.027742965312225507,0.024213457135102406
CHD,Consumer Staples,0.02709471096712513,0.0018374798223925633
BLK,Financials,0.02645345518434838,0.011292781561695803
AZO,Consumer Discretionary,0.02551042019081322,0.004602180362330055
ADP,Industrials,0.02523649575520487,0.006953576149150711
AVGO,Information Technology,0.023971855608606367,0.11905492076521312
ACN,Information Technology,0.023071120449482445,0.010131505497705067
BK,Financials,0.02292230939290613,0.006106078481697711
AMGN,Health Care,0.02209125362589835,0.015136990060872036
AMAT,Information Technology,0.021567823751952632,0.019583458364682765
AXP,Financials,0.02114296563000984,0.01575573853694274
BMY,Health Care,0.019148970948644047,0.00932976376898836
AEE,Utilities,0.018288255519479966,0.002342479778024946
C,Financials,0.01770754067766033,0.014160790743309282
AME,Industrials,0.01671029203183685,0.0038830503759357095
APD,Materials,0.016164801525036444,0.004605079636990811
AVB,Real Estate,0.01537783763921477,0.0019140172497090916
CAH,Health Care,0.014754251550404924,0.0038941799801567884
BX,Financials,0.013065827883122723,0.010315567575813771
BA,Industrials,0.01257035270300645,0.013791989311551154
BAC,Financials,0.012554159373203347,0.02699053087044799
BR,Industrials,0.012213752012979395,0.0017466273237035314
BKR,Energy,0.01179721514368671,0.004491395078006361
BIIB,Health Care,0.011615953692145027,0.002061656625755124
APA,Energy,0.01083464873354556,0.000888489956303852
CAG,Consumer Staples,0.010711584369411374,0.0006913858887529896
AIZ,Financials,0.010459948545824561,0.0008483011540377283
BRO,Financials,0.010344449699153152,0.001906882201687278
AMD,Information Technology,0.009824579397445809,0.02384179720216506
BAX,Health Care,0.008953349192694538,0.0006915942692559823
ADI,Information Technology,0.008830456019049521,0.01171585218613773
BF-B,Consumer Staples,0.008656993271016518,0.0038941799801567884
AON,Financials,0.008058015736523995,0.00556286988326155
BSX,Health Care,0.007840627742276016,0.00804527522374639
CB,Financials,0.007532674022983208,0.009808921274146168
CCI,Real Estate,0.00719349051958262,0.0029965100767950334
AES,Utilities,0.006842951303033917,0.0007656966482302206
BALL,Materials,0.006735124508489064,0.0012733536498057293
BDX,Health Care,0.005653663592002503,0.004600843241133854
CCL,Consumer Discretionary,0.004640785762703466,0.0027145100960236203
BG,Consumer Staples,0.00447709859200672,0.0017155647782238154
AXON,Industrials,0.004185253396625701,0.0035067877083034362
BKNG,Consumer Discretionary,0.004014010897864232,0.011145786624531692
BBY,Consumer Discretionary,0.0035265100304701686,0.0010645615992102347
AMP,Financials,0.003281741082360729,0.0032820047495568895
ATO,Utilities,0.0026437758714386475,0.0023262153607372174
ALL,Financials,0.002139339174781207,0.004187307075165674
CF,Materials,0.002131327679495978,0.0013722526861401955
AJG,Financials,0.0015345341419933706,0.004456881104001349
AKAM,Information Technology,0.0014187760545911678,0.0010997685667774773
ADM,Consumer Staples,0.001041740284670623,0.002465990590436925
ALB,Materials,0.0007112895719435468,0.0014533078774611136
ADSK,Information Technology,9.999999999999999e-05,0.004204421666230736
A,Health Care,9.999999999999999e-05,0.0024731413564802493
ACGL,Financials,9.999999999999999e-05,0.0026786524646154426
AFL,Financials,9.999999999999999e-05,0.004366799410862222
AIG,Financials,9.999999999999999e-05,0.0032276344012891122
ALGN,Health Care,9.999999999999999e-05,0.0009486755834704934
AMT,Real Estate,9.999999999999999e-05,0.006708835038061522
AVY,Materials,9.999999999999999e-05,0.0010494247554358996
AWK,Utilities,9.999999999999999e-05,0.0020394674481018734
AOS,Industrials,9.999999999999999e-05,0.0007462023331461056
ARE,Real Estate,9.999999999999999e-05,0.0006680529526929093
BLDR,Industrials,9.999999999999999e-05,0.000782644566017683
BEN,Financials,9.999999999999999e-05,0.0010396176437573387
BXP,Real Estate,9.999999999999999e-05,0.0007122681362612571
CBRE,Real Estate,9.999999999999999e-05,0.0030942157884865213
