asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.05583518560347005,0.12383150868460195
MSFT,Information Technology,0.046037293473047955,0.09946584646895382
GOOGL,Communication Services,0.041263942560634856,0.11815668715235482
AMZN,Consumer Discretionary,0.032835934100362084,0.07486665500944775
PEG,Utilities,0.02899563461094463,0.0013614619861044453
COST,Consumer Staples,0.028713705616578544,0.014500433854158223
APH,Information Technology,0.026274135134049924,0.005304436027762404
JPM,Financials,0.024988036688011066,0.025548777399011815
DIS,Communication Services,0.024509750646645543,0.005892587466360846
CVX,Energy,0.02361725233488031,0.012427146592470887
MRK,Health Care,0.022505922945573804,0.009368147687711088
SNPS,Information Technology,0.02188545480779258,0.002741975214234535
ETN,Industrials,0.021878235677821958,0.00443013448893531
WFC,Financials,0.021548924243288834,0.008260996741655958
TROW,Financials,0.0207611136806978,0.0006455979689178863
MMC,Financials,0.020526295728317167,0.0029392532957155026
ORCL,Information Technology,0.02017416624275187,0.014386123721260548
XOM,Energy,0.020137566453721566,0.02061791588856902
UNH,Health Care,0.019255842000702093,0.008509234154494982
PG,Consumer Staples,0.01858995613434744,0.011747639157911573
VZ,Communication Services,0.018581798403147567,0.007055540239390155
CAT,Industrials,0.018517951104434615,0.01042738998886252
MCD,Consumer Discretionary,0.018430493616717707,0.007660836106943078
NVDA,Information Technology,0.018347597401881945,0.14148171464577683
LIN,Materials,0.01811685088863064,0.007350633300964797
JNJ,Health Care,0.017831015512773118,0.018958267396571825
CMCSA,Communication Services,0.017647304280136514,0.0038050289969332476
BLK,Financials,0.017414740633066167,0.004863173265420615
KO,Consumer Staples,0.017323613411591495,0.0108445759187604
DLR,Real Estate,0.016991404679656156,0.0020168423242734367
WMT,Consumer Staples,0.01697655548622864,0.03229978889476929
LLY,Health Care,0.0169321595372292,0.02900530487546869
ADBE,Information Technology,0.01679754202139105,0.003885093163822902
PFE,Health Care,0.016740478134909434,0.005033382268218348
MS,Financials,0.016225045942940407,0.008327792298989825
V,Financials,0.016124486886062144,0.02002320038068047
NDAQ,Financials,0.016111983294116023,0.001652333278291877
ISRG,Health Care,0.015656069405935478,0.005696274452651029
JCI,Industrials,0.01512830043246747,0.002651866836442256
AVGO,Information Technology,0.01508870235893566,0.05127033624258024
INTU,Information Technology,0.013603460097210527,0.00438163983343502
PWR,Industrials,0.0133754012463794,0.0026448430195889494
BK,Financials,0.013133643781772097,0.0026295485719368874
BA,Industrials,0.012541073818372737,0.005939443115096466
KLAC,Information Technology,0.011791485405968073,0.0057811253556855876
QCOM,Information Technology,0.011744378135584953,0.0047412273018580964
PM,Consumer Staples,0.011454689978998827,0.00865889364755236
GE,Industrials,0.01121559481809131,0.011152996566254623
INTC,Information Technology,0.010431081388206191,0.007097512645203756
BRK-B,Financials,0.009390749213524176,0.007660836106943078
