asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.05077456588664952,0.08542450439484087
MSFT,Information Technology,0.047672423967206536,0.06861598254823059
GOOGL,Communication Services,0.04116599803074828,0.08150975909236632
AMZN,Consumer Discretionary,0.02764131196878052,0.0516463618009433
COST,Consumer Staples,0.023857816256790943,0.010003046790430212
JPM,Financials,0.023777768287595404,0.017624687532181233
ORCL,Information Technology,0.018500679395848083,0.00992419055623086
SNPS,Information Technology,0.016711587012385835,0.0018915369458633493
APH,Information Technology,0.016115144181087473,0.0036592368418918155
NVDA,Information Technology,0.015475791087152998,0.09760040463797273
LLY,Health Care,0.015305396962627437,0.020009154536904036
DIS,Communication Services,0.015127642525718769,0.004064969968178373
WFC,Financials,0.014806737362541419,0.005698804447749623
ETN,Industrials,0.014597061535989796,0.0030561045984159006
JNJ,Health Care,0.014438774844186068,0.013078259432838503
KO,Consumer Staples,0.014296908654994174,0.007481072734015129
WMT,Consumer Staples,0.013661870106671782,0.022281836728819154
MRK,Health Care,0.013620993940142198,0.006462566610237102
CVX,Energy,0.013156931548902238,0.008572800654538625
VZ,Communication Services,0.013086731292171506,0.004867226722746912
XOM,Energy,0.012937307691644397,0.014223159074331238
UNH,Health Care,0.012855223807602855,0.005870049700184053
BRK-B,Financials,0.01242991552425158,0.0018269534918094626
PG,Consumer Staples,0.012325893843122866,0.008104046082730222
PEG,Utilities,0.012083964500260247,0.0009391972741897941
CMCSA,Communication Services,0.01203682745477438,0.002624878915905829
AVGO,Information Technology,0.011759927392309442,0.03536856742038443
GE,Industrials,0.011631380072298567,0.007693835069201037
HD,Consumer Discretionary,0.011576245851817836,0.008043571858604262
V,Financials,0.01040829287586669,0.013812897759929417
DLR,Real Estate,0.010139280308779836,0.0013913078975110696
NDAQ,Financials,0.010013743507758558,0.0011398532804174563
MMC,Financials,0.009990520055556557,0.0020276281759346844
ADBE,Information Technology,0.009796862256558623,0.0026801107534969748
INTU,Information Technology,0.009692158749874202,0.003022650819519755
LIN,Materials,0.009322696887738045,0.005070795094021263
SRE,Utilities,0.00931872709445828,0.0013660621299439234
QCOM,Information Technology,0.009257435865578695,0.0032707103126401547
PM,Consumer Staples,0.009230814161479403,0.0059732915015495835
MCD,Consumer Discretionary,0.009112405183043418,0.005284786841711879
ISRG,Health Care,0.009010337148296854,0.003929544484950743
BK,Financials,0.008858169887086695,0.0018139800275872916
PFE,Health Care,0.00880926097475956,0.003472251854634783
TROW,Financials,0.008733255647593105,0.00044536230817951775
UPS,Industrials,0.008302949773858178,0.001962034543510316
MS,Financials,0.008119578762921681,0.005744883005958549
BA,Industrials,0.00810960419533058,0.004097293087018295
TMO,Health Care,0.008101365516464402,0.004209542073319787
BLK,Financials,0.007923575705937849,0.003354834083810641
JCI,Industrials,0.00786372362378096,0.0018293761630666708
CAT,Industrials,0.0076242848627044385,0.007193279250106306
INTC,Information Technology,0.0069995171378154876,0.004896181162557689
PWR,Industrials,0.0069510142309116025,0.0018245308205522546
AMGN,Health Care,0.006909704479544934,0.00449686287696958
GILD,Health Care,0.0068755180657634404,0.004034385928037952
HUBB,Industrials,0.006621085774499174,0.0005658916133144236
ACN,Information Technology,0.0066144634821662775,0.003009844809121744
KLAC,Information Technology,0.0065029529694274535,0.003988078426886662
BX,Financials,0.0063715418343620695,0.003064525556270046
MCK,Health Care,0.006226286775114669,0.002561320804456086
IDXX,Health Care,0.006170463997013218,0.0010967184328357766
NEE,Utilities,0.005984730846393799,0.004281062517020234
NRG,Utilities,0.005887764511041998,0.0007478689822638864
EFX,Industrials,0.0058669527208366715,0.0005742290754185875
DD,Materials,0.005784216312842276,0.0004280748044101423
GS,Financials,0.005591695703885525,0.005561599201293155
CTRA,Energy,0.005541448142594971,0.000531858680896675
AEP,Utilities,0.005516013310175927,0.0016100847006408105
LMT,Industrials,0.0055068927011859515,0.0035091061204648275
CVS,Health Care,0.005450122615493661,0.0022378181392883906
CRM,Information Technology,0.005193289043633924,0.004275078192614047
CLX,Consumer Staples,0.0051467124705404455,0.00031573198941286466
FCX,Materials,0.005095958652422306,0.001925875798202264
COP,Energy,0.005068680033744543,0.003230383067442119
GLW,Information Technology,0.00486577007355418,0.0023878417864313492
CSCO,Information Technology,0.004617955539144075,0.00701419112999368
COF,Financials,0.004342329538548522,0.0026354010447705765
ICE,Financials,0.004206461765139256,0.0021391067451942687
MPWR,Information Technology,0.004189530868395375,0.0011344905971265782
C,Financials,0.004068826052194438,0.00420685578480544
CMG,Consumer Discretionary,0.0040104404966861285,0.0010557825840647878
PEP,Consumer Staples,0.0035115810396945976,0.004921112272276346
VMC,Materials,0.003415990467325159,0.0008202344158992212
SMCI,Information Technology,0.0033881989925507966,0.0004233688526411267
MO,Consumer Staples,0.0033233573063695967,0.0025203995651297234
IBM,Information Technology,0.0032898578010214763,0.005481300885458467
TGT,Consumer Staples,0.0031189590089906174,0.0012390394814619148
CPT,Real Estate,0.0030994064644990727,0.00025586516681694484
WM,Industrials,0.0030929798011870248,0.002240303224312196
DECK,Consumer Discretionary,0.0030241024948416753,0.00034299351359521447
DHR,Health Care,0.003008963370646914,0.00312081778063947
WDC,Information Technology,0.0029868302387442655,0.0018928836037844202
AMD,Information Technology,0.00295228785881376,0.00708286735523408
EL,Consumer Staples,0.0029290599476736725,0.0007571310927620842
ZBH,Health Care,0.002894847603808041,0.0004210325435439213
WSM,Consumer Discretionary,0.0027538937055463725,0.0005026622143687601
DOV,Industrials,0.0025485141907488668,0.000645300602323731
CB,Financials,0.002495573804083927,0.002914012215337607
WMB,Energy,0.002462043126655421,0.002047248475137368
WBD,Communication Services,0.002421251073906077,0.0015654088340456337
BAC,Financials,0.0023910512657604067,0.008018286053761654
CSX,Industrials,0.0023318210448704823,0.0016770379360637666
DXCM,Health Care,0.002275492942078606,0.000599579097092161
CSGP,Real Estate,0.002223632079940907,0.0004628783387994786
CPRT,Industrials,0.002038012232459488,0.0008247111935637755
CPB,Consumer Staples,0.001988239890534102,0.00017363937517247236
RCL,Consumer Discretionary,0.0019175469641097224,0.0017119543237895947
ECL,Materials,0.0018659199924039931,0.0018074864068456707
TECH,Health Care,0.0017601969133977833,0.0001903310124005225
NFLX,Communication Services,0.0016943231825712942,0.009481977831643519
AMAT,Information Technology,0.0016274518166829663,0.005817809654936642
DVN,Energy,0.0015691255123073669,0.0006228138468671228
EG,Financials,0.001540760934437542,0.00030463627803308777
LRCX,Information Technology,0.0015073552457348263,0.005651833049051418
FTNT,Information Technology,0.001451817996784553,0.0014046040640227583
KMX,Consumer Discretionary,0.0014016180258495793,0.00013985740388696962
WELL,Real Estate,0.001389720080705611,0.003217845574937735
DAL,Industrials,0.001265537996472371,0.0008700463344638985
TTWO,Communication Services,0.0012071719589443082,0.0008841184659078605
CDNS,Information Technology,0.0011478886818778737,0.0018492622062177995
COR,Health Care,0.0010439699313731724,0.0015741476860176478
STZ,Consumer Staples,0.0008164099595281971,0.0005756371762254419
SCHW,Financials,0.0006968178282186557,0.00381999214322561
DPZ,Consumer Discretionary,0.0005442280052364219,0.0003100456560678647
DG,Consumer Staples,0.0004679953381448273,0.0007270226455231338
MU,Information Technology,0.0003716392014224671,0.009408479380098556
CI,Health Care,0.0003242623257998272,0.0016379863357901402
EBAY,Consumer Discretionary,0.00032190052229863714,0.0009459793852303538
SBUX,Consumer Discretionary,0.00015418965617455566,0.0025459278127812467
COO,Health Care,9.999999999999996e-05,0.00033866419423329863
CME,Financials,9.999999999999996e-05,0.0025735156222656415
CL,Consumer Staples,9.999999999999996e-05,0.0016929198818093712
CMS,Utilities,9.999999999999996e-05,0.0005337369654118958
CMI,Industrials,9.999999999999996e-05,0.0016818612719464048
CINF,Financials,9.999999999999996e-05,0.000582508192209088
CAG,Consumer Staples,9.999999999999996e-05,0.00020539536091991243
CNC,Health Care,9.999999999999996e-05,0.0004845781722403442
CNP,Utilities,9.999999999999996e-05,0.0006427328537334989
CRL,Health Care,9.999999999999996e-05,0.00019387552487989715
GOOG,Communication Services,9.999999999999996e-05,0.0814606003454272
CCI,Real Estate,9.999999999999996e-05,0.0008901964571963633
CHD,Consumer Staples,9.999999999999996e-05,0.0005458743625561813
DUK,Utilities,9.999999999999996e-05,0.0023260712052569532
IT,Information Technology,9.999999999999996e-05,0.00027497989139398045
EIX,Utilities,9.999999999999996e-05,0.0006233384461334779
EA,Communication Services,9.999999999999996e-05,0.001118567966851636
EMN,Materials,9.999999999999996e-05,0.00018110396919266837
ELV,Health Care,9.999999999999996e-05,0.0014430678653122974
CTSH,Information Technology,9.999999999999996e-05,0.0007219335656920502
CTAS,Industrials,9.999999999999996e-05,0.0018471314464585879
DE,Industrials,9.999999999999996e-05,0.003596132547873865
ED,Utilities,9.999999999999996e-05,0.0009157781495250619
DLTR,Consumer Staples,9.999999999999996e-05,0.000533149998611363
DRI,Consumer Discretionary,9.999999999999996e-05,0.0005334929969331299
DVA,Health Care,9.999999999999996e-05,0.00022750853530912102
DHI,Consumer Discretionary,9.999999999999996e-05,0.0009677050163614129
D,Utilities,9.999999999999996e-05,0.001254560074615131
DTE,Utilities,9.999999999999996e-05,0.0007042673721728981
MCHP,Information Technology,9.999999999999996e-05,0.0007904247687888027
LUV,Industrials,9.999999999999996e-05,0.0004851913065904281
ON,Information Technology,9.999999999999996e-05,0.0005165763696346015
VRTX,Health Care,9.999999999999996e-05,0.0026189689332305217
VTR,Real Estate,9.999999999999996e-05,0.0009099818061373818
VLO,Energy,9.999999999999996e-05,0.0015466706494108586
VRSK,Industrials,9.999999999999996e-05,0.0006759415545728055
UAL,Industrials,9.999999999999996e-05,0.0006728658041548913
VRSN,Information Technology,9.999999999999996e-05,0.0005101459948431324
VTRS,Health Care,9.999999999999996e-05,0.00036816764402803275
WEC,Utilities,9.999999999999996e-05,0.0008507569669214398
WAT,Health Care,9.999999999999996e-05,0.0006700030464945428
WAB,Industrials,9.999999999999996e-05,0.0009442836725405351
WTW,Financials,9.999999999999996e-05,0.0006547956779848056
WY,Real Estate,9.999999999999996e-05,0.000398689016123549
WYNN,Consumer Discretionary,9.999999999999996e-05,0.0002385000388148903
YUM,Consumer Discretionary,9.999999999999996e-05,0.0010028564497090045
