asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.05163946780272009,0.08672490152736238
MSFT,Information Technology,0.046699099959907314,0.0696605075072335
GOOGL,Communication Services,0.039944926812363814,0.08275056297817306
AMZN,Consumer Discretionary,0.027912135333833254,0.05243256221576445
COST,Consumer Staples,0.02528286381752599,0.010155320818297323
JPM,Financials,0.023094112338696234,0.017892984003911424
ORCL,Information Technology,0.018962992880862638,0.010075264174197312
SNPS,Information Technology,0.017880174256460265,0.0019203313677670455
APH,Information Technology,0.01707711272297616,0.003714940543424798
DIS,Communication Services,0.016884178814274325,0.004126850049635708
ETN,Industrials,0.016401307691772584,0.003102626959705782
NVDA,Information Technology,0.016068824203714433,0.09908615263526312
VZ,Communication Services,0.014852103779321328,0.004941319370031553
LLY,Health Care,0.01470835008790707,0.020313749188851954
XOM,Energy,0.014683881745084906,0.01443967487862749
PG,Consumer Staples,0.014480287235893742,0.0082274120696032
WFC,Financials,0.014159867649884287,0.005785556007096124
WMT,Consumer Staples,0.013800958611158399,0.02262102788707911
BRK-B,Financials,0.013397968965260866,0.0021716698639072645
CVX,Energy,0.01305812610245084,0.008703302381974037
PEG,Utilities,0.012764557841755387,0.0009534944533292051
KO,Consumer Staples,0.012549998956403303,0.00759495534416798
JNJ,Health Care,0.012448789759185619,0.013277346699253626
MRK,Health Care,0.012121698405042073,0.006560944741292306
AVGO,Information Technology,0.01174332460694865,0.03590697480103808
LIN,Materials,0.011419327563126464,0.0051479866147281445
CMCSA,Communication Services,0.011071865141441104,0.0026648368300856186
GE,Industrials,0.010911998234658197,0.0078109565103256845
UNH,Health Care,0.010672400667495412,0.005959408085719376
NDAQ,Financials,0.010415313229981436,0.001157204998731196
PFE,Health Care,0.010310750111714789,0.0035251091276988374
TROW,Financials,0.009861456202800883,0.0004521419538162419
PM,Consumer Staples,0.00949351464220121,0.0060642215127373255
MCD,Consumer Discretionary,0.009342048381067605,0.00536523590844787
QCOM,Information Technology,0.009244711697887374,0.0033204995662272398
DLR,Real Estate,0.008982803938083128,0.0014124874503009268
V,Financials,0.008809746884878787,0.014023168252758988
JCI,Industrials,0.008789615623686258,0.0018572243259984628
PWR,Industrials,0.008529356750332022,0.0018523052239749166
INTU,Information Technology,0.008457199625013633,0.003068663921804194
BLK,Financials,0.008228010022428385,0.0034059039337743977
MS,Financials,0.008183945500078858,0.005832336008355731
RSG,Industrials,0.008007115027892725,0.0016392071559657598
HD,Consumer Discretionary,0.007935201860365833,0.008166017260591182
UPS,Industrials,0.007701759607678082,0.001991902133756974
ISRG,Health Care,0.007693526724029302,0.003989363016138549
MCK,Health Care,0.007651615219500499,0.0026003111884586364
ADBE,Information Technology,0.007521808657516141,0.002720909448945983
TMO,Health Care,0.007521787214768779,0.004273622941920113
BA,Industrials,0.007393393889248162,0.004159665215709047
MDT,Health Care,0.00735298870519082,0.002674656447395551
BX,Financials,0.007185372421096372,0.0031111761078201363
HUBB,Industrials,0.007118081872340737,0.0005745060482062049
GS,Financials,0.007084714610915847,0.005646262117453221
INTC,Information Technology,0.006961252530383129,0.004970714576467438
NRG,Utilities,0.00671992169581024,0.0007592536158292463
CAT,Industrials,0.006700901101798116,0.007302780847762981
GILD,Health Care,0.006688473282089301,0.004095800435847757
SRE,Utilities,0.006588082237982506,0.001386857372353695
IDXX,Health Care,0.00650789560715013,0.0011134135195131451
CRM,Information Technology,0.006498927348044487,0.004340156702139662
KLAC,Information Technology,0.006425860092640443,0.004048788006501239
AMGN,Health Care,0.0063844305942827966,0.004565317562565706
TFC,Financials,0.006353796277941511,0.0013309403000765338
SYK,Health Care,0.0061451259556285324,0.0031973682526311694
CVS,Health Care,0.005932885768098475,0.0022718839183297848
PLD,Real Estate,0.005810781581088675,0.002866199157153977
FCX,Materials,0.005799245435406636,0.00195519295237619
TRV,Financials,0.005729941766166176,0.001565912704785259
COP,Energy,0.005668318553878821,0.003279558428863373
BIIB,Health Care,0.005662099409178784,0.0006217958235877703
HST,Real Estate,0.005528176554600707,0.0003070409760883502
ACN,Information Technology,0.005509068449225509,0.003055662968522772
C,Financials,0.0053033889348063435,0.0042708957606677166
NEE,Utilities,0.005238237962281093,0.004346232124508348
LOW,Consumer Discretionary,0.005089337311397065,0.003238278975334229
IBM,Information Technology,0.004844930358463794,0.0055647414392484195
TYL,Information Technology,0.004774567953029824,0.0003690239661526955
MPWR,Information Technology,0.004688407816264929,0.0011517606805742631
NKE,Consumer Discretionary,0.004603334536458095,0.001934208338377648
CSCO,Information Technology,0.004489734754840829,0.007120966511332065
TER,Information Technology,0.004165215417125886,0.000979692459356328
ICE,Financials,0.004160278853575899,0.0021716698639072645
ETR,Utilities,0.004142868868348561,0.0010869589601897672
PEP,Consumer Staples,0.004103250769164867,0.004996025206603782
PGR,Financials,0.004013785404774548,0.0028278731173850867
FIS,Financials,0.00400020555678975,0.0006110905200904375
TGT,Consumer Staples,0.003971638406008438,0.0012579010879785494
VMC,Materials,0.0035791578826860427,0.0008327206514353471
LMT,Industrials,0.0035566729476377993,0.003562524417346884
MO,Consumer Staples,0.0034660892253314617,0.0025587670147335763
AMD,Information Technology,0.003462515895351711,0.0071906881785917965
APA,Energy,0.0032926288758453218,0.0002679686506607598
IRM,Real Estate,0.003266788314506039,0.0007131173915567292
ROST,Consumer Discretionary,0.003135140559649675,0.0015782909084994083
TT,Industrials,0.0030019526354522694,0.0021502746519878224
MCO,Financials,0.002721991608331852,0.0019177904293758896
DHR,Health Care,0.002703182159315957,0.0031683252554772267
NUE,Materials,0.0026771313267232905,0.0008850934770043479
TTWO,Communication Services,0.0024151547678977906,0.0008975771933072241
NFLX,Communication Services,0.0022082620712848096,0.009626319749343266
HUM,Health Care,0.002206845816875421,0.000495139554063774
GWW,Industrials,0.0021409612732413005,0.0012126506437658427
MNST,Consumer Staples,0.0021104231158047995,0.001695181959775009
CCL,Consumer Discretionary,0.0018994749317593651,0.0008186964888860224
LRCX,Information Technology,0.001897947267681779,0.005737869573846528
GRMN,Consumer Discretionary,0.0018718355069695818,0.0010740606094523655
TMUS,Communication Services,0.0015672088823406633,0.005679728007071982
CDNS,Information Technology,0.0014605284236054738,0.0018774130897058784
MU,Information Technology,0.001398913316225214,0.009551702448162464
PFG,Financials,0.0012808565763517946,0.0004645252735767307
FDX,Industrials,0.0011419164895909383,0.001941884848569578
FE,Utilities,0.0011335543785113615,0.0006733811535101255
MSCI,Financials,0.000990113389011182,0.000980261420032728
FAST,Industrials,0.0009797280105567447,0.0012227098234658383
ES,Utilities,0.0007416944596141213,0.0006406051322317149
MDLZ,Consumer Staples,0.0007280914610084239,0.0017270354968813388
ROP,Information Technology,0.0006880087218169655,0.0009065644439585789
FICO,Information Technology,0.0005923398043628719,0.0008024502725219701
MGM,Consumer Discretionary,0.0005026512649293648,0.00022296126558538488
VRSN,Information Technology,0.0004827456368629121,0.0005179118273002347
AMP,Financials,0.00044696690673855265,0.0009898529273866048
PCG,Utilities,0.0003241074900527085,0.0009157844043140741
PRU,Financials,0.0003147283134540191,0.0007745794132142355
OXY,Energy,0.0003116597856829981,0.0012248742396208877
AEE,Utilities,0.00017638516401620482,0.0007064921115470572
RCL,Consumer Discretionary,0.00011073778937390106,0.0017380150016879875
GOOG,Communication Services,9.999999999999998e-05,0.08270065589919487
BLDR,Industrials,9.999999999999998e-05,0.00023604567143920704
ADSK,Information Technology,9.999999999999998e-05,0.0012680539523436246
ADP,Industrials,9.999999999999998e-05,0.0020971991914307247
ADI,Information Technology,9.999999999999998e-05,0.003533502072123119
ALGN,Health Care,9.999999999999998e-05,0.00028612064122248646
CINF,Financials,9.999999999999998e-05,0.000591375577371989
MA,Financials,9.999999999999998e-05,0.010683393676862293
GL,Financials,9.999999999999998e-05,0.0002593947671663969
HPQ,Information Technology,9.999999999999998e-05,0.0004094078534232973
IVZ,Financials,9.999999999999998e-05,0.00024068003497542602
D,Utilities,9.999999999999998e-05,0.0012736579474697965
DHI,Consumer Discretionary,9.999999999999998e-05,0.0009824361621528664
DTE,Utilities,9.999999999999998e-05,0.0007149882686860234
EQIX,Real Estate,9.999999999999998e-05,0.0021103993419659527
PNR,Industrials,9.999999999999998e-05,0.0003456703176136256
ON,Information Technology,9.999999999999998e-05,0.0005244400901742759
MSI,Information Technology,9.999999999999998e-05,0.00175877563611651
SBUX,Consumer Discretionary,9.999999999999998e-05,0.0025846838728930508
SWKS,Information Technology,9.999999999999998e-05,0.0001888040643379712
SPGI,Financials,9.999999999999998e-05,0.003139193455023519
TXT,Industrials,9.999999999999998e-05,0.00037902966204715084
URI,Industrials,9.999999999999998e-05,0.0011806235365736091
