asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.0611613020319764,0.14096397685702972
GOOGL,Communication Services,0.05564989360816007,0.13450402639985717
COST,Consumer Staples,0.04343018150938987,0.016506613251725807
AMZN,Consumer Discretionary,0.034069773026308064,0.08522468583496563
ETN,Industrials,0.03246141417920964,0.005043057152460095
APH,Information Technology,0.029698164675088796,0.0060383209846984
BRK-B,Financials,0.02764112001411448,0.0015610159767563399
CVX,Energy,0.023794839705167787,0.014146480352765096
AEP,Utilities,0.022936491331103096,0.0026568950453600302
CDNS,Information Technology,0.020888741737796927,0.003051575852696537
DIS,Communication Services,0.02012345245769627,0.006707844974672439
AMAT,Information Technology,0.019528603477651736,0.009600308381849063
DLR,Real Estate,0.019232641939531413,0.0022958786317242926
ADBE,Information Technology,0.018553476050971355,0.004422607692097314
AVGO,Information Technology,0.017689670119967967,0.05836374415787038
CMCSA,Communication Services,0.0176539933122391,0.004331466402708226
ABT,Health Care,0.01751781511493703,0.007091937531272556
AMGN,Health Care,0.01704231448447488,0.007420536753581205
GE,Industrials,0.016548467028879733,0.012696047771301545
CSCO,Information Technology,0.016045164847930768,0.011574527509684056
BK,Financials,0.015566987389004151,0.002993354663739462
AEE,Utilities,0.015169836370837823,0.0011483430468972283
BLK,Financials,0.01511403420408461,0.005536008168845971
C,Financials,0.01490947392422535,0.006941979069017463
ACN,Information Technology,0.013865007003387454,0.004966721165337102
BMY,Health Care,0.01349680688682917,0.004573687019123273
HD,Consumer Discretionary,0.012814278346105329,0.0132731689268381
CL,Consumer Staples,0.0120672248103571,0.0027935862283398174
CVS,Health Care,0.011801490076729029,0.003692754750309577
BA,Industrials,0.010407516002687182,0.006761183245797051
BAC,Financials,0.01029308082066391,0.013231443339620529
COP,Energy,0.009826459204602497,0.005330644259327456
CLX,Consumer Staples,0.009309577818340615,0.0005210078438723368
AXP,Financials,0.009258460472935139,0.007723862962387641
CAT,Industrials,0.008824020978601804,0.011870051303445156
CPRT,Industrials,0.008522947738262603,0.001360904232653394
DHR,Health Care,0.00852040166735604,0.005149844163820958
CRM,Information Technology,0.008443990711072867,0.0070545568590039635
GIS,Consumer Staples,0.008218383420950617,0.000880337658139579
BIIB,Health Care,0.008142832161961325,0.0010106764094551283
CME,Financials,0.008028058570645997,0.004246708824220789
BX,Financials,0.0078288012517304,0.005056953068116557
APD,Materials,0.00755635123570277,0.002257526929861119
AMD,Information Technology,0.007482083325652679,0.011687854170388692
CHRW,Industrials,0.007144889106101581,0.0007937913650171196
D,Utilities,0.006706267245651269,0.0020702230416976388
AZO,Consumer Discretionary,0.006654289404321824,0.002256105631829452
BSX,Health Care,0.0063885962625698615,0.003943998129773961
CMG,Consumer Discretionary,0.006302704857793499,0.0017422086648377683
AMP,Financials,0.006148630483591754,0.0016089220361232067
GLW,Information Technology,0.006049348636590331,0.003940317555311281
FIS,Financials,0.005954699136915964,0.000993275845973723
CB,Financials,0.005914217777377131,0.004808582190718104
BAX,Health Care,0.005340907990206364,0.0003390370656875823
CPB,Consumer Staples,0.005299879664669055,0.0002865325006762316
FCX,Materials,0.005010121448393301,0.003178000427049516
ADP,Industrials,0.0049353409146173505,0.003408819532555464
EL,Consumer Staples,0.004781680731797817,0.0012493863510702184
CTRA,Energy,0.004729172799239065,0.0008776511531000134
