asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.07205204357309283,0.11423640639580779
MSFT,Information Technology,0.06488057562114216,0.09175872102689916
AMZN,Consumer Discretionary,0.03533538053194337,0.06906560146123365
JNJ,Health Care,0.03147291103692246,0.01748928331634284
GOOG,Communication Services,0.0281246008584307,0.10893556026142673
MCK,Health Care,0.025758496114025517,0.003425200841382392
UNH,Health Care,0.02204617540484099,0.007849894920248594
V,Financials,0.0216377928371574,0.018471699814770454
EMR,Industrials,0.021047245370050722,0.0023486535547522745
TMO,Health Care,0.02010733390220517,0.005629332735784101
CVX,Energy,0.01989092954838857,0.011464227348578764
AVGO,Information Technology,0.018616144553130074,0.04729764685315023
TSLA,Consumer Discretionary,0.017143260214219143,0.044941399130192294
D,Utilities,0.017001241480687813,0.0016776969974477778
MET,Financials,0.016952324946117977,0.0014287577499927037
ORLY,Consumer Discretionary,0.01663537149648703,0.0024106038449760595
ACN,Information Technology,0.015811864836920434,0.004025002629384988
SBAC,Real Estate,0.01577158136862565,0.0006269949344701866
RJF,Financials,0.01571077675271532,0.0009064129288955999
JPM,Financials,0.01559858671139833,0.023569126701857436
ABT,Health Care,0.014987704710675087,0.00574726590452128
AXP,Financials,0.014611682771016349,0.00625937468557479
KO,Consumer Staples,0.013939512743679052,0.010004282391495648
PFE,Health Care,0.013672188476207402,0.004643369918088892
PG,Consumer Staples,0.01366921769536906,0.010837371645471732
ABBV,Health Care,0.013583619553127453,0.012282817745789126
DD,Materials,0.013471709750531892,0.0005724554994006652
CB,Financials,0.013314533551755716,0.0038968477023293016
PSX,Energy,0.013201505988822833,0.002007748158742485
DIS,Communication Services,0.01203580344087038,0.005435999477681764
VZ,Communication Services,0.012020183013963726,0.0065088406875654274
CRM,Information Technology,0.011611364320029224,0.0057169728199770314
ISRG,Health Care,0.011352541320191369,0.005254897806118837
SPG,Real Estate,0.011305743745190716,0.0019112411635188778
WTW,Financials,0.010983224321451896,0.0008756445905820006
KDP,Consumer Staples,0.010946026272388654,0.0011586971294771484
EQR,Real Estate,0.010716274676676397,0.0007424793128734942
HLT,Consumer Discretionary,0.01027590061048289,0.0020955044751568776
UNP,Industrials,0.010189989752158301,0.00455199507004804
META,Communication Services,0.01012959768188062,0.04924343952831436
NTAP,Information Technology,0.009953693630050213,0.000604248474206974
TDG,Industrials,0.009951548707015876,0.0022069682079079865
STZ,Consumer Staples,0.009772652951003918,0.0007697875787008516
SBUX,Consumer Discretionary,0.009666497693778309,0.003404616114961428
BALL,Materials,0.009523478520211218,0.0005058726750694629
PHM,Consumer Discretionary,0.009471775101515463,0.0007422457973945246
EXPD,Industrials,0.009393810250114541,0.0005941757157042759
PYPL,Financials,0.009336448760739979,0.0013267027682663647
NVDA,Information Technology,0.009333743001732987,0.1305189836055063
MMM,Industrials,0.009221098712434445,0.0024392466792781424
QCOM,Information Technology,0.009203923997680337,0.004373852621383022
DOC,Real Estate,0.008870493734014296,0.0003625724113418214
TJX,Consumer Discretionary,0.008511874401484872,0.005353127387594774
NKE,Consumer Discretionary,0.008244713445016602,0.002547791994060154
RTX,Industrials,0.008152162293737218,0.00849976658162594
HAL,Energy,0.007951000988643583,0.0008651179081591026
AMAT,Information Technology,0.0073059423120708615,0.007780035398308202
MO,Consumer Staples,0.007122293453558833,0.0033704777223075703
AMD,Information Technology,0.006873923302402216,0.009471770651431332
NOC,Industrials,0.0063343069673310074,0.0032577685736686233
GRMN,Consumer Discretionary,0.005827464141511804,0.0014147819382235634
BRO,Financials,0.005779813939319498,0.0007575582797104809
XYL,Industrials,0.005758603074012502,0.0009051424736196276
NFLX,Communication Services,0.005437037303737303,0.012680051007437713
ROP,Information Technology,0.005296163373118715,0.001194151419259518
REGN,Health Care,0.005260768273762231,0.0024250945407560177
SCHW,Financials,0.0052348543208808685,0.005108395746556633
NEM,Materials,0.005179167423461021,0.0038309858268994143
CZR,Consumer Discretionary,0.004629892310524157,0.00016266815316734776
KR,Consumer Staples,0.0044798664792616676,0.0014825803166537918
GNRC,Industrials,0.004286404731183078,0.000361436241377028
WFC,Financials,0.003974147681588024,0.007620892219102883
COST,Consumer Staples,0.002686948786312815,0.013376865648129878
MU,Information Technology,0.0023936706067142475,0.012581763062548447
WMT,Consumer Staples,0.0019668537751045697,0.029797035099359007
