asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.08470252314096698,0.08822900026905098
MSFT,Information Technology,0.05385925500226438,0.07086865280162696
GOOGL,Communication Services,0.04951268983250973,0.08418573344775522
VZ,Communication Services,0.04051254405054375,0.0050270183113488975
JPM,Financials,0.0223581184213005,0.0182033079622136
AMZN,Consumer Discretionary,0.02223863615941218,0.05334191753889916
EA,Communication Services,0.021918312878202,0.001155290676222701
ROP,Information Technology,0.021316206672153365,0.0009222872918996342
DIS,Communication Services,0.01968607377662737,0.004198423379296235
ACN,Information Technology,0.017606428875617655,0.003108658345225846
SLB,Energy,0.01641324913415509,0.0016351435805480629
LLY,Health Care,0.015437109681789582,0.02066605728094347
COST,Consumer Staples,0.015323693955543574,0.010331447916688155
ABBV,Health Care,0.014814264381494665,0.009486474271985698
LIN,Materials,0.014106646100310484,0.005237269854640493
PM,Consumer Staples,0.013652620353522715,0.006169395318483894
GL,Financials,0.013468175948615008,0.00026389353667808654
MCD,Consumer Discretionary,0.012772846609614023,0.005458286974942455
EVRG,Utilities,0.012708816315872331,0.00044757154886997217
CFG,Financials,0.012570203573245321,0.0005811954248421971
NVDA,Information Technology,0.012179318092459156,0.10080463665626188
KO,Consumer Staples,0.011865813701907313,0.0077266771746360135
PFE,Health Care,0.011850116820527844,0.0035862462648982834
GLW,Information Technology,0.011723930383452562,0.0024662348948930666
MAR,Consumer Discretionary,0.01116856555154485,0.0020005203576858983
JNJ,Health Care,0.01104447934793591,0.013507620128356452
NSC,Industrials,0.010939077315900372,0.001585676055966914
TSLA,Consumer Discretionary,0.010895571689968723,0.03470990414571352
SBUX,Consumer Discretionary,0.010718561891653577,0.0026295109028742223
LYV,Communication Services,0.010263258921221903,0.0008547391407883628
AVGO,Information Technology,0.009840828447648668,0.036529721378606064
WAT,Health Care,0.009589352210545245,0.0006919993201974268
AMD,Information Technology,0.008971045633393956,0.007315398669475231
BG,Consumer Staples,0.008540748618134286,0.0005263881824679478
NOC,Industrials,0.008489421017075149,0.002516095117407884
LHX,Industrials,0.00836795679774195,0.0015988737434531432
MPWR,Information Technology,0.00813745449787303,0.0011717360482007293
ROST,Consumer Discretionary,0.008101737925760985,0.0016056637313874634
