asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.07562270299931118,0.10735421151784061
MSFT,Information Technology,0.05864587094572514,0.0862306987458751
GOOGL,Communication Services,0.039153073417670145,0.10243449441538229
AMZN,Consumer Discretionary,0.026176765260679278,0.06490473065290903
VZ,Communication Services,0.023330481130415148,0.006116714294108508
JPM,Financials,0.02007572405729013,0.022149200006127315
LLY,Health Care,0.019152965162668786,0.025145794215198122
MCD,Consumer Discretionary,0.01748243358667723,0.0066414681413838215
NVDA,Information Technology,0.0157690249159526,0.12265584164588439
COST,Consumer Staples,0.014987655708051899,0.012570973733709565
ACN,Information Technology,0.014551292323786337,0.0037825155505829865
DIS,Communication Services,0.013992620025329252,0.005108506614922151
XOM,Energy,0.01340266607428519,0.017874449943075892
LIN,Materials,0.012596913688713005,0.0063725416137159815
ABBV,Health Care,0.012414693742989756,0.011542836963443926
GLW,Information Technology,0.012295742765114734,0.003000835346106745
TSLA,Consumer Discretionary,0.012242612864117703,0.042233895658568395
SLB,Energy,0.012196991753896923,0.0019895901491901167
CL,Consumer Staples,0.011753883586822052,0.002127516926928722
ROST,Consumer Discretionary,0.0115693858025443,0.0019537200163239374
KMI,Energy,0.011427875022015904,0.002119464832299747
JNJ,Health Care,0.01109710580720575,0.016435637986831942
EA,Communication Services,0.011089326212561671,0.0014057205594712678
NOC,Industrials,0.010928816641998119,0.003061503662169031
ABT,Health Care,0.010794538304052692,0.005401020734366283
PFE,Health Care,0.010679950323186705,0.004363629179781222
AVGO,Information Technology,0.010624217231159958,0.044448190771830466
CB,Financials,0.01038084520490875,0.0036620813424329086
D,Utilities,0.010312120808034295,0.001576623810301025
PM,Consumer Staples,0.010088045658783604,0.007506721916127404
CI,Health Care,0.01007458981086072,0.0020584811442741877
ADBE,Information Technology,0.009725021315585839,0.00336813398872385
GL,Financials,0.009477288319366145,0.000321097172906174
ROP,Information Technology,0.009449741228722238,0.0011222095310258323
UNP,Industrials,0.009303718909389504,0.004277759227517493
META,Communication Services,0.009045771877890966,0.0462767587827645
CSX,Industrials,0.00900379395230572,0.0021075578557586063
MAR,Consumer Discretionary,0.00889115345745276,0.002434168867037398
MMM,Industrials,0.008836895736804825,0.00229229378105705
DLR,Real Estate,0.008656226138512116,0.0017484767792795774
OMC,Communication Services,0.00863865012112295,0.0007580157451414733
AMD,Information Technology,0.008627045796950691,0.008901141956786464
NOW,Information Technology,0.008604941208333963,0.003721992254494969
EMR,Industrials,0.008428341696791995,0.0022071584572206644
CNP,Utilities,0.008012211239833625,0.0008077316832913173
TXN,Information Technology,0.007844209970267756,0.004980427948416923
IT,Information Technology,0.007424476340385642,0.0003455712108953723
LHX,Industrials,0.007305540873820083,0.0019454581772610246
TMUS,Communication Services,0.007260201865542684,0.007030768684616267
BG,Consumer Staples,0.006965502880050075,0.0006404922203451325
LULU,Consumer Discretionary,0.00693909860976779,0.0005723730963981439
CBOE,Financials,0.006892130440656214,0.0008945854589622142
FITB,Financials,0.00686855584089686,0.001210134978742155
ETN,Industrials,0.006836531990380803,0.0038406508975754776
EVRG,Utilities,0.006796064354710568,0.0005445906740440431
APD,Materials,0.006718294805947882,0.0017192691986927715
NFLX,Communication Services,0.006638559538621571,0.011916138828745853
IQV,Health Care,0.006609088026998961,0.0008430212133518617
TRV,Financials,0.00641534608947371,0.001938397401061925
HUM,Health Care,0.006385271698488232,0.0006129187290116525
AMCR,Materials,0.0062340163488572966,0.0005673165706126523
NTRS,Financials,0.006191654045743979,0.0007306272472367076
MA,Financials,0.0061418675039497704,0.013224659634261763
BRK-B,Financials,0.006056475415118943,0.001971655082757027
A,Health Care,0.005987714050015292,0.0009233273023239654
RTX,Industrials,0.005681811253936636,0.007987696464247587
BRO,Financials,0.005501686014786053,0.0007119190314456088
KDP,Consumer Staples,0.005468787241829048,0.0010888911919376466
BBY,Consumer Discretionary,0.00538854080723896,0.0003974454541310091
CHTR,Communication Services,0.0052879629904720475,0.0008526210011196844
CPB,Consumer Staples,0.005267503534278362,0.00021821511687010827
MU,Information Technology,0.005180830730379259,0.01182377226051946
TAP,Consumer Staples,0.005085184199366193,0.0002612283549832793
XYL,Industrials,0.005079811682767814,0.0008506119864280755
SBUX,Consumer Discretionary,0.0049956335573144856,0.0031995043443176
WMB,Energy,0.004840611819595002,0.0025728068004190504
IDXX,Health Care,0.004751807422861566,0.0013782619337183682
UNH,Health Care,0.004739866119932942,0.007376976449533308
LEN,Consumer Discretionary,0.004695322990659591,0.0007088897640504122
CFG,Financials,0.004652810587164895,0.0007071799111566834
DGX,Health Care,0.004530950841734934,0.0006286872109733992
KMX,Consumer Discretionary,0.004513110623236218,0.0001757608244330016
ROL,Industrials,0.0042979547015402405,0.0007954285163637435
STX,Information Technology,0.004218036843679508,0.0022422244729218294
EL,Consumer Staples,0.004217340785527061,0.0009514976066284734
PYPL,Financials,0.0040288512503172755,0.0012467752978178306
GPN,Financials,0.004012432783249127,0.0006066686934860074
CRL,Health Care,0.003974642912383866,0.0002436461792027189
DE,Industrials,0.003744723217864125,0.004519311840619326
RSG,Industrials,0.003706303398467357,0.002029126452078869
GNRC,Industrials,0.003606506834036817,0.000339661443590602
JBHT,Industrials,0.003491062683410279,0.0005764318545481734
TSN,Consumer Staples,0.0032959298732602605,0.000613583810600375
MPWR,Information Technology,0.0032875947335246707,0.0014257307594784654
CDNS,Information Technology,0.003232392489020387,0.0023239945896630105
ORCL,Information Technology,0.0032213637228747753,0.012471873962447103
EW,Health Care,0.0031984596479432094,0.0013451877348272482
HCA,Health Care,0.0031418259474529824,0.003380185985239259
ADSK,Information Technology,0.003031874313823078,0.001569686789128044
SCHW,Financials,0.0029488156747885155,0.004800639435317561
UPS,Industrials,0.00291110450532295,0.0024657172187473324
LVS,Consumer Discretionary,0.002908782036381449,0.0010281373512751506
RF,Financials,0.0025293128947178967,0.0006726643438674653
REGN,Health Care,0.0024803817542874,0.002278994240916844
CMCSA,Communication Services,0.0024152033788926498,0.003298723338731984
FTNT,Information Technology,0.0023099431104327264,0.0017651862642474349
COF,Financials,0.002165227890449249,0.003311946650424177
WTW,Financials,0.0020587585676420227,0.0008228912091832291
KEYS,Information Technology,0.002007242543490884,0.0013277960284900556
GEN,Information Technology,0.001978642624437545,0.00039558439351170574
CHRW,Industrials,0.0019017762174046396,0.0006045292421588886
FICO,Information Technology,0.0017750052149371571,0.0009933296524031515
MSCI,Financials,0.0017720319660016832,0.0012134368558005195
ALB,Materials,0.0016387307250856481,0.0005425807297372144
PSKY,Communication Services,0.0013696774461800518,0.00037524400579867166
AMT,Real Estate,0.0011042031535426502,0.002504689245197745
TGT,Consumer Staples,0.0009154168909594335,0.0015571188561657179
SHW,Materials,0.0003463392241174676,0.0023188164004856447
LYV,Communication Services,0.00031052165203313085,0.0010400191120034578
MSI,Information Technology,0.0001610214473994718,0.0021771367661052327
CNC,Health Care,0.00010000000000000003,0.0006089764051678866
BLDR,Industrials,0.00010000000000000003,0.0002921940122533344
TDY,Information Technology,0.00010000000000000003,0.0008626441705191156
TEL,Information Technology,0.00010000000000000003,0.0017142130215129874
WDC,Information Technology,0.00010000000000000003,0.0023788142315707443
