asset,sector,weight,benchmark_weight,active_weight
AAPL,Information Technology,0.08716856410154558,0.06220292512399854,0.02496563897754704
MSFT,Information Technology,0.07557105375287165,0.04996358896072152,0.025607464792150134
AMZN,Consumer Discretionary,0.04184280515592556,0.03760694661080215,0.004235858545123414
JPM,Financials,0.026534305835505874,0.012833637451742127,0.013700668383763747
TXN,Information Technology,0.02556207915790985,0.0028857478656937833,0.022676331292216065
NVDA,Information Technology,0.023425124411589428,0.0710689597180084,-0.047643835306418976
UNH,Health Care,0.021681112331408094,0.004274350370088312,0.01740676196131978
JNJ,Health Care,0.01761026369423204,0.009523098764412754,0.008087164929819287
VZ,Communication Services,0.017087853853378472,0.003544132231627388,0.013543721621751085
V,Financials,0.01583304586755602,0.010058034883468722,0.005775010984087298
KMI,Energy,0.015391521952843022,0.0012280553357199222,0.014163466617123099
MCD,Consumer Discretionary,0.014948581019172447,0.0038481838734688635,0.011100397145703584
CRM,Information Technology,0.013992356820436898,0.003112951846759215,0.010879404973677682
BRK-B,Financials,0.013909680219470068,0.0,0.013909680219470068
DIS,Communication Services,0.013047937656627638,0.002959958905856677,0.010087978750770962
PYPL,Financials,0.012352627024861456,0.0007224036150992117,0.011630223409762245
HON,Industrials,0.012096613161154506,0.0026063000147343238,0.009490313146420182
HBAN,Financials,0.011943122456938201,0.0005441900110455647,0.011398932445892636
MPC,Energy,0.011261228775038679,0.0010934015858952652,0.010167827189143414
PFE,Health Care,0.011022823862557927,0.0025283637716785705,0.008494460090879357
INTU,Information Technology,0.010965049808811595,0.002200981134564654,0.008764068674246941
LMT,Industrials,0.010620539247711568,0.0025551996679376845,0.008065339579773883
UNP,Industrials,0.010410405796158841,0.002478609205597346,0.007931796590561495
TGT,Consumer Staples,0.010124847813977277,0.0009022221508575488,0.00922262566311973
PRU,Financials,0.010053022021657402,0.0005555625246522108,0.00949745949700519
LLY,Health Care,0.009926249992400231,0.014569917031075283,-0.004643667038675052
HAS,Consumer Discretionary,0.009922610413635078,0.00021851486519581186,0.009704095548439266
MRK,Health Care,0.009817904528917499,0.004705798995419273,0.005112105533498226
AMGN,Health Care,0.009251870500211708,0.003274447148515394,0.0059774233516963135
CBOE,Financials,0.009046413042569356,0.0005183386057620757,0.00852807443680728
MSCI,Financials,0.009031977856942295,0.0007030867333184821,0.008328891123623812
WST,Health Care,0.00902616315743478,0.0002910683388694313,0.00873509481856535
NEE,Utilities,0.008679141620657737,0.0031173094076908563,0.00556183221296688
TMO,Health Care,0.008651824593218685,0.0030652308988853346,0.00558659369433335
KKR,Financials,0.008543933438122354,0.001390205618204516,0.007153727819917839
ISRG,Health Care,0.008452052859883827,0.002861347140382994,0.0055907057195008335
MDT,Health Care,0.00832333494526792,0.001918381592826299,0.006404953352441621
STE,Health Care,0.008269756607346683,0.0003718877292588414,0.007897868878087841
LIN,Materials,0.008265538149975377,0.003692363096362232,0.004573175053613145
WMT,Consumer Staples,0.008172482941284996,0.016224799095838877,-0.00805231615455388
MAR,Consumer Discretionary,0.007886358961983045,0.0014104004084677499,0.006475958553515295
INCY,Health Care,0.0075807207003544645,0.0003138552449903174,0.007266865455364147
LDOS,Industrials,0.007414206194469464,0.0003738650263951204,0.007040341168074344
MNST,Consumer Staples,0.0072969872629573985,0.0012158592821482671,0.006081127980809131
JBL,Information Technology,0.00724541803021995,0.00042333950203327255,0.006822078528186677
TDY,Information Technology,0.007222106527655303,0.0004998312594242014,0.006722275268231102
AWK,Utilities,0.0071344518536466655,0.0004411794116975474,0.006693272441949118
BA,Industrials,0.007129873018472722,0.002983495390559948,0.0041463776279127736
SLB,Energy,0.0071093646181911605,0.0011528036518339217,0.005956560966357239
TER,Information Technology,0.007026090575488814,0.000702678649622458,0.006323411925866356
QCOM,Information Technology,0.006970261472493096,0.002381608768124529,0.004588652704368567
MU,Information Technology,0.006906691745126635,0.006850902355908773,5.5789389217862466e-05
AME,Industrials,0.006901558735406038,0.0008399849098065547,0.006061573825599483
PG,Consumer Staples,0.0067820333465533926,0.005901062877175393,0.0008809704693779992
KHC,Consumer Staples,0.006679641915081131,0.0004775047183043983,0.006202137196776732
COR,Health Care,0.006621920152254056,0.0011462353962850135,0.005475684755969042
XYL,Industrials,0.006572338373685071,0.0004928595995748926,0.006079478774110179
CB,Financials,0.0064319992046778,0.002121874571297007,0.0043101246333807925
PNW,Utilities,0.006190541620075738,0.00020359178441426768,0.005986949835661471
TFC,Financials,0.005810772243989031,0.000954609095797617,0.004856163148191414
WFC,Financials,0.005752883748652482,0.004149655990056738,0.001603227758595744
ORCL,Information Technology,0.005698100695501794,0.007226423922019307,-0.001528323226517513
MO,Consumer Staples,0.00560208456332342,0.0018352605794197737,0.003766823983903647
ABT,Health Care,0.005598128219350886,0.0031294467499965594,0.002468681469354327
VRTX,Health Care,0.005529909291284099,0.0019070351020456738,0.003622874189238425
SO,Utilities,0.005441664585282377,0.001793669572483167,0.00364799501279921
KEYS,Information Technology,0.005311629743131435,0.0007693484565939354,0.004542281286537499
LULU,Consumer Discretionary,0.005295493102349734,0.0003316430753378336,0.0049638500270119
PSA,Real Estate,0.005249659740251444,0.000888939265571454,0.00436072047467999
TJX,Consumer Discretionary,0.005233460451374821,0.002914834180935888,0.002318626270438933
O,Real Estate,0.005208963624975195,0.000999838383328524,0.004209125241646672
PHM,Consumer Discretionary,0.004900735067797541,0.0004041606455910761,0.004496574422206465
NOW,Information Technology,0.004830436511648544,0.0021565880112675243,0.00267384850038102
ORLY,Consumer Discretionary,0.004686856182321849,0.001312599154713707,0.003374257027608142
GS,Financials,0.004343430942290981,0.00404974826764838,0.0002936826746426013
SNPS,Information Technology,0.0040226406799177645,0.0013773463697135677,0.002645294310204197
CTRA,Energy,0.003951973940215795,0.00038727957438828913,0.003564694365827506
WELL,Real Estate,0.003938682261627876,0.0023431146458080055,0.0015955676158198708
ROST,Consumer Discretionary,0.003832596701871827,0.0011320198636870353,0.0027005768381847916
NKE,Consumer Discretionary,0.00356804402131196,0.001387299545198776,0.0021807444761131837
INTC,Information Technology,0.003552945334974364,0.0035652157704119084,-1.2270435437544518e-05
LOW,Consumer Discretionary,0.0035335837325883622,0.0023226365332888947,0.0012109471992994675
ABBV,Health Care,0.0035316695546035713,0.006688123485833668,-0.003156453931230097
PNR,Industrials,0.003527317893114617,0.00024793000055843464,0.003279387892556182
NDSN,Industrials,0.003442698846824858,0.00025018403849847256,0.0031925148083263855
IBM,Information Technology,0.0031778438143534233,0.003991278041068406,-0.0008134342267149823
MCK,Health Care,0.003051248110101949,0.001865057893478908,0.001186190216623041
HAL,Energy,0.002975527192482086,0.0004710658025971107,0.0025044613898849754
TSCO,Consumer Discretionary,0.0028797909303533106,0.00043398852721298795,0.0024458024031403227
MCO,Financials,0.002863884603434558,0.001375523896609463,0.0014883607068250952
PTC,Information Technology,0.0028206100869203328,0.00031826730909832095,0.002502342777822012
APD,Materials,0.0026138396358685186,0.0009961749215261207,0.001617664714342398
ADP,Industrials,0.0025523319119536616,0.0015042037751235387,0.001048128136830123
EVRG,Utilities,0.0025477985121144945,0.0003155454494224475,0.002232253062692047
UPS,Industrials,0.0024717307508248217,0.001428680080326478,0.0010430506704983437
BALL,Materials,0.002370168328670173,0.00027545299368571,0.002094715334984463
RTX,Industrials,0.0022332000117776794,0.004628212326781893,-0.0023950123150042134
ZBH,Health Care,0.0022325823036894996,0.00030658013138453605,0.0019260021723049637
KLAC,Information Technology,0.002222842008076775,0.0029039693649220272,-0.0006811273568452523
MOS,Materials,0.002150353796707188,0.00013731461745002127,0.0020130391792571667
ON,Information Technology,0.002090865711550495,0.000376151567619147,0.0017147141439313482
SNA,Industrials,0.0019378849593732022,0.00031813968615725287,0.0016197452732159493
MET,Financials,0.001906480540809269,0.0007779736263341544,0.0011285069144751146
ROL,Industrials,0.0018430781686201683,0.0004608853229446402,0.0013821928456755283
DGX,Health Care,0.0018346335275887216,0.00036427246735536763,0.001470361060233354
HUBB,Industrials,0.0017858424113576176,0.000412061081309846,0.0013737813300477716
UAL,Industrials,0.0017342152490814153,0.0004899556811110222,0.001244259567970393
IDXX,Health Care,0.0017145457628236968,0.0007985892928857642,0.0009159564699379326
WTW,Financials,0.001678881986305077,0.0004767976919239415,0.0012020842943811355
PEP,Consumer Staples,0.0013871406407612984,0.0035833696708889875,-0.002196229030127689
PH,Industrials,0.0013840803061961162,0.0019164679556693287,-0.0005323876494732125
RF,Financials,0.0013316161249509672,0.00038975359441970384,0.0009418625305312634
PCG,Utilities,0.0013128616724754774,0.0006568409733310705,0.000656020699144407
NUE,Materials,0.001291576150640513,0.0006348280863769049,0.0006567480642636082
LVS,Consumer Discretionary,0.0011659775520683438,0.0005957209295689937,0.0005702566224993501
CZR,Consumer Discretionary,0.0011350358442921845,8.85745207746572e-05,0.0010464613235175273
SPG,Real Estate,0.0011268519278477091,0.0010406909210392617,8.616100680844743e-05
XYZ,Financials,0.001084057490653031,0.0006625509132626028,0.0004215065773904282
RJF,Financials,0.0010428186330933803,0.0004935513758386773,0.000549267257254703
ICE,Financials,0.0009685321759844666,0.0015576174265939933,-0.0005890852506095267
BDX,Health Care,0.0007575004864772902,0.0009952585006076941,-0.0002377580141304039
MCHP,Information Technology,0.0007180905664391392,0.0005755577168100389,0.00014253284962910027
AFL,Financials,0.000560798269357398,0.0009446299311511046,-0.0003838316617937066
PM,Consumer Staples,0.00054663512487778,0.004349527183644337,-0.003802892058766557
PANW,Information Technology,0.0005351423377586297,0.0022138628710863684,-0.0016787205333277386
SBAC,Real Estate,0.0002700356201843548,0.0003414053382145487,-7.13697180301939e-05
MGM,Consumer Discretionary,0.00021402184334118178,0.00015991765530438704,5.4104188036794735e-05
EXC,Utilities,0.00020374222146813593,0.0008299466972469235,-0.0006262044757787876
IFF,Materials,0.0001914382560471157,0.000310547619243596,-0.0001191093631964803
MKC,Consumer Staples,0.00018229224460638798,0.00028615369420558357,-0.00010386144959919559
